Base index shifted,ATMi1_3#TOP,ATMi1_3#BOT
-351.5,70289,102772
-350.5,765,1556
-349.5,148,257
-348.5,82,78
-347.5,166,96
-346.5,36,72
-345.5,32,38
-344.5,25,28
-343.5,38,32
-342.5,21,6
-341.5,11,27
-340.5,3,14
-339.5,63,12
-338.5,3,17
-337.5,14,12
-336.5,19,35
-335.5,8,14
-334.5,4,3
-333.5,6,5
-332.5,26,5
-331.5,13,1
-330.5,10,0
-329.5,18,20
-328.5,10,6
-327.5,11,2
-326.5,6,1
-325.5,3,21
-324.5,7,3
-323.5,4,3
-322.5,44,16
-321.5,5,1
-320.5,7,1
-319.5,14,2
-318.5,1,1
-317.5,2,11
-316.5,5,20
-315.5,22,17
-314.5,6,5
-313.5,6,2
-312.5,6,4
-311.5,2,6
-310.5,3,3
-309.5,3,0
-308.5,2,0
-307.5,9,2
-306.5,5,7
-305.5,3,2
-304.5,1,1
-303.5,1,2
-302.5,7,1
-301.5,3,1
-300.5,6,2
-299.5,5,10
-298.5,8,2
-297.5,2,1
-296.5,2,6
-295.5,1,1
-294.5,19,3
-293.5,6,0
-292.5,3,8
-291.5,8,1
-290.5,4,1
-289.5,5,3
-288.5,35,1
-287.5,5,8
-286.5,6,4
-285.5,2,3
-284.5,7,0
-283.5,1,3
-282.5,2,6
-281.5,13,5
-280.5,5,6
-279.5,5,1
-278.5,3,6
-277.5,5,10
-276.5,9,5
-275.5,4,2
-274.5,3,0
-273.5,6,3
-272.5,4,5
-271.5,5,8
-270.5,8,4
-269.5,3,10
-268.5,6,0
-267.5,5,3
-266.5,9,6
-265.5,15,3
-264.5,5,5
-263.5,9,0
-262.5,23,7
-261.5,12,4
-260.5,10,3
-259.5,13,6
-258.5,13,6
-257.5,13,3
-256.5,9,4
-255.5,15,5
-254.5,8,28
-253.5,5,4
-252.5,1,6
-251.5,13,2
-250.5,10,24
-249.5,6,4
-248.5,9,8
-247.5,7,4
-246.5,11,5
-245.5,14,5
-244.5,12,4
-243.5,9,6
-242.5,15,9
-241.5,12,5
-240.5,9,6
-239.5,8,6
-238.5,8,5
-237.5,12,16
-236.5,22,8
-235.5,3,9
-234.5,9,7
-233.5,11,6
-232.5,7,8
-231.5,12,12
-230.5,2,5
-229.5,3,13
-228.5,1,12
-227.5,5,12
-226.5,8,12
-225.5,5,17
-224.5,3,10
-223.5,8,16
-222.5,8,13
-221.5,15,14
-220.5,9,12
-219.5,12,13
-218.5,12,12
-217.5,12,7
-216.5,7,18
-215.5,12,13
-214.5,2,14
-213.5,7,15
-212.5,7,15
-211.5,19,20
-210.5,3,16
-209.5,13,11
-208.5,10,24
-207.5,9,14
-206.5,6,19
-205.5,7,7
-204.5,11,9
-203.5,13,6
-202.5,12,13
-201.5,12,10
-200.5,11,19
-199.5,7,6
-198.5,19,14
-197.5,16,27
-196.5,8,14
-195.5,11,22
-194.5,4,18
-193.5,17,19
-192.5,21,31
-191.5,11,28
-190.5,18,19
-189.5,8,12
-188.5,9,11
-187.5,6,36
-186.5,10,14
-185.5,6,16
-184.5,10,17
-183.5,18,19
-182.5,7,17
-181.5,8,13
-180.5,15,19
-179.5,2,13
-178.5,5,10
-177.5,10,12
-176.5,5,4
-175.5,3,14
-174.5,6,25
-173.5,7,9
-172.5,12,7
-171.5,4,26
-170.5,7,45
-169.5,5,42
-168.5,3,72
-167.5,6,17
-166.5,4,8
-165.5,9,6
-164.5,1,7
-163.5,7,10
-162.5,4,9
-161.5,9,13
-160.5,3,16
-159.5,1,13
-158.5,1,20
-157.5,1,10
-156.5,6,17
-155.5,2,10
-154.5,6,18
-153.5,8,17
-152.5,2,25
-151.5,3,5
-150.5,4,22
-149.5,6,20
-148.5,2,15
-147.5,5,20
-146.5,6,13
-145.5,3,20
-144.5,1,5
-143.5,1,13
-142.5,5,17
-141.5,4,12
-140.5,3,16
-139.5,4,17
-138.5,1,17
-137.5,1,5
-136.5,2,19
-135.5,2,17
-134.5,5,19
-133.5,5,10
-132.5,4,11
-131.5,2,4
-130.5,7,14
-129.5,1,8
-128.5,8,5
-127.5,12,8
-126.5,1,2
-125.5,0,9
-124.5,7,12
-123.5,4,17
-122.5,10,17
-121.5,3,12
-120.5,3,4
-119.5,3,14
-118.5,4,6
-117.5,9,15
-116.5,7,7
-115.5,2,7
-114.5,1,7
-113.5,5,1
-112.5,7,2
-111.5,1,7
-110.5,7,3
-109.5,8,2
-108.5,7,4
-107.5,2,0
-106.5,4,4
-105.5,2,7
-104.5,3,2
-103.5,3,4
-102.5,5,4
-101.5,1,3
-100.5,3,6
-99.5,0,6
-98.5,1,10
-97.5,2,2
-96.5,2,1
-95.5,3,1
-94.5,3,1
-93.5,2,0
-92.5,3,1
-91.5,1,0
-90.5,0,1
-89.5,3,2
-88.5,1,1
-87.5,3,1
-86.5,3,1
-85.5,2,2
-84.5,2,4
-83.5,1,0
-82.5,2,2
-81.5,1,1
-80.5,3,1
-79.5,1,1
-78.5,2,0
-77.5,2,1
-76.5,1,0
-75.5,3,0
-74.5,5,1
-73.5,2,3
-72.5,1,0
-71.5,4,0
-70.5,4,1
-69.5,2,1
-68.5,5,0
-66.5,6,0
-65.5,5,0
-63.5,3,2
-62.5,1,0
-61.5,1,1
-60.5,3,2
-59.5,1,1
-58.5,4,2
-57.5,5,1
-56.5,7,4
-55.5,6,0
-54.5,3,1
-53.5,7,4
-52.5,3,2
-51.5,9,3
-50.5,32,1
-49.5,10,2
-48.5,4,8
-47.5,11,1
-46.5,8,4
-45.5,6,8
-44.5,10,3
-43.5,16,5
-42.5,4,5
-41.5,4,2
-40.5,23,5
-39.5,17,3
-38.5,13,2
-37.5,8,8
-36.5,26,8
-35.5,8,5
-34.5,9,6
-33.5,34,4
-32.5,21,4
-31.5,34,6
-30.5,21,8
-29.5,38,5
-28.5,19,1
-27.5,47,9
-26.5,38,4
-25.5,35,3
-24.5,57,3
-23.5,19,17
-22.5,74,3
-21.5,31,4
-20.5,51,3
-19.5,71,1
-18.5,51,2
-17.5,120,10
-16.5,82,5
-15.5,144,3
-14.5,84,6
-13.5,124,6
-12.5,263,7
-11.5,584,5
-10.5,708,5
-9.5,722,7
-8.5,2773,5
-7.5,2303,61
-6.5,3495,26
-5.5,3865,11
-4.5,951,18
-3.5,7405,6
-2.5,3009,27
-1.5,8794,12
-0.5,7688,10
0.5,5097,57306
1.5,7772,1454
2.5,2241,144
3.5,9103,48
4.5,4272,80
5.5,3477,35
6.5,4686,19
7.5,1567,99
8.5,2139,42
9.5,1059,51
10.5,1140,57
11.5,519,61
12.5,382,65
13.5,276,23
14.5,187,27
15.5,220,40
16.5,162,54
17.5,142,15
18.5,50,14
19.5,246,21
20.5,139,17
21.5,184,17
22.5,79,10
23.5,104,34
24.5,70,8
25.5,60,4
26.5,73,42
27.5,63,7
28.5,31,5
29.5,60,10
30.5,30,21
31.5,12,8
32.5,18,6
33.5,33,1
34.5,30,8
35.5,29,5
36.5,47,5
37.5,57,5
38.5,26,2
39.5,23,5
40.5,9,9
41.5,11,3
42.5,9,30
43.5,3,19
44.5,5,6
45.5,6,1
46.5,5,4
47.5,7,0
48.5,5,11
49.5,0,5
50.5,5,8
51.5,5,7
52.5,3,8
53.5,8,6
54.5,8,6
55.5,5,7
56.5,0,9
57.5,2,11
58.5,2,1
59.5,1,14
60.5,5,10
61.5,4,6
62.5,6,3
63.5,4,5
64.5,4,4
65.5,7,4
66.5,9,4
67.5,9,6
68.5,9,3
69.5,3,5
70.5,6,10
71.5,11,2
72.5,11,13
73.5,9,8
74.5,7,5
75.5,4,6
76.5,3,7
77.5,3,6
78.5,18,6
79.5,3,11
80.5,3,2
81.5,11,6
82.5,8,5
83.5,7,4
84.5,4,1
85.5,15,9
86.5,11,23
87.5,6,4
88.5,15,5
89.5,28,9
90.5,9,7
91.5,12,8
92.5,24,6
93.5,28,5
94.5,11,17
95.5,10,8
96.5,8,8
97.5,11,13
98.5,9,12
99.5,16,3
100.5,11,9
101.5,10,7
102.5,12,5
103.5,13,17
104.5,13,3
105.5,31,2
106.5,15,16
107.5,24,5
108.5,9,30
109.5,10,13
110.5,13,9
111.5,8,21
112.5,8,23
113.5,16,18
114.5,16,20
115.5,8,14
116.5,14,20
117.5,13,11
118.5,21,6
119.5,12,9
120.5,19,9
121.5,11,5
122.5,4,7
123.5,12,17
124.5,17,9
125.5,28,12
126.5,32,17
127.5,13,13
128.5,16,15
129.5,47,25
130.5,22,24
131.5,26,20
132.5,23,22
133.5,24,1
134.5,27,19
135.5,47,26
136.5,20,32
137.5,10,28
138.5,13,35
139.5,23,14
140.5,18,11
141.5,26,19
142.5,19,8
143.5,17,14
144.5,12,28
145.5,11,25
146.5,32,15
147.5,7,8
148.5,40,23
149.5,35,23
150.5,19,13
151.5,29,6
152.5,15,17
153.5,19,8
154.5,20,3
155.5,24,15
156.5,27,8
157.5,25,13
158.5,22,12
159.5,25,6
160.5,38,12
161.5,27,10
162.5,41,10
163.5,28,2
164.5,14,9
165.5,23,10
166.5,28,18
167.5,65,3
168.5,34,11
169.5,13,18
170.5,33,9
171.5,10,7
172.5,24,6
173.5,27,18
174.5,13,16
175.5,21,14
176.5,34,1
177.5,27,8
178.5,27,10
179.5,42,10
180.5,48,3
181.5,24,5
182.5,29,22
183.5,18,17
184.5,58,15
185.5,21,11
186.5,38,17
187.5,33,29
188.5,28,5
189.5,31,15
190.5,12,5
191.5,34,8
192.5,24,17
193.5,34,7
194.5,43,19
195.5,12,11
196.5,12,5
197.5,42,4
198.5,24,11
199.5,41,8
200.5,30,14
201.5,33,12
202.5,6,4
203.5,18,7
204.5,13,9
205.5,28,6
206.5,17,20
207.5,26,2
208.5,14,19
209.5,9,15
210.5,14,70
211.5,5,4
212.5,32,8
213.5,15,2
214.5,12,6
215.5,24,3
216.5,9,5
217.5,11,3
218.5,10,3
219.5,25,3
220.5,16,3
221.5,4,2
222.5,25,2
223.5,17,0
224.5,22,1
225.5,15,5
226.5,25,1
227.5,14,3
228.5,9,3
229.5,11,3
230.5,5,5
231.5,10,2
232.5,7,1
233.5,15,3
234.5,14,2
235.5,7,5
236.5,5,1
237.5,3,3
238.5,10,2
239.5,13,1
240.5,7,0
241.5,7,0
242.5,5,0
243.5,9,0
244.5,2,0
245.5,1,2
246.5,5,2
247.5,2,1
248.5,1,1
249.5,4,3
250.5,0,1
251.5,3,4
252.5,1,3
253.5,3,2
254.5,1,0
255.5,2,1
256.5,1,1
257.5,4,0
258.5,1,0
260.5,1,1
261.5,1,0
263.5,5,0
264.5,1,0
266.5,2,0
268.5,2,0
270.5,1,0
271.5,2,0
272.5,2,1
273.5,0,3
274.5,2,0
275.5,1,1
276.5,1,1
