Base index,ATMi0_1#TOP,ATMi0_1#BOT
1,52986,65766
2,458,813
3,115,221
4,57,88
5,112,104
6,36,77
7,29,39
8,24,20
9,17,23
10,11,10
11,13,12
12,10,14
13,42,10
14,10,7
15,5,15
16,3,17
17,4,6
18,0,3
19,2,3
20,11,1
21,10,4
22,1,1
23,10,15
24,0,4
25,4,3
26,0,1
27,2,9
28,4,3
29,3,2
30,20,10
31,6,3
32,3,3
33,9,0
34,1,1
35,1,2
36,2,2
37,17,4
38,4,1
39,10,0
40,5,0
41,2,2
42,4,2
43,2,5
44,1,2
45,2,2
46,7,1
47,5,1
48,6,5
49,4,3
50,5,1
51,4,2
52,8,2
53,8,7
54,12,1
55,1,1
56,3,3
57,1,1
58,19,2
59,6,0
60,3,5
61,5,1
62,4,1
63,2,2
64,25,1
65,4,0
66,1,1
67,0,2
68,5,1
69,4,1
70,5,5
71,9,0
72,4,4
73,3,0
74,4,0
75,4,5
76,6,4
77,7,0
78,4,2
79,9,0
80,2,1
81,4,1
82,7,3
83,4,1
84,7,2
85,3,0
86,12,2
87,3,1
88,0,1
89,6,2
90,29,2
91,7,1
92,9,2
93,6,1
94,9,2
95,8,2
96,4,1
97,7,3
98,2,7
99,6,3
100,4,3
101,20,0
102,4,6
103,2,3
104,3,4
105,5,1
106,6,5
107,9,5
108,5,2
109,5,2
110,6,7
111,11,4
112,14,4
113,4,2
114,2,6
115,5,10
116,10,5
117,5,5
118,7,2
119,5,2
120,5,6
121,14,9
122,3,5
123,1,2
124,2,9
125,4,8
126,7,2
127,4,5
128,8,9
129,6,5
130,12,6
131,5,5
132,3,1
133,9,3
134,6,4
135,4,6
136,7,12
137,8,8
138,9,11
139,4,11
140,4,11
141,4,16
142,4,3
143,10,3
144,9,8
145,6,6
146,5,8
147,12,5
148,11,9
149,7,7
150,18,5
151,14,8
152,8,14
153,3,4
154,7,3
155,5,17
156,6,7
157,6,17
158,1,14
159,9,13
160,13,16
161,6,10
162,13,13
163,3,11
164,6,3
165,5,13
166,4,4
167,6,7
168,6,11
169,6,5
170,10,6
171,8,11
172,15,11
173,5,13
174,12,5
175,7,3
176,7,7
177,3,9
178,9,6
179,6,5
180,11,5
181,2,14
182,4,8
183,5,11
184,4,12
185,7,9
186,3,6
187,4,8
188,5,3
189,4,9
190,1,3
191,1,7
192,1,4
193,0,7
194,1,3
195,1,5
196,5,13
197,1,5
198,6,4
199,4,10
200,1,5
201,6,5
202,7,7
203,7,9
204,2,5
205,6,10
206,6,11
207,4,7
208,3,7
209,3,3
210,6,4
211,3,4
212,3,2
213,3,4
214,2,4
215,1,10
216,3,8
217,7,1
218,0,3
219,4,2
220,3,4
221,1,1
222,2,2
223,0,5
224,3,2
225,4,3
226,6,1
227,1,1
228,2,0
229,3,2
230,2,7
231,1,2
232,4,1
234,2,1
235,2,4
236,0,1
237,1,1
238,2,0
240,3,0
241,0,2
242,4,4
243,3,0
244,1,1
245,4,0
246,1,2
247,1,0
248,2,0
249,0,2
250,2,1
251,3,1
252,1,3
254,1,4
255,1,0
257,1,0
260,0,1
261,0,1
262,1,1
266,1,0
269,1,0
272,1,0
274,1,0
276,3,0
277,3,0
282,1,0
285,1,0
286,1,0
287,1,0
291,1,1
292,2,0
294,1,0
295,1,0
298,1,0
300,1,0
301,1,0
302,4,1
303,3,0
304,1,0
308,2,0
309,1,0
310,1,0
311,1,0
312,5,1
313,4,1
314,2,2
315,3,1
316,7,1
317,2,0
318,2,1
319,9,1
320,7,0
321,6,0
322,6,0
323,24,0
324,13,1
325,21,0
326,17,2
327,21,3
328,44,2
329,24,8
330,90,1
331,71,0
332,61,0
333,118,0
334,90,3
335,225,0
336,229,2
337,336,2
338,308,5
339,382,4
340,524,3
341,806,4
342,984,4
343,571,3
344,1381,3
345,1100,32
346,1925,8
347,1752,7
348,405,13
349,4203,4
350,3052,20
351,6680,9
352,6796,7
353,5745,45294
354,6054,95
355,2226,62
356,5538,19
357,1444,55
358,1375,14
359,1421,17
360,420,56
361,390,17
362,396,34
363,445,23
364,414,22
365,245,34
366,171,31
367,96,28
368,82,37
369,54,42
370,52,13
371,21,35
372,52,45
373,31,12
374,46,10
375,27,2
376,33,24
377,16,2
378,14,0
379,23,19
380,23,5
381,6,4
382,14,2
383,9,9
384,3,9
385,8,6
386,9,6
387,4,8
388,4,5
389,7,4
390,10,3
391,4,0
392,11,4
393,2,5
394,1,4
395,1,27
396,0,14
397,1,3
398,0,1
399,0,2
400,2,2
401,2,7
402,2,3
403,0,6
404,1,4
405,2,8
406,0,2
407,0,8
408,4,2
409,1,3
410,1,4
411,2,5
412,3,3
413,0,5
414,2,0
415,2,3
416,0,5
417,3,2
418,1,4
419,1,6
420,1,5
421,3,7
422,0,9
423,0,5
424,0,2
425,6,3
426,0,8
427,1,11
428,0,3
429,3,3
430,0,4
431,3,2
432,2,4
433,1,4
434,3,0
435,3,2
436,0,3
437,1,8
438,1,5
439,1,9
440,1,2
441,4,7
442,7,4
443,2,2
444,1,6
445,5,4
446,5,5
447,4,9
448,4,3
449,3,4
450,1,6
451,1,5
452,6,3
453,2,6
454,1,3
455,7,3
456,6,4
457,3,0
458,5,2
459,4,9
460,3,8
461,3,13
462,3,5
463,4,4
464,3,4
465,3,8
466,3,7
467,5,6
468,6,8
469,7,13
470,3,5
