Distance from 5'-end,ATMi2_1
0,32.08092833541787
1,32.344529952024494
2,32.45738206798708
3,32.659467229181054
4,32.57203559894715
5,32.84669771696317
6,34.3842124176296
7,34.1279051316993
8,34.25320147846703
9,34.0463561014766
10,35.79528271948328
11,32.79853320017174
12,36.66286704997293
13,36.807953293882655
14,36.87899951464466
15,36.83953872575557
16,36.67457624745655
17,36.81659868580709
18,36.82633379379865
19,36.76939554593142
20,36.66292538595083
21,36.77027058559988
22,36.69823498665273
23,36.76577171498441
24,36.93081119677425
25,37.327911198641004
26,37.41117764005302
27,37.95126145718606
28,37.948862681774905
29,37.801830349642515
30,37.77352339972745
31,37.61004265526704
32,37.474446508241705
33,37.34107179525472
34,37.30375543691314
35,36.98834213817693
36,37.48877149097426
37,37.345918348298454
38,37.234890981724504
39,37.09022242341653
40,37.51407530474715
41,37.864476189587265
42,37.56607132856689
43,37.41320306520562
44,36.649412440030616
45,36.89010668483638
46,37.52047126136385
47,37.519789897142005
48,37.27606684836379
49,37.13456243349699
50,37.512661240642906
51,37.062547835501874
52,37.18347131736639
53,36.976310926095316
54,37.2268359498964
55,37.121889525658496
56,36.889114973212116
57,36.69460882226661
58,37.06511695196849
59,36.87087681308219
60,36.93201525135806
61,37.030535384270756
62,36.87380527917266
63,37.204241258937074
64,37.42196046220762
65,37.50314080905001
66,37.3730632455338
67,37.15234790643842
68,37.16538716421811
69,37.2693488771491
70,37.31692770072243
71,37.18378399820792
72,37.31557197259609
73,37.30060762754578
74,37.757333999141295
75,37.28220145979951
