Base index shifted,400_3#TOP,400_3#BOT
-199.5,48009,51823
-198.5,522,480
-197.5,69,180
-196.5,29,55
-195.5,82,77
-194.5,28,53
-193.5,20,26
-192.5,2,5
-191.5,12,17
-190.5,2,8
-189.5,5,4
-188.5,2,4
-187.5,5,12
-186.5,1,6
-185.5,1,3
-184.5,6,7
-183.5,1,4
-182.5,2,6
-181.5,5,2
-180.5,3,1
-179.5,1,3
-178.5,0,1
-177.5,1,5
-176.5,2,8
-175.5,1,4
-174.5,3,1
-173.5,1,2
-172.5,5,1
-171.5,1,0
-170.5,2,1
-169.5,1,2
-168.5,0,4
-167.5,3,1
-166.5,6,2
-165.5,1,0
-164.5,1,1
-163.5,0,3
-162.5,0,2
-161.5,2,4
-160.5,4,0
-159.5,0,2
-158.5,1,7
-157.5,0,6
-156.5,1,5
-155.5,0,3
-154.5,0,8
-153.5,1,6
-152.5,0,5
-151.5,2,1
-150.5,7,9
-149.5,0,10
-148.5,1,6
-147.5,3,10
-146.5,4,6
-145.5,1,2
-144.5,0,5
-143.5,1,2
-142.5,3,10
-141.5,3,1
-140.5,2,4
-139.5,3,6
-138.5,1,5
-137.5,3,6
-136.5,1,4
-135.5,2,11
-134.5,0,8
-133.5,9,6
-132.5,0,4
-131.5,1,4
-130.5,3,2
-129.5,2,5
-128.5,0,2
-127.5,1,1
-126.5,2,3
-125.5,1,12
-124.5,4,6
-123.5,6,4
-122.5,4,5
-121.5,4,4
-120.5,0,1
-119.5,2,5
-118.5,3,8
-117.5,6,1
-116.5,3,5
-115.5,1,8
-114.5,3,7
-113.5,2,6
-112.5,2,1
-111.5,5,12
-110.5,2,3
-109.5,11,0
-108.5,2,7
-107.5,6,1
-106.5,8,3
-105.5,4,7
-104.5,5,0
-103.5,2,6
-102.5,6,8
-101.5,7,4
-100.5,1,4
-99.5,3,2
-98.5,3,5
-97.5,4,1
-96.5,1,2
-95.5,1,3
-94.5,1,4
-93.5,2,2
-92.5,0,3
-91.5,7,1
-89.5,1,1
-88.5,1,3
-87.5,3,0
-86.5,8,2
-85.5,1,1
-83.5,0,1
-82.5,7,2
-81.5,3,4
-80.5,4,4
-79.5,1,0
-78.5,4,0
-77.5,1,2
-76.5,3,1
-75.5,3,1
-74.5,8,2
-73.5,2,2
-72.5,3,2
-71.5,12,0
-70.5,3,2
-69.5,1,0
-68.5,4,3
-67.5,4,0
-66.5,5,2
-65.5,6,0
-64.5,4,2
-63.5,2,0
-62.5,1,1
-61.5,3,0
-60.5,7,4
-59.5,3,2
-58.5,10,1
-57.5,10,0
-56.5,4,3
-55.5,13,4
-54.5,12,2
-53.5,11,3
-52.5,12,2
-51.5,7,1
-50.5,13,5
-49.5,20,3
-48.5,9,1
-47.5,18,0
-46.5,15,0
-45.5,10,3
-44.5,13,0
-43.5,22,4
-42.5,16,0
-41.5,15,2
-40.5,10,2
-39.5,20,0
-38.5,29,1
-37.5,13,1
-36.5,39,1
-35.5,17,3
-34.5,18,1
-33.5,35,5
-32.5,16,5
-31.5,33,1
-30.5,23,1
-29.5,47,4
-28.5,42,1
-27.5,16,0
-26.5,13,1
-25.5,58,2
-24.5,30,3
-23.5,46,0
-22.5,18,3
-21.5,11,2
-20.5,78,3
-19.5,53,2
-18.5,132,2
-17.5,174,6
-16.5,226,4
-15.5,424,4
-14.5,264,2
-13.5,473,6
-12.5,322,1
-11.5,460,6
-10.5,730,2
-9.5,966,1
-8.5,1082,3
-7.5,1978,2
-6.5,1304,11
-5.5,670,5
-4.5,1622,4
-3.5,1463,4
-2.5,1892,4
-1.5,1274,11
-0.5,1787,8
0.5,2802,47597
1.5,1538,157
2.5,2608,11
3.5,2309,52
4.5,1354,9
5.5,1913,12
6.5,812,6
7.5,1813,10
8.5,1151,16
9.5,595,9
10.5,293,6
11.5,354,10
12.5,437,15
13.5,256,5
14.5,154,11
15.5,73,4
16.5,119,7
17.5,69,13
18.5,61,2
19.5,32,7
20.5,34,4
21.5,69,23
22.5,25,7
23.5,41,2
24.5,38,8
25.5,28,6
26.5,16,1
27.5,12,1
28.5,16,4
29.5,19,5
30.5,10,4
31.5,10,6
32.5,18,6
33.5,15,5
34.5,27,7
35.5,13,8
36.5,40,3
37.5,20,10
38.5,13,5
39.5,11,1
40.5,6,5
41.5,11,2
42.5,4,4
43.5,2,4
44.5,5,2
45.5,4,2
46.5,1,6
47.5,7,2
48.5,11,3
49.5,5,4
50.5,6,5
51.5,9,2
52.5,2,3
53.5,4,1
54.5,2,3
55.5,5,4
56.5,1,1
57.5,2,3
58.5,3,1
59.5,0,1
60.5,3,0
61.5,3,2
62.5,14,0
63.5,3,2
64.5,4,2
65.5,0,3
66.5,3,6
67.5,4,1
68.5,4,2
69.5,3,2
70.5,2,5
71.5,1,4
72.5,2,5
73.5,3,8
74.5,2,5
75.5,1,0
76.5,1,3
77.5,4,3
78.5,4,1
79.5,1,1
80.5,1,2
81.5,5,3
82.5,0,2
83.5,0,3
84.5,2,4
85.5,3,8
86.5,1,1
87.5,2,3
88.5,1,8
89.5,1,0
90.5,1,2
91.5,0,3
92.5,2,0
93.5,2,1
94.5,1,6
95.5,1,2
96.5,1,2
97.5,3,2
98.5,1,5
99.5,0,2
100.5,5,2
101.5,1,0
102.5,1,0
103.5,2,5
104.5,1,1
105.5,4,0
106.5,1,1
107.5,1,1
108.5,1,3
109.5,0,1
110.5,0,1
112.5,2,5
114.5,0,1
115.5,0,1
116.5,0,1
120.5,2,0
122.5,0,1
125.5,0,2
