Distance from 5'-end,AT_3
0,32.43690220751355
1,32.650881394853464
2,32.676198442427484
3,32.717345788371716
4,32.798936507359244
5,35.37096254656352
6,36.08931623709599
7,36.05516705718546
8,34.56397061497618
9,35.437229515947195
10,36.12817502169068
11,35.29843775165083
12,37.16748060827415
13,37.087793993110935
14,37.17035624665548
15,37.128975108972924
16,37.108668997656885
17,37.17755183682376
18,37.223289293897
19,37.16913533424425
20,37.26165711584121
21,37.207053756513695
22,37.620688490692494
23,37.546994737088205
24,37.64350656435248
25,37.9456875815024
26,37.94751115706129
27,37.91120070241429
28,37.92000685789099
29,37.91873658944612
30,37.98125250027276
31,37.730568010016675
32,38.018776074273035
33,37.97784433626526
34,37.59048000041563
35,35.10030964416897
36,36.23239937863352
37,36.90120480675814
38,37.0969534338811
39,37.475529798055895
40,37.80490858743032
41,37.91697795603676
42,37.849994025322246
43,37.864161804664406
44,37.70781747619221
45,37.53207362881145
46,37.84736776479512
47,37.837449799718414
48,37.89508206090015
49,37.53369718254979
50,37.77134908223754
51,37.5924464487035
52,37.62086513333922
53,37.48309166194754
54,37.64729139282727
55,37.58481184960437
56,37.59208537035209
57,37.3824573070309
58,37.47995625496807
59,37.29159025140405
60,36.70441450755667
61,37.440289590033196
62,37.476670182201694
63,37.86014578213727
64,37.8152759521818
65,37.53480119909185
66,37.679188378991995
67,37.64341824302911
68,37.77638079998337
69,37.70859678198661
70,37.60748705053538
71,37.70645109336603
72,37.61063025057279
73,37.65194644610581
74,37.93525527460139
