Base index,400_2#TOP,400_2#BOT
151,0.0006581611988659376,3.2418063344895776e-05
152,0.0004050222762251924,9.725419003468733e-05
153,0.0005569056298096396,0
154,0.00025313892264074525,3.2418063344895776e-05
155,0.00015188335358444713,3.2418063344895776e-05
156,0.00035439449169704333,6.483612668979155e-05
157,0.00106318347509113,0
158,0.00030376670716889426,6.483612668979155e-05
159,5.062778452814905e-05,0
160,0.0004050222762251924,3.2418063344895776e-05
161,0.001012555690562981,0
162,0.0007594167679222357,0
163,0.00035439449169704333,6.483612668979155e-05
164,0.0006581611988659376,0
165,0.0006075334143377885,0
166,0.00035439449169704333,3.2418063344895776e-05
167,0.0006075334143377885,9.725419003468733e-05
168,0.0005062778452814905,9.725419003468733e-05
169,0.0008606723369785338,0
170,0.0004050222762251924,0
171,0.0009113001215066828,3.2418063344895776e-05
172,0.0008100445524503848,6.483612668979155e-05
173,0.00025313892264074525,3.2418063344895776e-05
174,0.0002025111381125962,0
175,0.0012656946132037262,0
176,0.0005569056298096396,0
177,0.0005569056298096396,0
178,0.0004050222762251924,9.725419003468733e-05
179,0.0004556500607533414,0.0001296722533795831
180,0.0014175779667881733,3.2418063344895776e-05
181,0.0017213446739570675,6.483612668979155e-05
182,0.0027339003645200487,6.483612668979155e-05
183,0.004202106115836371,9.725419003468733e-05
184,0.006075334143377886,9.725419003468733e-05
185,0.012859457270149859,0
186,0.00637910085054678,0
187,0.01432766302146618,3.2418063344895776e-05
188,0.007897934386391251,3.2418063344895776e-05
189,0.010581206966383152,0.0001296722533795831
190,0.018327257999189956,6.483612668979155e-05
191,0.02566828675577157,9.725419003468733e-05
192,0.026225192385581207,6.483612668979155e-05
193,0.051893479141352776,9.725419003468733e-05
194,0.03240178209801539,0.00032418063344895776
195,0.01807411907654921,3.2418063344895776e-05
196,0.043641150263264476,9.725419003468733e-05
197,0.04353989469420818,0.000291762570104062
198,0.05407047387606318,0.00016209031672447888
199,0.03295868772782503,0.00016209031672447888
200,0.05199473471040907,0.00035659869679385354
201,0.0795868772782503,0.9866761759652478
202,0.042679222357229644,0.0024637728142120788
203,0.06844876468205752,0.00045385288682854086
204,0.060753341433778855,0.0008104515836223943
205,0.03619886593762657,0.00022692644341427043
206,0.05275415147833131,0.0001296722533795831
207,0.019339813689752936,3.2418063344895776e-05
208,0.043641150263264476,0.00016209031672447888
209,0.029718509518023493,0.00045385288682854086
210,0.01432766302146618,0.0005186890135183324
211,0.006429728635074929,0.0001296722533795831
212,0.009315512353179425,0.000291762570104062
213,0.011391251518833537,0.0002593445067591662
214,0.005822195220737141,0.00019450838006937466
215,0.004404617253948967,0.00035659869679385354
216,0.002328878088294856,0.0001296722533795831
217,0.00318955042527339,0.00016209031672447888
218,0.002885783718104496,0.00019450838006937466
219,0.0019238558120696638,3.2418063344895776e-05
220,0.0008606723369785338,0.00016209031672447888
221,0.0011138112596192791,3.2418063344895776e-05
222,0.001974483596597813,0.0001296722533795831
223,0.0007087889833940867,9.725419003468733e-05
224,0.0018732280275415149,3.2418063344895776e-05
225,0.001164439044147428,9.725419003468733e-05
226,0.001215066828675577,0.0002593445067591662
227,0.001012555690562981,6.483612668979155e-05
228,0.00025313892264074525,0.0001296722533795831
229,0.0004050222762251924,0.00016209031672447888
230,0.0005569056298096396,0.00019450838006937466
231,0.0005062778452814905,0.0001296722533795831
232,0.0004556500607533414,3.2418063344895776e-05
233,0.0007087889833940867,6.483612668979155e-05
234,0.0009619279060348319,6.483612668979155e-05
235,0.0005569056298096396,0.0002593445067591662
236,0.00106318347509113,9.725419003468733e-05
237,0.0016200891049007696,3.2418063344895776e-05
238,0.0006581611988659376,0.000291762570104062
239,0.0006075334143377885,3.2418063344895776e-05
240,0.0004556500607533414,6.483612668979155e-05
241,0.00025313892264074525,6.483612668979155e-05
242,0.00030376670716889426,6.483612668979155e-05
243,0.0006581611988659376,9.725419003468733e-05
244,0.00030376670716889426,0
245,0.00030376670716889426,9.725419003468733e-05
246,0.0006075334143377885,3.2418063344895776e-05
247,0.0002025111381125962,6.483612668979155e-05
248,0.0002025111381125962,0
249,0.0002025111381125962,9.725419003468733e-05
250,0.00035439449169704333,6.483612668979155e-05
