Distance from 5'-end,1500_2
0,30.48274977085243
1,30.791384051329057
2,31.14584784601283
3,31.082034830430796
4,31.313088909257562
5,33.09730522456462
6,34.352887259395054
7,33.600329972502294
8,32.601246562786436
9,31.615802016498627
10,33.250724106324476
11,31.995307057745187
12,35.352777268560956
13,35.377341888175984
14,35.66009165902842
15,34.79943171402383
16,35.09640696608616
17,35.69329055912007
18,35.52632447296059
19,35.32106324472961
20,35.10405132905591
21,35.32614115490376
22,35.95725022914757
23,36.270540788267645
24,36.34291475710357
25,36.26837763519707
26,36.78
27,36.371879010082495
28,34.986819431714025
29,36.102511457378554
30,36.44005499541705
31,35.98553620531622
32,35.724582951420714
33,35.66581118240147
34,35.88922089825848
35,36.17275893675527
36,36.342969752520624
37,36.12703941338222
38,35.921594867094406
39,35.54824931255729
40,36.16263978001833
41,36.0626764436297
42,36.46221814848763
43,36.54586617781852
44,35.60427131072411
45,35.86687442713107
46,36.29164069660862
47,36.016828597616865
48,35.69398716773602
49,35.673198900091656
50,35.88218148487626
51,35.9498441796517
52,35.98018331805683
53,35.48692942254812
54,34.73407882676444
55,35.166746104491295
56,35.39890009165903
57,35.83752520623281
58,35.92584784601283
59,36.06383134738772
60,35.10953253895509
61,35.49646196150321
62,35.339963336388635
63,36.11314390467461
64,36.107167736022
65,35.88857928505958
66,35.953437213565536
67,36.01330889092576
68,36.333547204399636
69,36.41543538038497
70,36.45836846929423
71,35.70276810265811
72,35.78526122823098
73,36.474005499541704
74,36.68126489459212
