Base index,400_2#TOP,400_2#BOT
1,30952,27258
2,331,251
3,48,74
4,14,17
5,38,29
6,15,34
7,11,6
8,5,12
9,13,20
10,2,2
11,4,4
12,3,1
13,6,4
14,5,6
15,3,3
16,4,3
17,2,2
18,2,6
19,0,3
20,2,4
21,2,3
22,1,0
23,1,4
24,3,2
26,2,3
27,0,1
28,1,1
29,1,3
30,2,2
31,2,2
32,2,1
33,5,3
34,2,0
35,4,2
37,1,2
38,2,1
39,3,2
40,0,2
41,1,4
42,2,2
43,0,1
44,1,1
45,0,2
46,1,4
47,1,2
48,0,4
49,3,1
50,2,5
51,2,8
52,0,2
53,2,12
54,2,1
55,1,4
56,1,2
57,0,1
58,3,3
59,3,4
60,1,5
61,0,2
62,1,7
63,0,10
64,0,6
65,1,3
66,2,8
67,3,4
68,2,1
69,1,1
70,0,1
71,0,6
72,2,1
73,2,1
74,3,0
75,0,2
76,3,4
77,3,1
78,1,2
79,1,2
80,3,2
81,3,3
82,1,4
83,4,1
84,2,5
85,0,8
86,1,5
87,2,4
88,4,2
89,4,6
90,3,2
91,6,0
92,4,5
93,5,2
94,4,3
95,2,3
96,7,1
97,0,3
98,6,3
99,2,2
100,1,2
101,4,4
102,1,8
103,2,3
104,0,2
105,2,1
106,3,1
107,2,2
108,1,1
109,1,2
110,3,1
111,2,5
112,4,1
113,1,3
114,0,3
116,1,4
117,2,1
118,3,0
119,1,1
120,7,2
121,1,3
122,4,2
123,1,2
124,4,1
125,2,2
126,6,2
127,2,0
129,7,0
130,3,1
131,2,0
132,7,2
133,2,0
134,5,0
135,6,0
136,6,1
137,1,1
139,3,0
140,2,1
141,2,2
142,6,3
143,6,1
144,2,6
145,3,2
146,8,1
147,7,5
148,4,2
149,4,1
150,13,1
151,13,1
152,8,3
153,11,0
154,5,1
155,3,1
156,7,2
157,21,0
158,6,2
159,1,0
160,8,1
161,20,0
162,15,0
163,7,2
164,13,0
165,12,0
166,7,1
167,12,3
168,10,3
169,17,0
170,8,0
171,18,1
172,16,2
173,5,1
174,4,0
175,25,0
176,11,0
177,11,0
178,8,3
179,9,4
180,28,1
181,34,2
182,54,2
183,83,3
184,120,3
185,254,0
186,126,0
187,283,1
188,156,1
189,209,4
190,362,2
191,507,3
192,518,2
193,1025,3
194,640,10
195,357,1
196,862,3
197,860,9
198,1068,5
199,651,5
200,1027,11
201,1572,30436
202,843,76
203,1352,14
204,1200,25
205,715,7
206,1042,4
207,382,1
208,862,5
209,587,14
210,283,16
211,127,4
212,184,9
213,225,8
214,115,6
215,87,11
216,46,4
217,63,5
218,57,6
219,38,1
220,17,5
221,22,1
222,39,4
223,14,3
224,37,1
225,23,3
226,24,8
227,20,2
228,5,4
229,8,5
230,11,6
231,10,4
232,9,1
233,14,2
234,19,2
235,11,8
236,21,3
237,32,1
238,13,9
239,12,1
240,9,2
241,5,2
242,6,2
243,13,3
244,6,0
245,6,3
246,12,1
247,4,2
248,4,0
249,4,3
250,7,2
251,4,2
252,5,4
253,3,3
254,4,0
255,3,0
256,0,2
257,0,1
258,1,13
259,7,1
261,3,2
262,2,3
263,9,2
264,5,3
265,5,1
266,3,4
267,5,3
268,12,1
269,6,1
270,6,3
271,3,7
272,4,1
273,5,9
274,2,9
275,0,3
276,0,5
277,2,1
278,0,5
279,5,1
280,2,2
281,0,1
282,3,2
283,2,0
284,6,1
285,0,3
286,1,0
287,3,2
288,1,3
289,0,3
290,7,0
291,0,1
292,2,3
293,2,2
294,3,0
295,2,7
296,1,2
297,1,0
298,4,4
299,5,3
300,4,1
301,3,1
302,2,0
303,4,0
304,1,1
305,2,0
306,4,0
308,4,0
310,2,1
311,0,1
313,0,3
314,1,1
315,1,0
316,0,2
317,0,1
319,3,0
320,1,1
321,0,2
325,1,1
326,1,4
