Base index shifted,ATMi4_2#TOP,ATMi4_2#BOT
-351.5,122845,13111
-350.5,1086,212
-349.5,297,37
-348.5,123,8
-347.5,193,23
-346.5,70,15
-345.5,54,7
-344.5,31,14
-343.5,45,3
-342.5,23,2
-341.5,16,2
-340.5,17,2
-339.5,109,1
-338.5,10,3
-337.5,21,1
-336.5,32,7
-335.5,13,1
-334.5,11,1
-333.5,6,1
-332.5,50,0
-331.5,32,0
-330.5,7,0
-329.5,21,3
-328.5,14,1
-327.5,18,0
-326.5,3,1
-325.5,12,5
-324.5,11,2
-323.5,3,0
-322.5,52,2
-321.5,10,0
-320.5,25,1
-319.5,13,0
-318.5,7,0
-317.5,9,0
-316.5,8,6
-315.5,30,0
-314.5,19,3
-313.5,14,2
-312.5,14,0
-311.5,4,0
-310.5,8,2
-309.5,6,1
-308.5,6,0
-307.5,26,0
-306.5,11,1
-305.5,6,0
-304.5,10,1
-303.5,1,0
-302.5,9,0
-301.5,11,0
-300.5,8,1
-299.5,12,3
-298.5,13,0
-297.5,4,1
-296.5,2,0
-295.5,7,1
-294.5,53,0
-293.5,8,0
-292.5,5,0
-291.5,7,1
-290.5,4,0
-289.5,7,0
-288.5,43,0
-287.5,8,1
-286.5,7,1
-285.5,5,0
-284.5,11,1
-283.5,9,0
-282.5,10,2
-281.5,12,0
-280.5,8,1
-279.5,2,3
-278.5,12,0
-277.5,8,2
-276.5,12,1
-275.5,5,2
-274.5,6,1
-273.5,14,0
-272.5,7,0
-271.5,5,0
-270.5,7,1
-269.5,5,2
-268.5,11,0
-267.5,5,0
-266.5,20,1
-265.5,8,0
-264.5,9,0
-263.5,11,1
-262.5,34,1
-261.5,16,0
-260.5,12,1
-259.5,15,0
-258.5,11,2
-257.5,17,0
-256.5,7,1
-255.5,16,0
-254.5,10,4
-253.5,12,2
-252.5,3,0
-251.5,24,0
-250.5,6,12
-249.5,6,0
-248.5,14,1
-247.5,13,3
-246.5,15,1
-245.5,17,1
-244.5,16,1
-243.5,15,3
-242.5,10,1
-241.5,22,2
-240.5,10,0
-239.5,17,1
-238.5,7,3
-237.5,15,5
