Base index shifted,ATMi2_3#TOP,ATMi2_3#BOT
-351.5,70667,42340
-350.5,729,567
-349.5,149,128
-348.5,61,47
-347.5,139,62
-346.5,33,67
-345.5,32,32
-344.5,12,22
-343.5,36,19
-342.5,21,5
-341.5,8,6
-340.5,6,4
-339.5,24,4
-338.5,8,2
-337.5,16,8
-336.5,20,17
-335.5,2,7
-334.5,5,1
-333.5,6,3
-332.5,16,4
-331.5,16,0
-330.5,4,2
-329.5,9,14
-328.5,6,2
-327.5,14,1
-326.5,7,0
-325.5,3,20
-324.5,7,0
-323.5,2,2
-322.5,43,8
-321.5,10,0
-320.5,10,0
-319.5,9,1
-318.5,3,0
-317.5,3,5
-316.5,5,9
-315.5,11,5
-314.5,5,4
-313.5,5,1
-312.5,3,2
-311.5,4,2
-310.5,3,2
-309.5,3,0
-308.5,4,0
-307.5,5,0
-306.5,5,1
-305.5,3,3
-304.5,2,1
-303.5,1,0
-302.5,2,1
-301.5,2,0
-300.5,7,0
-299.5,2,4
-298.5,8,2
-297.5,3,0
-296.5,0,5
-295.5,1,1
-294.5,13,0
-293.5,5,1
-292.5,2,5
-291.5,3,2
-290.5,1,1
-289.5,0,3
-288.5,5,1
-287.5,6,1
-286.5,1,1
-285.5,3,6
-284.5,4,1
-283.5,2,2
-282.5,1,1
-281.5,7,7
-280.5,2,1
-279.5,1,3
-278.5,3,1
-277.5,0,6
-276.5,3,2
-275.5,5,3
-274.5,2,1
-273.5,5,1
-272.5,2,2
-271.5,2,2
-270.5,4,1
-269.5,2,2
-268.5,2,4
-267.5,0,3
-266.5,0,1
-265.5,7,0
-264.5,8,0
-263.5,3,2
-262.5,11,3
-261.5,2,1
-260.5,4,1
-259.5,4,0
-258.5,5,1
-257.5,2,6
-256.5,9,3
-255.5,7,3
-254.5,4,6
-253.5,2,3
-252.5,1,1
-251.5,4,0
-250.5,5,6
-249.5,1,2
-248.5,1,3
-247.5,2,1
-246.5,4,0
-245.5,5,3
-244.5,11,1
-243.5,4,3
-242.5,6,6
-241.5,5,4
-240.5,9,0
-239.5,11,5
-238.5,1,3
-237.5,2,3
-236.5,9,7
-235.5,1,3
-234.5,8,3
-233.5,1,3
-232.5,5,5
-231.5,9,4
-230.5,3,3
-229.5,7,3
-228.5,3,2
-227.5,7,7
-226.5,4,6
-225.5,4,5
-224.5,4,5
-223.5,7,6
-222.5,5,4
-221.5,7,2
-220.5,2,3
-219.5,4,2
-218.5,14,6
-217.5,6,2
-216.5,5,9
-215.5,7,7
-214.5,6,6
-213.5,2,6
-212.5,7,4
