Base index,ATMi2_2#TOP,ATMi2_2#BOT
1,116523,19989
2,1135,245
3,242,45
4,141,6
5,231,13
6,61,15
7,47,2
8,19,1
9,52,6
10,23,0
11,12,9
12,18,3
13,72,2
14,19,0
15,20,2
16,28,6
17,11,2
18,11,0
19,6,1
20,28,1
21,21,0
22,14,0
23,19,5
24,15,0
25,25,1
26,10,0
27,7,6
28,5,0
29,7,0
30,48,3
31,6,0
32,17,0
33,9,0
34,4,1
35,8,3
36,6,12
37,24,4
38,10,4
39,8,0
40,7,0
41,3,1
42,10,0
43,2,1
44,3,0
45,7,0
46,1,1
47,5,0
48,1,0
49,4,1
50,9,0
51,4,1
52,5,0
53,8,1
54,14,1
55,4,0
56,3,1
57,4,0
58,27,2
59,3,0
60,4,7
61,3,0
62,3,1
63,6,2
64,21,0
65,4,0
66,7,3
67,4,0
68,6,0
69,5,2
70,5,2
71,8,1
72,2,1
73,7,0
74,4,1
75,5,2
76,9,1
77,11,1
78,3,1
79,12,1
80,8,2
81,4,0
82,6,0
83,10,3
84,9,0
85,4,1
86,13,2
87,13,0
88,8,2
89,5,0
90,36,2
91,5,0
92,12,3
93,11,1
94,11,2
95,8,1
96,11,1
97,11,1
98,11,4
99,2,0
100,7,0
101,12,0
102,11,15
103,5,1
104,3,0
105,7,3
106,12,0
107,16,1
108,17,1
109,13,0
110,14,3
111,13,3
112,12,2
113,16,2
114,9,1
115,16,3
116,24,5
117,4,0
118,18,0
119,6,1
120,16,0
121,20,2
122,6,1
123,9,3
124,6,1
125,6,1
126,16,3
127,7,5
128,20,5
129,11,1
130,11,2
131,27,2
132,6,3
133,11,2
134,9,5
135,19,0
136,10,4
137,13,2
138,9,2
139,8,4
140,11,2
141,12,3
142,6,3
143,23,2
144,10,4
145,14,0
146,5,2
147,23,1
148,14,1
149,9,0
150,16,0
151,14,2
152,17,3
153,14,2
154,17,1
155,18,2
156,3,2
157,13,2
158,4,6
159,24,1
160,32,2
161,11,4
162,20,5
163,12,2
164,14,2
165,14,6
166,5,3
167,14,3
168,4,2
169,12,1
170,10,3
171,2,3
172,11,2
173,2,3
174,3,1
175,5,1
176,4,4
177,3,1
178,6,3
179,2,3
180,10,2
181,1,3
182,6,4
183,3,1
184,2,7
185,3,1
186,6,2
187,2,0
188,5,0
189,5,3
190,3,3
191,0,1
192,4,1
193,0,3
194,0,1
195,1,1
196,1,1
197,1,2
198,2,1
199,3,5
200,1,1
201,1,2
202,1,2
203,1,4
204,0,5
205,2,6
206,4,3
207,2,3
208,0,4
209,1,0
210,3,2
211,0,3
212,0,2
213,0,3
214,1,0
215,1,2
216,0,1
217,0,4
218,0,1
219,3,2
220,2,5
221,2,1
222,0,2
223,1,1
224,0,1
225,4,0
226,1,0
227,1,1
228,1,2
229,2,1
230,3,3
231,1,2
232,2,3
235,2,1
236,1,4
237,0,2
238,2,2
239,0,2
240,5,2
241,2,1
242,0,1
243,1,1
244,2,1
245,1,0
246,1,1
247,1,2
248,1,1
250,3,2
251,3,0
253,2,1
254,0,1
255,1,1
256,1,0
257,2,1
260,0,2
262,0,1
264,1,0
268,0,1
269,1,0
272,1,0
273,1,2
274,1,0
275,1,0
276,1,0
278,1,0
284,1,0
285,0,1
294,0,1
296,0,1
297,1,0
298,0,2
299,0,2
300,0,2
301,0,1
302,1,0
306,0,1
307,0,1
308,1,0
309,1,0
311,0,2
312,1,4
313,2,1
314,3,0
315,0,2
316,3,2
317,0,3
318,1,1
319,1,4
320,2,0
321,2,3
322,1,2
323,8,6
324,2,8
325,5,2
326,6,3
327,4,3
328,10,2
329,4,13
330,11,3
331,5,2
332,8,2
333,15,2
334,5,5
335,10,2
336,19,0
337,23,3
338,6,2
339,15,10
340,30,4
341,51,7
342,77,6
343,139,7
344,290,9
345,385,58
346,547,31
347,693,33
348,240,34
349,1535,17
350,950,31
351,1141,16
352,1283,66
353,1556,99362
354,928,1699
355,402,140
356,1501,139
357,861,123
358,670,63
359,859,29
360,326,123
361,478,51
362,247,81
363,214,83
364,99,60
365,94,44
366,74,25
367,34,24
368,60,67
369,39,70
370,46,20
371,24,30
372,64,20
373,39,24
374,34,32
375,13,11
376,24,35
377,15,9
378,16,17
379,13,55
380,10,17
381,8,5
382,8,9
383,11,37
384,7,15
385,3,10
386,7,9
387,3,12
388,7,6
389,8,14
