Distance from 5'-end,ATMi1_2
0,31.20460484793499
1,30.823604098457654
2,31.567142321801903
3,31.583803400260344
4,31.746915802137984
5,32.92682487870301
6,33.89152055145754
7,33.28767849394501
8,33.07895891680801
9,33.49284544988363
10,34.64461461086348
11,32.59273302828291
12,35.96565963867303
13,35.92883170289141
14,35.978874107530274
15,35.96762455129975
16,35.941242455918896
17,36.18884856613151
18,36.10091810973926
19,36.08960198808725
20,36.021429134945365
21,36.09842313912666
22,36.06500236677054
23,36.09873870853221
24,36.32187586288509
25,36.5140428385468
26,36.495552443690585
27,36.998293952901264
28,36.91890112816063
29,36.89267435209656
30,36.845067748806756
31,36.761602106425784
32,36.65350479271034
33,36.54414520137273
34,36.25369807897124
35,36.2529066900714
36,36.44468413474814
37,36.62060421679618
38,36.21775768214272
39,36.09306585539032
40,36.500271192457895
41,37.08880073764349
42,36.82329099443809
43,36.424793400654806
44,35.8721450830342
45,35.88155053055106
46,36.45528282907972
47,36.46948838310126
48,36.4134772790028
49,36.22252327324366
50,36.57666364245986
51,36.237675535481834
52,36.37822225947694
53,36.139346081022445
54,36.31627450593665
55,36.21996666798154
56,36.19714212457102
57,36.15567433237348
58,36.370278785846715
59,35.897321604670424
60,35.93135625813577
61,36.168686639580294
62,35.95229478127096
63,36.42756202911128
64,36.715191215336674
65,36.585504516587115
66,36.73873565145359
67,36.411665220306894
68,36.498678553114274
69,36.55436422626327
70,36.690184805333125
71,36.47704725651848
72,36.70590903711885
73,36.67856544120548
74,36.94623732791606
75,36.43672340341604
