Base index shifted,ATMi4#TOP#AVERAGE,ATMi4#TOP#STD,ATMi4#BOT#AVERAGE,ATMi4#BOT#STD
-48.5,1.4101985559566788e-05,1.994321923472889e-05,1.3255769756217064e-05,2.805402040153013e-06
-47.5,2.8203971119133575e-05,0,0.0,0
-46.5,2.8252261489947432e-05,6.82928973369798e-08,0.0,0.0
-44.5,2.8268358280218716e-05,2.830060679391033e-05,2.9896706877737417e-06,5.17826152912351e-06
-43.5,3.83641643817913e-05,4.4326357399712305e-05,3.757350316556764e-06,6.50792165011132e-06
-42.5,1.8834840993298286e-05,1.6311522258576467e-05,6.747021004330506e-06,5.955477844192417e-06
-40.5,9.420639854703401e-05,8.641774034035462e-05,8.06950020869502e-06,7.659461083921782e-06
-39.5,5.640794223826715e-05,0,0.0,0
-38.5,4.779768166871173e-05,3.385369524665296e-05,3.757350316556764e-06,6.50792165011132e-06
-37.5,1.8834840993298286e-05,1.6311522258576467e-05,1.1826850525251783e-05,3.1718402874852575e-06
-36.5,4.2354247049514216e-05,1.987492633739191e-05,0.0,0.0
-35.5,4.779768166871173e-05,3.385369524665296e-05,6.747021004330506e-06,5.955477844192417e-06
-34.5,5.655281335070872e-05,4.0091317161468725e-05,5.636025474835146e-06,7.970543664392127e-06
-33.5,8.470849409902843e-05,3.974985267478382e-05,1.1272050949670293e-05,1.5941087328784255e-05
-32.5,7.06547989102755e-05,2.014809792673983e-05,2.087551403759898e-05,1.3581347744698154e-05
-31.5,0.0001433930450061352,0.00010156108573995889,3.757350316556764e-06,6.50792165011132e-06
-30.5,4.707100569297443e-05,4.310349228108291e-05,1.1059170896468762e-05,9.672097457912408e-06
-29.5,0.00015130882318049586,8.976039786867466e-05,0.0,0.0
-28.5,5.647232939935229e-05,5.6408052480787e-05,2.706633908801562e-05,2.937357963881312e-05
-27.5,0.00018106272699273176,6.893850369648484e-05,2.9896706877737417e-06,5.17826152912351e-06
-26.5,9.407762422486372e-05,0.00011739161376350844,2.198650956709434e-05,2.0584710418945162e-05
-25.5,0.00034404948254844513,0.00023273625848079147,1.558420084180855e-05,6.794106705851196e-06
-24.5,0.0003236969024425871,0.00010466954914946938,3.082368940457238e-05,2.696527775478092e-05
-23.5,0.00018106272699273176,6.893850369648484e-05,2.2886021421720545e-05,1.0215327851127971e-05
-22.5,0.0006634829098782361,0.00012311345311048652,2.1563542217356033e-05,5.8952557091015485e-06
-21.5,0.0004387572020074184,0.0002488737303225419,2.9896706877737417e-06,5.17826152912351e-06
-20.5,0.0005596176389804836,0.0002414418301430737,1.3494042008661012e-05,1.1910955688384833e-05
-19.5,0.0014090890397788999,0.000517737943872713,1.1272050949670293e-05,1.952376495033396e-05
-18.5,0.0006142640698385924,0.0003062282721312434,4.090509337572134e-05,1.3653886039514402e-05
-17.5,0.0011457743184415702,0.0003339368684480033,2.3308988771458856e-05,3.291191646821689e-05
-16.5,0.000997937907237048,0.00015938904609835727,9.736691692104248e-06,9.067037742799296e-06
-15.5,0.001004464720621019,0.0002463231951790833,1.7806191900799266e-05,8.12737136995472e-06
-14.5,0.0005989982215628954,8.458652919852614e-05,2.399841332954828e-05,2.26843910135571e-05
-13.5,0.0009588148732989768,0.0001396442728649637,2.886536279726803e-05,1.6844570427540262e-05
-12.5,0.0010417618560178469,0.00033267447047910395,3.923790189231212e-05,1.068349166889686e-05
-11.5,0.002774773153303132,0.00023139640995517864,4.355005178445037e-05,1.5110827028467395e-05
-10.5,0.005016716627180117,0.0007952946366922406,5.746706114284969e-05,2.977717272040202e-05
-9.5,0.008198119889267965,0.0010348409116299655,5.725697384631291e-05,2.893069536164884e-05
-8.5,0.03612798950706201,0.005748959864585483,2.664337173827731e-05,3.974003072608485e-06
-7.5,0.034489761922752785,0.0015914492138345713,0.00039973162390151797,5.1240307253892736e-05
-6.5,0.037042730354443866,0.0020147859303485216,0.00012522561355338512,6.389076248794565e-05
-5.5,0.046240493904738555,0.0014197456288913119,0.00014478004476495195,5.4232956003828786e-05
-4.5,0.04786612669599897,0.0019393974720052307,0.000115755379069632,8.688706627257076e-06
-3.5,0.05495568290989933,0.004785614234385181,0.00011157506140333693,3.1088078656761014e-05
-2.5,0.050971118924301596,0.0018751444593352378,0.00010302901668975401,1.1940576437080165e-05
-1.5,0.06992573428422696,0.00162782913358011,0.00016369862857357897,4.1025071552391434e-05
-0.5,0.05950682536391604,0.0012111160744113715,0.00034649845758011295,2.294362052231046e-05
0.5,0.11312867715690088,0.009398831600580443,0.9683535188724556,0.0023346246314754652
1.5,0.06887194601923315,0.0026907347766680174,0.01541500790415493,0.002173078171966243
2.5,0.05100868122595521,0.0016138414507527008,0.0006607189143254459,7.342687989377832e-05
3.5,0.05983135147664678,0.005605590083232656,0.001707088918971897,0.00015172799036392704
4.5,0.03553345221162429,0.005043985710843981,0.0006560084749991133,4.083785903464741e-05
5.5,0.04229387434982391,0.004105313462119857,0.0005506764194230102,1.181232075250911e-05
6.5,0.04619709710207542,0.0023693666876104945,0.00025323360325467197,5.632491397077256e-05
7.5,0.020023095495425892,0.0030030255732159702,0.001102123311231468,6.07696100335814e-05
8.5,0.03163298352415805,0.0012947135385448791,0.0003597824122922372,7.839455211554855e-05
9.5,0.021784583246913982,0.000343245331980935,0.00047855213996518694,5.0600262215927e-05
10.5,0.010512577163538412,0.0013723960790346127,0.000342609275037713,1.5764663959780145e-05
11.5,0.005158664443826306,0.0013062323971764413,0.0002615695606717181,6.706838428826366e-05
12.5,0.003845870396586161,0.0001457336686484618,0.00023219738994068867,3.193553760482942e-05
13.5,0.0033235498930025047,0.000401673283383399,0.00017626568805540502,4.852870228848705e-05
