Base index,AT_3#TOP,AT_3#BOT
1,79745,73776
2,397,724
3,135,180
4,74,80
5,88,120
6,68,117
7,48,54
8,12,35
9,22,10
10,7,13
11,5,11
12,8,11
13,31,8
14,14,12
15,9,26
16,8,30
17,3,6
18,7,6
19,1,3
20,20,1
21,6,2
22,3,2
23,4,9
24,4,10
25,3,3
26,9,4
27,2,23
28,8,5
29,5,5
30,3,3
31,7,4
32,21,0
33,2,1
34,4,0
35,0,7
36,3,2
37,10,2
38,5,1
39,3,0
40,3,3
41,1,1
42,3,1
43,4,1
44,0,1
45,9,1
46,3,4
47,1,1
48,5,0
49,1,2
50,7,0
51,3,1
52,4,0
53,0,6
54,5,2
55,3,1
56,1,2
57,2,1
58,12,5
59,4,1
60,3,4
61,8,3
62,6,3
63,1,4
64,15,0
65,8,2
66,5,2
67,6,4
68,6,4
69,3,2
70,5,1
71,5,0
72,5,2
73,4,2
74,2,1
75,5,1
76,3,3
77,7,0
78,4,3
79,5,1
80,5,0
82,2,1
83,6,2
84,11,2
85,4,0
86,6,2
87,9,1
88,7,3
89,3,3
90,14,2
91,8,5
92,12,3
93,5,3
94,2,1
95,2,2
96,5,3
97,8,1
98,3,6
99,2,3
100,6,3
101,17,3
102,5,12
103,5,1
104,8,2
105,28,1
106,3,1
107,18,4
108,4,1
109,12,2
110,9,3
111,15,2
112,5,2
113,5,0
114,21,4
115,11,3
116,13,3
117,6,5
118,7,7
119,11,4
120,13,7
121,10,6
122,1,6
123,7,2
124,4,5
125,21,2
126,11,5
127,6,5
128,20,5
129,7,4
130,16,1
131,18,4
132,9,4
133,12,6
134,14,0
135,14,8
136,6,5
137,14,7
138,9,5
139,6,10
140,24,7
141,22,2
142,9,5
143,15,7
144,20,7
145,20,8
146,13,5
147,15,7
148,20,5
149,14,5
150,17,10
151,15,4
152,14,4
153,27,7
154,12,11
155,21,7
156,18,15
157,27,10
158,15,10
159,11,5
160,13,14
161,17,7
162,27,10
163,8,8
164,8,7
165,12,9
166,7,11
167,7,5
168,12,5
169,16,16
170,9,6
171,7,12
172,6,7
173,9,13
174,11,10
175,8,8
176,8,15
177,0,7
178,3,12
179,5,6
180,8,1
181,6,8
182,3,6
183,5,3
184,4,6
185,3,2
186,1,4
187,3,5
188,5,13
189,4,16
190,3,5
191,2,5
192,5,8
193,1,7
194,0,8
195,3,8
196,2,6
197,2,9
198,3,5
199,4,4
200,3,8
201,2,4
202,3,8
203,2,7
204,1,7
205,4,7
206,5,1
207,3,3
208,3,5
209,10,4
210,1,6
211,4,4
212,2,9
213,7,5
214,1,5
215,3,8
216,4,15
217,2,14
218,0,5
219,1,6
220,2,9
221,0,5
222,1,5
223,1,2
224,1,3
225,1,3
226,5,2
227,0,7
228,1,6
229,0,5
230,4,3
231,1,4
232,3,1
234,0,3
235,1,0
236,0,2
237,1,1
238,1,2
239,0,1
240,2,1
241,1,3
242,0,2
246,1,0
247,3,1
248,3,0
249,2,0
250,1,0
251,1,0
252,0,1
253,0,2
254,0,3
255,2,1
256,4,0
257,1,1
258,1,0
261,2,1
264,0,1
265,1,0
266,0,1
267,1,1
268,0,1
269,1,0
271,0,1
272,2,0
275,1,0
276,4,0
278,0,1
279,0,1
281,3,0
283,0,1
284,3,0
285,2,1
286,2,1
287,1,0
288,1,0
289,1,0
290,2,0
291,1,0
292,1,0
293,2,1
294,3,1
295,5,0
296,1,0
297,1,0
298,0,3
299,1,0
300,7,0
301,4,1
302,1,1
303,5,0
304,1,1
305,4,1
306,11,0
307,4,2
308,6,1
309,1,0
310,9,0
311,7,0
312,11,2
313,15,0
314,15,1
315,8,0
316,24,1
317,22,2
318,14,2
319,43,1
320,36,1
321,44,2
322,63,2
323,56,2
324,89,1
325,52,3
326,74,0
327,72,4
328,110,1
329,100,0
330,92,3
331,132,3
332,196,3
333,171,3
334,181,1
335,190,2
336,227,4
337,355,5
338,488,4
339,616,5
340,1085,3
341,873,3
342,1128,4
343,1980,4
344,1461,4
345,1699,7
346,1992,12
347,2995,3
348,2456,15
349,2387,20
350,2453,14
351,2454,17
352,2713,19
353,2616,61490
354,2399,311
355,4639,61
356,3686,46
357,2215,43
358,3601,45
359,1504,20
360,1781,23
361,1442,28
362,885,26
363,754,28
364,880,21
365,489,20
366,500,21
367,273,25
368,200,21
369,175,25
370,148,55
371,123,19
372,105,20
373,72,24
374,50,21
375,57,38
376,50,73
377,60,38
378,41,49
379,72,27
380,19,51
381,57,33
382,26,25
383,31,34
384,20,29
385,17,36
386,24,11
387,28,27
388,27,21
389,31,18
390,18,11
391,24,22
392,31,18
393,10,26
394,14,15
395,11,20
396,9,21
397,10,12
398,11,8
399,4,10
400,33,15
401,7,27
402,14,20
403,27,11
404,15,14
405,20,10
406,15,11
407,5,10
408,9,18
409,4,17
410,4,13
411,1,17
412,2,21
413,7,18
414,2,14
415,6,22
416,8,7
417,3,18
418,3,4
419,1,12
420,5,12
421,7,14
422,3,17
423,4,11
424,2,4
425,6,9
426,10,8
427,4,14
428,8,7
429,4,16
430,2,3
431,9,16
432,6,11
433,1,5
434,4,6
435,4,13
436,6,11
437,1,8
438,4,13
439,2,7
440,3,4
441,16,3
442,4,8
443,6,11
444,7,14
445,8,10
446,1,19
447,8,8
448,4,8
449,3,9
450,2,7
451,6,18
452,5,13
453,5,14
454,9,12
455,7,12
456,3,7
457,10,13
458,0,18
459,5,6
460,6,11
461,3,24
462,6,11
463,6,13
464,3,14
465,7,13
466,2,13
467,4,16
468,7,24
469,4,18
470,2,17
471,7,14
472,5,16
473,8,15
474,3,18
475,6,18
476,10,23
477,7,11
478,16,22
479,8,18
480,3,40
481,7,29
482,9,35
483,6,41
484,3,37
485,17,29
486,10,16
487,13,22
488,21,59
489,13,45
490,5,41
491,5,35
492,16,22
493,13,20
494,14,37
495,11,40
496,10,36
497,10,43
498,8,38
499,31,41
500,16,20
501,12,40
502,16,43
503,10,42
504,21,28
505,14,37
506,15,33
507,17,11
508,10,38
509,17,33
510,25,38
511,23,43
512,26,39
513,18,33
514,13,26
515,16,39
516,11,28
517,12,30
518,14,30
519,21,31
520,25,15
521,22,24
522,19,33
523,24,22
524,25,20
525,34,11
526,16,23
527,12,66
528,24,25
529,27,12
530,15,33
531,26,45
532,30,27
533,17,15
534,15,11
535,21,40
536,16,44
537,23,55
538,15,22
539,12,22
540,19,30
541,25,15
542,22,21
543,17,12
544,25,22
545,18,26
546,36,21
547,21,26
548,12,27
549,11,20
550,21,22
551,12,12
552,23,26
553,32,22
554,23,13
555,27,15
556,16,15
557,19,19
558,17,17
559,16,15
560,19,6
561,14,14
562,16,24
563,22,21
564,13,15
565,14,21
566,12,21
567,20,14
568,12,14
569,13,19
570,11,4
571,11,8
572,4,10
573,18,8
574,18,9
575,21,6
576,12,9
577,12,2
578,7,5
579,3,6
580,9,2
581,9,5
582,13,2
583,6,5
584,3,7
585,7,2
586,7,5
587,7,5
588,9,8
589,12,1
590,8,0
591,9,2
592,5,1
593,9,3
594,3,2
595,1,2
596,2,2
597,1,4
598,5,3
599,12,1
600,2,3
601,2,2
602,2,1
603,1,1
605,4,1
606,2,3
607,2,3
608,3,1
609,6,2
610,8,0
611,4,0
612,1,0
613,3,0
614,1,1
615,0,1
617,0,1
618,1,0
619,1,0
620,0,1
621,4,0
622,3,0
623,2,0
625,6,0
626,2,0
627,1,0
628,2,0
