Base index shifted,400#TOP#AVERAGE,400#TOP#STD,400#BOT#AVERAGE,400#BOT#STD
-49.5,0.0005005061286595113,0.00017801451706499476,3.153140971600153e-05,3.1097564446225413e-05
-48.5,0.0002806102637283288,0.0001101202717303944,3.9326526211907865e-05,5.122593200850235e-05
-47.5,0.00041162390034651003,0.00019072013517862656,7.1826696546572435e-06,1.2440748775849548e-05
-46.5,0.00030220647189731524,8.63661166632042e-05,1.7988690769622503e-05,1.6499523243563368e-05
-45.5,0.0001678955349171892,9.308984151918131e-05,3.871407937065878e-05,2.103310831484207e-05
-44.5,0.0003460449425184119,9.701960488370498e-06,2.1612042229930516e-05,3.743315519756383e-05
-43.5,0.0006067935151617974,0.0004479918438846729,4.199919077736285e-05,4.1461659433801545e-05
-42.5,0.00033733087373525884,8.007374064904445e-05,2.879471188458776e-05,3.3019946372585526e-05
-41.5,0.0002533361838302306,0.00018179530482933536,1.381692573402418e-05,2.3931617375735785e-05
-40.5,0.00029885873739022277,9.457691074967962e-05,6.77189647769329e-05,5.3511326097947293e-05
-39.5,0.0006559044751660872,0.00031432798827540535,0.0,0.0
-38.5,0.000670544111012985,0.00016944412366945522,6.90846286701209e-06,1.1965808687867893e-05
-37.5,0.00029946138092562676,8.995343795493754e-05,2.852050509694261e-05,3.311349742812194e-05
-36.5,0.0006702095941829125,0.000368929867108613,1.4091132521669334e-05,1.2210208346822522e-05
-35.5,0.00048478505340912196,0.00011104663484548312,3.509072791035076e-05,3.185172522318448e-05
-34.5,0.0003534368999608683,0.00012935966670842093,3.926249294594908e-05,2.2745249168872492e-05
-33.5,0.0008505244285974409,0.00021319495448828067,6.696037767995622e-05,5.807686397686707e-05
-32.5,0.00046073486035079974,4.050899239936543e-05,8.132571698927071e-05,3.326086909335758e-05
-31.5,0.000740023012738432,0.00022968733062119566,1.4091132521669334e-05,1.2210208346822522e-05
-30.5,0.0005267721826762869,0.00010926015402702718,2.1273802176326576e-05,2.1553242410333023e-05
-29.5,0.0009564772982696546,0.00028302969765278,5.9987881546985346e-05,2.5561797364175312e-05
-28.5,0.0008687499228823137,0.00023291569674229067,3.570317475159985e-05,2.523322893606999e-05
-27.5,0.00035772179483343727,9.248403171269977e-05,3.953669973359423e-05,4.3534733251410884e-05
-26.5,0.0002954171579902629,8.07185741068012e-05,6.90846286701209e-06,1.1965808687867893e-05
-25.5,0.001405775978242634,0.00014439362323906738,4.97302740073104e-05,5.4345118133621214e-05
-24.5,0.0006585557212449083,0.0001291340458815039,2.072538860103627e-05,3.589742606360368e-05
-23.5,0.0007735137657826277,0.00039777576740501465,7.1826696546572435e-06,1.2440748775849548e-05
-22.5,0.000379629540455475,0.00011745886660250892,6.750879125524654e-05,2.7470066839116222e-05
-21.5,0.00029671628995393823,0.00015795888449938002,5.704101019388522e-05,6.622699485624388e-05
-20.5,0.0016816225512303062,0.00035871939249310574,4.589674902531602e-05,1.5075451452219216e-05
-19.5,0.0016061676482959667,0.00016261408149763638,6.415964658258366e-05,2.2378299208909197e-05
-18.5,0.0029753802890900723,0.00048794417924097864,3.54289679639547e-05,3.283485146774515e-05
-17.5,0.0043989189217290845,0.00023726423078348414,8.82341798562828e-05,4.137230433344766e-05
-16.5,0.005655480675830468,0.0007103010886895812,8.159992377691586e-05,1.6344000941227935e-05
-15.5,0.011567319685750354,0.0012024018655437587,3.48165211227056e-05,4.3014032499124145e-05
-14.5,0.0062265771483933675,0.000933036912701142,2.8182265043338668e-05,2.4420416693645043e-05
-13.5,0.012950896812288596,0.0012613779214632134,7.380480728100952e-05,4.664672917996592e-05
-12.5,0.008070767835621417,0.0004941127795209577,3.207982329129183e-05,1.1189149604454598e-05
-11.5,0.011380997558789286,0.0008813092240245265,0.0001349535492445343,1.4009499216774153e-05
-10.5,0.01841495013018984,0.00110437541429315,4.261163761861194e-05,2.1667394438213494e-05
-9.5,0.02509406580137556,0.0011865281172574857,6.087453517587959e-05,3.840340041019472e-05
-8.5,0.027033172175668075,0.001705488564909741,7.106810944959577e-05,1.316505641601485e-05
-7.5,0.050738044272888375,0.0030118274023251067,6.778299804289168e-05,2.8033820215175924e-05
-6.5,0.03349723163419176,0.0013049872309402444,0.00025587999923335804,5.947932314619043e-05
-5.5,0.01800894919203619,6.11450046510318e-05,7.407901406865468e-05,3.711765224568669e-05
-4.5,0.04419265792893957,0.0011140396781692677,0.00010314793274088759,2.3748241692608578e-05
-3.5,0.041695284239318516,0.0022408671085423406,0.00014643605046670742,0.00012618709248629498
