Base index shifted,704_1#TOP,704_1#BOT
-351.5,46752,45920
-350.5,382,471
-349.5,55,77
-348.5,28,27
-347.5,65,21
-346.5,10,15
-345.5,15,16
-344.5,9,4
-343.5,8,7
-342.5,1,1
-341.5,7,3
-340.5,5,2
-339.5,6,4
-338.5,1,1
-337.5,4,3
-336.5,4,2
-335.5,3,6
-334.5,4,3
-333.5,0,2
-332.5,5,2
-331.5,4,1
-330.5,2,2
-329.5,1,3
-328.5,1,1
-327.5,2,0
-326.5,1,0
-325.5,3,3
-324.5,4,0
-323.5,1,2
-322.5,1,1
-321.5,2,0
-320.5,5,0
-319.5,1,0
-318.5,2,0
-317.5,1,0
-316.5,2,0
-315.5,2,0
-314.5,2,0
-313.5,1,0
-312.5,1,1
-311.5,1,0
-310.5,4,1
-309.5,2,0
-308.5,1,1
-307.5,3,0
-306.5,0,1
-305.5,3,0
-304.5,2,0
-303.5,0,2
-302.5,1,0
-301.5,0,2
-300.5,3,0
-299.5,3,3
-298.5,3,0
-297.5,1,0
-296.5,2,3
-295.5,0,2
-294.5,1,1
-293.5,1,2
-292.5,3,2
-291.5,1,0
-290.5,1,0
-289.5,0,3
-288.5,4,0
-286.5,0,1
-285.5,0,1
-284.5,1,0
-283.5,1,1
-282.5,1,0
-281.5,1,0
-279.5,1,1
-277.5,0,3
-276.5,4,0
-275.5,0,1
-273.5,1,0
-272.5,2,0
-271.5,0,2
-269.5,2,1
-267.5,1,0
-266.5,4,1
-265.5,9,0
-264.5,4,1
-263.5,1,0
-262.5,6,1
-261.5,2,2
-260.5,4,1
-259.5,3,0
-258.5,1,0
-257.5,3,0
-256.5,3,0
-255.5,2,0
-254.5,3,2
-253.5,1,0
-252.5,3,1
-251.5,4,0
-250.5,2,0
-249.5,1,1
-247.5,1,1
-246.5,3,0
-245.5,3,2
-244.5,3,0
-243.5,2,0
-242.5,4,0
-241.5,5,3
-240.5,2,0
-239.5,1,0
-238.5,1,0
-237.5,3,2
-236.5,5,1
-235.5,2,1
-232.5,4,0
-231.5,1,0
-230.5,0,1
-229.5,0,2
-228.5,1,0
-226.5,0,2
-225.5,1,0
-224.5,1,0
-223.5,1,0
-222.5,4,0
-220.5,2,1
-219.5,4,0
-218.5,2,0
-217.5,2,0
-216.5,1,1
-215.5,2,2
-214.5,0,1
-212.5,3,1
-211.5,1,0
-210.5,0,1
-209.5,0,1
-208.5,1,1
-207.5,2,1
-205.5,3,1
-204.5,1,0
-203.5,1,0
-202.5,2,1
-201.5,5,1
-200.5,3,2
-198.5,2,2
-197.5,2,4
-196.5,1,4
-195.5,0,2
-194.5,0,1
-193.5,3,1
-192.5,0,1
-191.5,1,4
-190.5,2,1
-189.5,1,3
-188.5,1,1
-187.5,1,2
-186.5,0,1
-185.5,1,1
-184.5,1,1
-183.5,1,2
-181.5,2,0
-180.5,2,0
-178.5,4,3
-177.5,2,1
-176.5,1,1
-175.5,0,1
-174.5,2,2
-173.5,3,1
-172.5,3,1
-171.5,1,2
-170.5,1,1
-168.5,0,4
-167.5,3,2
-166.5,1,0
-164.5,0,2
-163.5,0,2
-162.5,1,0
-158.5,1,0
-157.5,1,3
-156.5,3,0
-154.5,1,0
-153.5,3,0
-152.5,1,1
-151.5,1,0
-150.5,4,0
-149.5,4,2
-146.5,0,3
-145.5,1,0
-144.5,0,2
-142.5,1,0
-141.5,1,0
-140.5,0,2
-138.5,1,0
-137.5,0,1
-136.5,0,2
-134.5,1,0
-133.5,2,1
-132.5,1,0
-131.5,1,0
-130.5,1,0
-129.5,1,1
-128.5,3,0
-127.5,1,1
-126.5,1,0
-123.5,1,2
-122.5,1,3
-121.5,1,0
-120.5,1,2
-119.5,2,0
-118.5,2,3
-117.5,1,0
-116.5,3,0
-114.5,1,2
-113.5,1,0
-112.5,2,0
-111.5,1,2
-110.5,1,1
-109.5,5,0
-108.5,0,2
-107.5,2,0
-106.5,4,0
-105.5,0,1
-104.5,3,1
-103.5,0,1
-102.5,1,0
-101.5,1,0
-100.5,0,1
-98.5,2,1
-97.5,1,0
-93.5,0,1
-92.5,2,0
-91.5,2,1
-89.5,0,1
-88.5,0,1
-86.5,1,0
-85.5,1,0
-84.5,0,1
-83.5,1,0
-82.5,1,0
-81.5,1,1
-80.5,1,0
-79.5,0,2
-78.5,2,2
-77.5,0,2
-76.5,2,1
-75.5,1,0
-74.5,3,2
-71.5,7,0
-70.5,1,1
-69.5,0,3
-68.5,1,0
-67.5,5,0
-65.5,3,0
-64.5,4,0
-63.5,2,1
-59.5,2,0
-58.5,2,0
-57.5,4,0
-56.5,1,0
-55.5,1,1
-54.5,2,0
-53.5,5,3
-52.5,3,1
-51.5,6,0
-50.5,3,1
-49.5,2,3
-48.5,4,2
-47.5,5,0
-46.5,5,0
-45.5,2,0
-44.5,1,1
-43.5,7,1
-42.5,5,0
-41.5,1,0
-40.5,6,0
-39.5,7,0
-38.5,8,0
-37.5,3,1
-36.5,6,1
-35.5,11,2
-34.5,7,3
-33.5,7,1
-32.5,8,2
-31.5,9,1
-30.5,10,0
-29.5,14,4
-28.5,6,0
-27.5,3,1
-26.5,9,0
-25.5,22,0
-24.5,7,1
-23.5,13,0
-22.5,8,0
-21.5,8,4
-20.5,41,1
-19.5,27,0
-18.5,60,1
-17.5,106,1
-16.5,143,2
-15.5,278,3
-14.5,192,4
-13.5,318,3
-12.5,269,0
-11.5,353,7
-10.5,588,2
-9.5,865,6
-8.5,944,2
-7.5,1390,2
-6.5,917,7
-5.5,597,2
-4.5,1374,6
-3.5,1376,10
-2.5,1780,3
-1.5,1227,7
-0.5,1618,6
0.5,2319,46833
1.5,1459,138
2.5,2198,9
3.5,2111,27
4.5,1304,7
5.5,2098,8
6.5,790,6
7.5,1501,6
8.5,989,23
9.5,670,5
10.5,318,8
11.5,360,7
12.5,484,10
13.5,313,2
14.5,194,14
15.5,81,4
16.5,83,7
17.5,71,9
18.5,68,10
19.5,42,8
20.5,27,5
21.5,39,9
22.5,15,6
23.5,37,2
24.5,29,1
25.5,23,2
26.5,21,5
27.5,15,4
28.5,4,4
29.5,14,4
30.5,10,6
31.5,11,2
32.5,11,10
33.5,14,5
34.5,16,7
35.5,7,3
36.5,23,2
37.5,14,5
38.5,11,3
39.5,9,2
40.5,7,5
41.5,8,6
42.5,2,2
43.5,2,5
44.5,0,2
45.5,2,0
46.5,2,2
47.5,3,0
48.5,4,5
49.5,1,6
50.5,3,4
51.5,3,5
52.5,1,2
53.5,1,0
54.5,1,2
55.5,0,1
56.5,0,2
57.5,0,3
58.5,0,1
59.5,0,4
60.5,2,4
61.5,0,2
62.5,2,2
63.5,0,2
65.5,1,1
66.5,1,1
67.5,2,1
68.5,2,2
69.5,0,1
70.5,0,6
71.5,0,2
72.5,2,3
73.5,1,3
74.5,0,2
75.5,0,2
76.5,0,2
79.5,0,1
80.5,0,2
82.5,0,2
83.5,0,2
85.5,0,1
86.5,0,2
87.5,0,1
88.5,1,1
89.5,1,0
91.5,0,1
92.5,2,0
93.5,0,1
94.5,1,2
95.5,0,2
96.5,2,1
97.5,0,4
98.5,1,1
99.5,0,1
100.5,1,0
101.5,2,0
102.5,1,1
103.5,2,2
104.5,2,0
105.5,4,1
106.5,0,1
107.5,1,0
108.5,1,1
109.5,1,1
110.5,2,1
111.5,0,2
112.5,1,1
113.5,2,1
114.5,1,3
115.5,1,1
116.5,0,1
117.5,0,4
118.5,1,1
120.5,0,1
121.5,0,1
122.5,1,1
123.5,0,2
125.5,1,2
126.5,1,1
127.5,0,4
128.5,1,1
129.5,0,3
130.5,1,0
131.5,1,0
132.5,0,3
133.5,1,0
134.5,0,1
135.5,2,2
136.5,0,4
137.5,0,3
138.5,0,2
139.5,0,1
141.5,1,0
143.5,0,1
144.5,1,6
145.5,0,4
146.5,0,1
147.5,0,1
148.5,2,4
149.5,3,1
150.5,2,3
151.5,1,2
152.5,0,4
153.5,0,1
154.5,0,1
155.5,0,1
157.5,1,2
158.5,0,3
159.5,0,1
160.5,2,2
161.5,3,1
162.5,4,4
163.5,1,1
168.5,0,3
169.5,0,2
170.5,1,3
173.5,0,1
175.5,0,3
177.5,0,2
178.5,0,1
179.5,0,1
180.5,2,0
181.5,1,0
182.5,1,2
184.5,2,3
185.5,2,0
186.5,0,6
187.5,0,9
189.5,1,3
190.5,0,2
192.5,1,0
193.5,2,1
194.5,2,4
195.5,2,1
196.5,0,3
197.5,1,1
198.5,1,1
199.5,1,0
200.5,1,0
201.5,0,1
202.5,0,2
203.5,0,1
204.5,0,1
205.5,0,1
208.5,2,0
209.5,0,1
210.5,1,4
211.5,1,1
212.5,1,0
213.5,0,2
214.5,1,2
217.5,0,1
218.5,2,0
224.5,0,1
226.5,1,0
227.5,0,1
228.5,0,4
229.5,0,1
230.5,0,3
233.5,2,1
234.5,1,1
235.5,0,1
238.5,1,0
239.5,0,1
242.5,0,1
243.5,1,0
244.5,0,2
249.5,0,1
259.5,0,1
262.5,1,0
269.5,0,1
276.5,1,0
277.5,1,0
