Distance from 5'-end,1500_1
0,31.70813269127876
1,31.600707449022057
2,31.72515010998157
3,31.743876701741872
4,31.804886748706974
5,33.38226026990072
6,35.05071042149694
7,33.99518459069021
8,33.165358777718325
9,31.688217109565425
10,33.60269900719339
11,32.07489150466679
12,35.89481897627965
13,35.916815290410796
14,36.332188930503534
15,35.37806908031627
16,35.53718566078117
17,36.100856072766184
18,36.04039593365436
19,35.69854645978241
20,35.40566850960109
21,35.709232506985316
22,36.287126211283514
23,36.71968075619761
24,36.82783425480055
25,36.72509066048392
26,37.41714226264788
27,36.94518756316509
28,35.36332560489864
29,36.51279650436954
30,37.08981332857737
31,36.48568753344034
32,35.94001545686939
33,36.53648712918376
34,36.34832946911599
35,36.823003983116344
36,36.93677545924737
37,36.636986504964035
38,36.39278283098508
39,35.940892336959756
40,36.50887283752452
41,36.535788597586354
42,37.03023006955591
43,37.09699185541882
44,36.32083407645205
45,36.49690862612211
46,36.888145770168244
47,36.498602936805185
48,36.16590868557161
49,36.04293739967897
50,36.281404197134535
51,36.23894239343677
52,36.33315498484038
53,35.79968491766245
54,35.2116253492658
55,35.47913322632424
56,35.78942987931752
57,36.17680280601629
58,36.28315795731526
59,36.65248796147672
60,35.93896022828607
61,36.107038820521964
62,35.94157600618275
63,36.680131977884784
64,36.671868497711195
65,36.41128648712918
66,36.538196302241246
67,36.625215504428986
68,36.953257832471316
69,36.93583912965936
70,36.86968670114737
71,36.323182331609296
72,36.26909815112062
73,36.961521312644905
74,37.13628797336663
