Distance from 5'-end,ATMi3_2
0,31.584876636969692
1,32.11085274314972
2,32.12125312757179
3,32.21714323588381
4,32.395258794483325
5,34.31883833836875
6,35.788943446874086
7,35.56215099612816
8,34.196138104732924
9,33.986260777350026
10,35.78474297297446
11,32.639949516986924
12,36.59193542151107
13,36.780070256447075
14,36.86328161678201
15,36.78488381726696
16,36.664420522394245
17,36.807126168869544
18,36.78549690418722
19,36.74605497898382
20,36.594443002247985
21,36.71173591971323
22,36.64092990372878
23,36.6964667414154
24,36.864579593595174
25,37.27675074978873
26,37.37232326802945
27,37.93829086831887
28,37.932209708866566
29,37.77220783094266
30,37.740208560019
31,37.600692622520725
32,37.41083451624128
33,37.31493888462367
34,37.27232382036001
35,37.01613357562234
36,37.47627187919426
37,37.293027931356356
38,37.21099027345886
39,37.07195210189394
40,37.51463399815522
41,37.82896531916421
42,37.514529055349044
43,37.37012223075266
44,36.568356429956204
45,36.83236491375359
46,37.49547365107069
47,37.507655301544865
48,37.25996542410702
49,37.10649761669364
50,37.49577190957244
51,37.00040872461351
52,37.16129156977868
53,36.969480974973905
54,37.20111736472044
55,37.04487961955471
56,36.81150615020077
57,36.60812146853649
58,37.00842580267438
59,36.82185406321975
60,36.87988191172653
61,36.991328410226956
62,36.84160540400219
63,37.139195585774175
64,37.39855344626652
65,37.479779178242595
66,37.32445001684608
67,37.08064302323655
68,37.111510016514686
69,37.20970334325687
70,37.26980243135912
71,37.160935316568256
72,37.267446741525866
73,37.24958160960171
74,37.72324372690568
75,37.20920072244837
