Distance from 5'-end,ATMi0_1
0,31.181813228723986
1,31.990076640877557
2,31.942730013439395
3,32.20128945552287
4,32.237939050524865
5,33.596295085539936
6,34.20568450110784
7,33.85126947804293
8,33.39372707130144
9,33.959750826341214
10,34.93042751807054
11,33.43251244052159
12,36.656568958628455
13,36.33659511096582
14,36.5297591805601
15,36.57463586502488
16,36.5430169626966
17,36.760259344012205
18,36.66739675275144
19,36.67483927209328
20,36.52869855798917
21,36.6534706331045
22,36.84659474773891
23,36.70172896008136
24,36.784541062801935
25,37.09516544985652
26,36.89221241509571
27,37.36771639243035
28,37.262376956884964
29,37.3997965929316
30,37.17366604918092
31,37.31141258944463
32,37.146398605208674
33,37.072038792633755
34,36.65682321746395
35,36.977156659765356
36,37.04724129163488
37,37.07365515237369
38,36.75531945806545
39,36.68082161926556
40,36.990690494351824
41,37.37339726126911
42,37.26612909084305
43,36.998318259416656
44,36.251055174167305
45,36.380781664305694
46,36.94630779848171
47,36.94117177000472
48,37.04979840906614
49,36.71814318404707
50,37.14207257273619
51,36.89941520467836
52,36.93525843594494
53,36.74708147179543
54,36.81791071882605
55,36.88174058334241
56,36.929853619556134
57,36.889063237804656
58,37.029036359013475
59,36.57629944426283
60,36.42302132141949
61,36.78763212378773
62,36.55905343067815
63,37.133420507791215
64,37.23616287094548
65,36.99183102684247
66,37.26226798881261
67,36.95620573172061
68,37.0741600377756
69,37.16454542152483
70,37.30555010715194
71,37.055421161599654
72,37.229330572808834
73,37.29106098579783
74,37.4995096436744
75,37.01551705350332
