Base index shifted,1500_3#TOP,1500_3#BOT
-749.5,17395,8937
-748.5,114,123
-747.5,12,28
-746.5,4,6
-745.5,5,28
-744.5,6,15
-743.5,4,8
-742.5,1,5
-741.5,4,7
-740.5,0,1
-739.5,1,0
-738.5,1,3
-737.5,4,0
-735.5,0,3
-734.5,1,1
-733.5,1,2
-732.5,2,1
-730.5,3,0
-729.5,1,0
-728.5,3,0
-727.5,1,0
-726.5,0,1
-725.5,1,0
-724.5,1,1
-722.5,0,1
-721.5,2,0
-718.5,0,1
-715.5,1,0
-713.5,1,0
-712.5,1,0
-711.5,2,0
-710.5,1,1
-708.5,1,0
-706.5,2,0
-705.5,0,1
-704.5,1,0
-703.5,1,0
-701.5,2,0
-700.5,1,1
-699.5,1,1
-696.5,1,0
-695.5,1,0
-694.5,2,0
-693.5,2,0
-692.5,1,0
-686.5,1,0
-683.5,3,0
-682.5,6,0
-681.5,2,0
-680.5,1,0
-679.5,2,0
-678.5,1,1
-677.5,1,0
-676.5,0,1
-675.5,0,1
-672.5,2,0
-670.5,1,1
-669.5,0,1
-667.5,2,0
-666.5,2,0
-665.5,0,1
-664.5,1,0
-663.5,3,0
-661.5,0,1
-660.5,2,0
-659.5,2,0
-658.5,2,0
-657.5,3,0
-656.5,2,0
-652.5,2,1
-651.5,0,1
-650.5,3,0
-648.5,3,0
-647.5,1,1
-646.5,2,0
-645.5,1,0
-644.5,1,1
-643.5,3,0
-642.5,2,0
-641.5,1,1
-640.5,1,0
-639.5,2,0
-638.5,1,0
-636.5,1,0
-635.5,1,0
-633.5,2,0
-632.5,2,1
-631.5,1,0
-630.5,2,0
-629.5,2,0
-628.5,2,0
-626.5,1,0
-625.5,1,0
-624.5,3,0
-623.5,2,0
-621.5,6,0
-620.5,2,1
-619.5,1,0
-618.5,2,0
-617.5,3,0
-616.5,1,0
-615.5,3,0
-614.5,3,0
-613.5,1,0
-612.5,2,0
-611.5,2,0
-610.5,1,0
-609.5,3,0
-608.5,1,0
-607.5,3,0
-604.5,0,1
-603.5,0,1
-602.5,2,0
-601.5,1,0
-600.5,1,0
-599.5,2,1
-598.5,2,0
-597.5,1,0
-595.5,1,0
-591.5,1,0
-590.5,1,0
-589.5,0,1
-588.5,1,0
-587.5,1,0
-582.5,1,0
-581.5,1,0
-580.5,0,3
-578.5,2,0
-577.5,0,1
-575.5,1,0
-574.5,1,0
-573.5,3,0
-571.5,2,0
-570.5,3,2
-569.5,0,1
-568.5,3,0
-567.5,2,1
