Base index shifted,704_2#TOP,704_2#BOT
-351.5,41354,47350
-350.5,336,496
-349.5,40,151
-348.5,20,37
-347.5,58,53
-346.5,18,48
-345.5,15,21
-344.5,3,7
-343.5,13,15
-342.5,1,5
-341.5,2,5
-340.5,4,5
-339.5,10,5
-338.5,2,4
-337.5,3,8
-336.5,2,8
-335.5,1,6
-334.5,5,3
-333.5,1,2
-332.5,8,2
-331.5,2,0
-330.5,2,0
-329.5,2,7
-328.5,0,3
-327.5,1,6
-326.5,3,1
-325.5,0,6
-324.5,0,2
-323.5,1,1
-322.5,5,0
-321.5,3,0
-320.5,4,0
-317.5,2,0
-315.5,7,1
-314.5,2,0
-313.5,2,1
-311.5,1,0
-310.5,3,2
-309.5,2,0
-308.5,2,2
-307.5,1,0
-306.5,4,1
-305.5,5,1
-304.5,3,0
-302.5,3,0
-301.5,4,2
-300.5,4,1
-299.5,0,6
-298.5,6,1
-297.5,1,2
-296.5,0,2
-295.5,1,1
-294.5,1,0
-293.5,3,2
-292.5,1,3
-291.5,0,2
-290.5,1,1
-289.5,1,3
-288.5,6,1
-287.5,3,1
-286.5,1,0
-285.5,1,2
-284.5,1,1
-283.5,3,2
-282.5,3,1
-281.5,2,3
-280.5,2,2
-279.5,2,1
-278.5,0,1
-277.5,2,2
-276.5,1,1
-275.5,1,1
-274.5,0,1
-273.5,1,0
-272.5,0,1
-271.5,0,1
-269.5,2,2
-268.5,5,4
-267.5,3,2
-266.5,2,1
-265.5,1,1
-264.5,3,2
-263.5,5,2
-262.5,3,0
-261.5,1,2
-260.5,1,1
-259.5,4,1
-258.5,1,3
-257.5,2,1
-256.5,1,2
-255.5,5,1
-254.5,4,1
-253.5,2,2
-252.5,3,2
-251.5,1,0
-250.5,1,0
-248.5,2,2
-247.5,4,3
-246.5,4,0
-245.5,3,2
-244.5,3,1
-243.5,2,4
-242.5,2,2
-241.5,5,0
-240.5,4,1
-238.5,2,1
-237.5,3,2
-236.5,4,4
-234.5,0,4
-233.5,2,2
-232.5,2,2
-231.5,2,0
-229.5,0,1
-228.5,2,2
-227.5,4,1
-226.5,2,1
-225.5,1,2
-224.5,2,1
-223.5,2,1
-222.5,3,1
-221.5,1,1
-220.5,1,0
-219.5,3,2
-218.5,1,1
-217.5,1,0
-216.5,1,3
-215.5,2,2
-214.5,1,1
-213.5,0,1
-212.5,2,1
-211.5,1,3
-210.5,0,4
-209.5,1,0
-208.5,0,1
-207.5,1,1
-206.5,1,3
-205.5,4,2
-204.5,1,1
-203.5,3,0
-202.5,6,2
-201.5,2,1
-200.5,1,3
-199.5,1,5
-198.5,0,1
-197.5,0,6
-195.5,0,1
-194.5,2,2
-193.5,2,4
-192.5,4,7
-191.5,2,0
-190.5,2,6
-189.5,0,2
-188.5,0,3
-187.5,0,5
-186.5,0,2
-185.5,0,2
-184.5,3,1
-183.5,0,2
-182.5,0,7
-181.5,1,0
-180.5,1,2
-178.5,1,1
-177.5,1,3
-176.5,1,0
-175.5,0,4
-174.5,0,5
-173.5,0,2
-172.5,3,0
-171.5,1,5
-170.5,1,1
-169.5,0,3
-168.5,1,4
-167.5,2,0
-166.5,3,1
-165.5,2,2
-164.5,0,4
-163.5,1,3
-162.5,0,6
-161.5,1,3
-159.5,0,3
-158.5,1,8
-157.5,2,2
-156.5,2,1
-155.5,2,6
-154.5,1,2
-153.5,3,2
-151.5,1,0
-150.5,2,7
-149.5,1,4
-148.5,3,2
-147.5,1,0
-146.5,1,3
-145.5,2,1
-144.5,2,0
-143.5,0,1
-142.5,0,2
-141.5,3,0
-140.5,1,1
-138.5,1,1
-137.5,0,2
-135.5,0,2
-134.5,2,2
-133.5,2,1
-132.5,1,1
-131.5,0,1
-130.5,1,3
-129.5,1,1
-128.5,0,1
-127.5,1,0
-126.5,1,3
-125.5,0,1
-124.5,0,2
-123.5,3,1
-122.5,1,2
-121.5,0,1
-120.5,1,1
-119.5,3,1
-118.5,3,0
-117.5,1,0
-116.5,0,1
-115.5,0,3
-113.5,2,1
-112.5,1,1
-111.5,0,2
-110.5,2,1
-109.5,3,0
-108.5,2,0
-107.5,5,0
-106.5,1,2
-105.5,2,1
-104.5,0,1
-103.5,2,2
-102.5,1,1
-101.5,3,0
-99.5,0,2
-98.5,2,1
-97.5,1,0
-96.5,1,1
-94.5,1,2
-93.5,1,1
-91.5,2,0
-90.5,1,0
-89.5,0,1
-88.5,1,0
-87.5,0,2
-86.5,1,0
-85.5,2,0
-83.5,0,2
-82.5,1,1
-80.5,1,0
-78.5,4,1
-77.5,1,0
-76.5,3,0
-75.5,2,1
-74.5,5,1
-73.5,1,0
-71.5,6,1
-70.5,0,1
-69.5,1,0
-68.5,3,0
-67.5,2,0
-66.5,2,0
-65.5,2,0
-64.5,3,0
-63.5,1,1
-62.5,1,0
-61.5,1,2
-60.5,1,0
-59.5,0,2
-58.5,3,0
-57.5,4,1
-56.5,2,2
-55.5,3,2
-54.5,2,0
-53.5,2,1
-52.5,5,0
-51.5,5,0
-50.5,12,1
-49.5,6,2
-48.5,1,1
-47.5,5,0
-46.5,12,2
-45.5,4,1
-44.5,4,0
-43.5,7,1
-42.5,4,0
-41.5,4,0
-40.5,5,2
-39.5,7,0
-38.5,8,1
-37.5,7,2
-36.5,11,1
-35.5,3,2
-34.5,6,0
-33.5,20,1
-32.5,8,0
-31.5,7,0
-30.5,9,1
-29.5,18,0
-28.5,8,4
-27.5,7,1
-26.5,11,0
-25.5,31,2
-24.5,15,1
-23.5,24,1
-22.5,6,5
-21.5,3,1
-20.5,68,1
-19.5,54,0
-18.5,72,1
-17.5,120,1
-16.5,174,1
-15.5,301,1
-14.5,212,1
-13.5,353,2
-12.5,299,1
-11.5,414,2
-10.5,716,3
-9.5,965,3
-8.5,1125,2
-7.5,1553,6
-6.5,1101,2
-5.5,596,1
-4.5,1424,5
-3.5,1298,4
-2.5,1589,1
-1.5,1146,11
-0.5,1471,11
0.5,2053,41047
1.5,1362,180
2.5,2058,7
3.5,2055,40
4.5,1383,17
5.5,2003,8
6.5,836,9
7.5,1759,8
8.5,1157,23
9.5,696,7
10.5,335,5
11.5,411,7
12.5,539,11
13.5,351,7
14.5,208,13
15.5,88,5
16.5,107,5
17.5,101,17
18.5,83,6
19.5,37,8
20.5,32,2
21.5,60,14
22.5,22,3
23.5,50,3
24.5,30,5
25.5,25,10
26.5,14,5
27.5,17,5
28.5,9,4
29.5,32,10
30.5,19,7
31.5,15,4
32.5,13,8
33.5,14,4
34.5,11,7
35.5,12,6
36.5,40,5
37.5,18,4
38.5,9,2
39.5,11,2
40.5,12,5
41.5,8,4
42.5,7,2
43.5,2,5
44.5,4,2
45.5,3,2
46.5,5,5
47.5,4,3
48.5,7,4
49.5,7,9
50.5,9,7
51.5,7,2
52.5,3,7
53.5,7,6
54.5,4,3
55.5,2,2
56.5,3,2
57.5,1,4
58.5,4,3
59.5,1,1
60.5,1,2
61.5,0,5
62.5,2,5
63.5,3,1
64.5,1,2
65.5,2,1
66.5,4,5
67.5,0,3
68.5,4,4
69.5,1,0
70.5,1,4
71.5,1,3
72.5,4,4
73.5,2,2
74.5,1,6
75.5,1,3
76.5,0,2
77.5,0,3
78.5,2,0
79.5,1,2
80.5,3,1
81.5,1,0
82.5,2,1
83.5,1,1
84.5,1,1
85.5,4,4
86.5,1,4
87.5,0,3
88.5,1,2
89.5,0,1
90.5,0,5
91.5,0,1
92.5,4,0
94.5,2,0
95.5,1,3
96.5,3,4
97.5,2,4
98.5,0,3
99.5,5,1
100.5,6,1
101.5,2,3
102.5,1,3
103.5,4,2
104.5,2,0
105.5,1,1
106.5,1,2
107.5,3,1
108.5,2,3
109.5,3,0
110.5,0,2
111.5,0,4
112.5,1,6
113.5,4,6
114.5,1,4
115.5,0,2
116.5,0,2
117.5,0,2
119.5,0,1
120.5,1,1
121.5,2,1
122.5,1,2
123.5,0,7
124.5,2,5
125.5,1,2
126.5,1,3
127.5,0,3
128.5,1,2
129.5,5,8
130.5,2,4
131.5,0,2
132.5,1,5
133.5,2,1
134.5,1,8
135.5,3,6
136.5,1,4
137.5,0,8
138.5,2,4
139.5,2,2
140.5,1,0
141.5,2,3
142.5,1,2
143.5,3,3
144.5,3,3
145.5,1,9
146.5,2,2
148.5,2,3
149.5,0,5
150.5,1,2
151.5,1,1
152.5,2,7
153.5,0,5
154.5,1,1
155.5,3,1
156.5,3,0
157.5,4,5
158.5,2,3
159.5,1,3
160.5,3,2
161.5,2,5
162.5,4,1
163.5,1,2
164.5,1,4
165.5,2,4
166.5,1,4
167.5,1,1
168.5,2,3
169.5,1,2
170.5,3,2
171.5,3,0
172.5,0,1
173.5,2,5
174.5,1,3
175.5,1,2
176.5,3,0
177.5,2,0
178.5,0,2
179.5,1,0
180.5,2,0
181.5,5,0
182.5,1,0
185.5,2,1
186.5,2,0
187.5,0,3
188.5,3,0
189.5,0,2
190.5,3,1
191.5,3,0
192.5,2,0
193.5,6,1
194.5,1,3
195.5,0,1
196.5,1,2
197.5,4,0
198.5,2,0
199.5,1,0
200.5,2,2
201.5,2,1
202.5,1,2
203.5,0,1
204.5,1,0
205.5,2,0
206.5,1,0
207.5,1,1
208.5,3,0
209.5,0,1
210.5,2,1
211.5,1,0
212.5,1,0
213.5,3,0
215.5,1,1
216.5,2,1
217.5,1,0
218.5,2,1
219.5,3,1
220.5,2,0
222.5,2,0
223.5,3,0
224.5,4,0
225.5,1,4
226.5,5,0
231.5,1,1
