Base index,AT_2#TOP,AT_2#BOT
1,79270,65151
2,417,522
3,150,153
4,52,92
5,107,104
6,68,99
7,48,50
8,19,26
9,30,3
10,7,10
11,6,11
12,9,20
13,33,7
14,13,13
15,6,28
16,5,14
17,1,11
18,8,6
19,3,8
20,17,5
21,6,3
22,10,4
23,6,7
24,1,4
25,3,9
26,3,1
27,4,27
28,3,4
29,6,7
30,6,2
31,8,1
32,13,0
33,5,0
34,2,0
35,2,5
36,4,5
37,7,0
38,10,1
39,2,1
40,1,2
41,2,2
42,7,1
43,5,0
44,3,2
45,12,3
46,7,2
47,2,1
48,9,2
49,3,4
50,8,1
51,4,1
52,10,0
53,2,7
54,6,1
55,4,0
56,8,5
57,5,2
58,18,2
59,10,1
60,3,1
61,3,1
62,1,1
63,6,4
64,24,3
65,5,0
66,7,1
67,6,9
68,6,1
69,4,3
70,4,2
71,10,1
72,6,3
73,5,1
74,6,4
75,4,9
76,14,2
77,7,1
78,4,6
79,4,6
80,5,4
81,7,2
82,4,1
83,6,2
84,16,2
85,7,3
86,14,2
87,17,5
88,9,1
89,13,9
90,20,2
91,8,6
92,10,6
93,7,1
94,10,2
95,7,4
96,3,2
97,12,6
98,5,11
99,9,5
100,9,4
101,27,1
102,13,8
103,7,5
104,11,5
105,21,7
106,10,3
107,19,2
108,5,8
109,7,12
110,14,13
111,26,9
112,10,4
113,6,5
114,18,3
115,12,4
116,12,5
117,8,4
118,9,10
119,21,8
120,12,12
121,16,17
122,6,9
123,14,8
124,8,5
125,21,7
126,14,17
127,10,14
128,11,17
129,7,4
130,18,7
131,17,15
132,12,12
133,15,13
134,14,4
135,14,16
136,18,12
137,17,26
138,13,14
139,9,18
140,19,9
141,24,10
142,18,13
143,18,16
144,40,15
145,27,16
146,22,20
147,10,21
148,17,15
149,16,15
150,33,21
151,17,21
152,12,23
153,14,15
154,19,23
155,21,18
156,22,29
157,28,25
158,17,31
159,25,19
160,31,39
161,34,17
162,19,26
163,11,17
164,26,17
165,27,27
166,18,29
167,13,21
168,24,20
169,31,26
170,23,20
171,24,33
172,24,28
173,24,27
174,30,30
175,29,18
176,40,25
177,19,27
178,12,31
179,28,21
180,25,14
181,21,10
182,17,26
183,17,20
184,5,18
185,13,11
186,12,17
187,13,27
188,15,27
189,15,27
190,12,19
191,13,15
192,16,28
193,7,23
194,9,30
195,9,20
196,22,30
197,9,30
198,23,31
199,21,32
200,23,22
201,13,14
202,9,25
203,21,25
204,4,38
205,18,23
206,15,21
207,15,24
208,4,24
209,25,19
210,8,22
211,9,16
212,10,19
213,6,22
214,16,26
215,4,30
216,17,35
217,15,30
218,6,20
219,10,14
220,10,19
221,14,18
222,10,10
223,6,12
224,6,10
225,12,18
226,14,11
227,3,13
228,5,24
229,5,10
230,7,8
231,4,8
232,8,7
233,2,5
234,8,7
235,3,5
236,5,6
237,1,4
238,3,6
239,4,8
240,9,6
241,3,6
242,3,4
243,2,6
244,0,3
245,2,5
246,5,5
247,7,7
248,5,7
249,1,0
250,2,2
251,5,1
252,4,2
253,6,3
254,3,5
255,2,1
256,2,3
257,4,4
258,4,2
259,0,4
260,2,6
261,2,3
262,3,0
263,0,3
264,0,2
265,1,1
266,0,2
267,1,5
268,2,1
269,1,0
270,3,3
271,2,2
272,3,2
273,0,1
274,4,1
275,0,1
276,7,1
277,1,2
278,2,2
280,0,2
281,2,0
282,1,2
283,2,1
284,1,0
285,1,0
286,2,4
287,4,0
288,4,1
289,1,0
291,3,2
292,2,1
293,1,2
294,2,2
295,0,1
296,1,0
297,2,0
298,9,1
299,4,2
300,4,2
301,5,0
302,6,0
303,4,0
304,0,1
305,2,0
306,3,1
307,8,1
308,9,1
309,4,1
310,9,2
311,3,0
312,8,2
313,21,1
314,14,1
315,4,0
316,22,0
317,13,2
318,7,0
