Distance from 5'-end,400_1
0,33.094717136509885
1,33.14535295694806
2,33.37605331699096
3,33.3006597594607
4,33.5055873678566
5,35.61835452734794
6,36.35341657729432
7,35.43886931208825
8,34.534553585108014
9,34.0914470660334
10,35.35057740922323
11,34.3957264056994
12,37.47901505285736
13,37.529042822123486
14,37.60539394055462
15,37.106720162402326
16,37.04875421326796
17,37.39261912057607
18,37.55347498850927
19,37.3346531714417
20,37.40524934885859
21,37.39523804963996
22,37.76464589397886
23,37.56826451662326
24,37.60130036770339
25,37.66483932128083
26,37.91521755783668
27,37.97220200704765
28,37.88863087942393
29,37.76332445993565
30,37.68989390225218
31,37.70779071548951
32,37.75458192891068
33,37.68137161023441
34,38.02240692508043
35,38.30430806649303
36,38.21985119503601
37,37.78111115366937
38,37.87353014401716
39,38.19075091925846
40,38.17621035697871
41,37.63506396506818
42,37.686355714723454
43,38.063491075532404
44,37.63350314079975
45,37.6635992799142
46,37.790456948061895
47,37.87294124406312
48,37.78586065573771
49,37.67689022521832
50,38.02597383943619
51,37.917870001532094
52,37.87537344875134
53,37.8153583192891
54,37.83444250804351
55,37.91663474796997
56,37.977976099279914
57,37.9913388616516
58,37.66527501149073
59,37.831780488739085
60,37.564587482763905
61,37.490342998314695
62,38.04240079669067
63,38.14650681783361
64,37.88962674276084
65,37.84717806802512
66,37.92142734027884
67,38.07216178948981
68,37.89914489811552
69,38.061628619580205
70,38.31281120729278
71,38.05020491803279
72,38.03171920484143
73,38.376872031561206
74,38.16974682089781
