Base index shifted,ATMi2_2#TOP,ATMi2_2#BOT
-351.5,116523,19989
-350.5,1135,245
-349.5,242,45
-348.5,141,6
-347.5,231,13
-346.5,61,15
-345.5,47,2
-344.5,19,1
-343.5,52,6
-342.5,23,0
-341.5,12,9
-340.5,18,3
-339.5,72,2
-338.5,19,0
-337.5,20,2
-336.5,28,6
-335.5,11,2
-334.5,11,0
-333.5,6,1
-332.5,28,1
-331.5,21,0
-330.5,14,0
-329.5,19,5
-328.5,15,0
-327.5,25,1
-326.5,10,0
-325.5,7,6
-324.5,5,0
-323.5,7,0
-322.5,48,3
-321.5,6,0
-320.5,17,0
-319.5,9,0
-318.5,4,1
-317.5,8,3
-316.5,6,12
-315.5,24,4
-314.5,10,4
-313.5,8,0
-312.5,7,0
-311.5,3,1
-310.5,10,0
-309.5,2,1
-308.5,3,0
-307.5,7,0
-306.5,1,1
-305.5,5,0
-304.5,1,0
-303.5,4,1
-302.5,9,0
-301.5,4,1
-300.5,5,0
-299.5,8,1
-298.5,14,1
-297.5,4,0
-296.5,3,1
-295.5,4,0
-294.5,27,2
-293.5,3,0
-292.5,4,7
-291.5,3,0
-290.5,3,1
-289.5,6,2
-288.5,21,0
-287.5,4,0
-286.5,7,3
-285.5,4,0
-284.5,6,0
-283.5,5,2
-282.5,5,2
-281.5,8,1
-280.5,2,1
-279.5,7,0
-278.5,4,1
-277.5,5,2
-276.5,9,1
-275.5,11,1
-274.5,3,1
-273.5,12,1
-272.5,8,2
-271.5,4,0
-270.5,6,0
-269.5,10,3
-268.5,9,0
-267.5,4,1
-266.5,13,2
-265.5,13,0
-264.5,8,2
-263.5,5,0
-262.5,36,2
-261.5,5,0
-260.5,12,3
-259.5,11,1
-258.5,11,2
-257.5,8,1
-256.5,11,1
-255.5,11,1
-254.5,11,4
-253.5,2,0
-252.5,7,0
-251.5,12,0
-250.5,11,15
-249.5,5,1
-248.5,3,0
-247.5,7,3
-246.5,12,0
-245.5,16,1
-244.5,17,1
-243.5,13,0
-242.5,14,3
-241.5,13,3
-240.5,12,2
-239.5,16,2
-238.5,9,1
-237.5,16,3
-236.5,24,5
-235.5,4,0
-234.5,18,0
-233.5,6,1
-232.5,16,0
-231.5,20,2
-230.5,6,1
-229.5,9,3
-228.5,6,1
-227.5,6,1
-226.5,16,3
-225.5,7,5
-224.5,20,5
-223.5,11,1
-222.5,11,2
-221.5,27,2
-220.5,6,3
-219.5,11,2
-218.5,9,5
-217.5,19,0
-216.5,10,4
-215.5,13,2
-214.5,9,2
-213.5,8,4
-212.5,11,2
-211.5,12,3
-210.5,6,3
-209.5,23,2
-208.5,10,4
-207.5,14,0
-206.5,5,2
-205.5,23,1
-204.5,14,1
-203.5,9,0
-202.5,16,0
-201.5,14,2
-200.5,17,3
-199.5,14,2
-198.5,17,1
-197.5,18,2
-196.5,3,2
-195.5,13,2
-194.5,4,6
-193.5,24,1
-192.5,32,2
-191.5,11,4
-190.5,20,5
-189.5,12,2
-188.5,14,2
-187.5,14,6
-186.5,5,3
-185.5,14,3
-184.5,4,2
-183.5,12,1
-182.5,10,3
-181.5,2,3
-180.5,11,2
-179.5,2,3
-178.5,3,1
-177.5,5,1
