Base index shifted,ATMi0_1#TOP,ATMi0_1#BOT
-351.5,52986,65766
-350.5,458,813
-349.5,115,221
-348.5,57,88
-347.5,112,104
-346.5,36,77
-345.5,29,39
-344.5,24,20
-343.5,17,23
-342.5,11,10
-341.5,13,12
-340.5,10,14
-339.5,42,10
-338.5,10,7
-337.5,5,15
-336.5,3,17
-335.5,4,6
-334.5,0,3
-333.5,2,3
-332.5,11,1
-331.5,10,4
-330.5,1,1
-329.5,10,15
-328.5,0,4
-327.5,4,3
-326.5,0,1
-325.5,2,9
-324.5,4,3
-323.5,3,2
-322.5,20,10
-321.5,6,3
-320.5,3,3
-319.5,9,0
-318.5,1,1
-317.5,1,2
-316.5,2,2
-315.5,17,4
-314.5,4,1
-313.5,10,0
-312.5,5,0
-311.5,2,2
-310.5,4,2
-309.5,2,5
-308.5,1,2
-307.5,2,2
-306.5,7,1
-305.5,5,1
-304.5,6,5
-303.5,4,3
-302.5,5,1
-301.5,4,2
-300.5,8,2
-299.5,8,7
-298.5,12,1
-297.5,1,1
-296.5,3,3
-295.5,1,1
-294.5,19,2
-293.5,6,0
-292.5,3,5
-291.5,5,1
-290.5,4,1
-289.5,2,2
-288.5,25,1
-287.5,4,0
-286.5,1,1
-285.5,0,2
-284.5,5,1
-283.5,4,1
-282.5,5,5
-281.5,9,0
-280.5,4,4
-279.5,3,0
-278.5,4,0
-277.5,4,5
-276.5,6,4
-275.5,7,0
-274.5,4,2
-273.5,9,0
-272.5,2,1
-271.5,4,1
-270.5,7,3
-269.5,4,1
-268.5,7,2
-267.5,3,0
-266.5,12,2
-265.5,3,1
-264.5,0,1
-263.5,6,2
-262.5,29,2
-261.5,7,1
-260.5,9,2
-259.5,6,1
-258.5,9,2
-257.5,8,2
-256.5,4,1
-255.5,7,3
-254.5,2,7
-253.5,6,3
-252.5,4,3
-251.5,20,0
-250.5,4,6
-249.5,2,3
-248.5,3,4
-247.5,5,1
-246.5,6,5
-245.5,9,5
-244.5,5,2
-243.5,5,2
-242.5,6,7
-241.5,11,4
-240.5,14,4
-239.5,4,2
-238.5,2,6
-237.5,5,10
-236.5,10,5
-235.5,5,5
-234.5,7,2
-233.5,5,2
-232.5,5,6
-231.5,14,9
-230.5,3,5
-229.5,1,2
-228.5,2,9
-227.5,4,8
-226.5,7,2
-225.5,4,5
-224.5,8,9
-223.5,6,5
-222.5,12,6
-221.5,5,5
-220.5,3,1
-219.5,9,3
-218.5,6,4
-217.5,4,6
-216.5,7,12
-215.5,8,8
-214.5,9,11
-213.5,4,11
-212.5,4,11
-211.5,4,16
-210.5,4,3
-209.5,10,3
-208.5,9,8
