Distance from 5'-end,GC_1
0,32.25663556939798
1,32.496469942117166
2,32.438341414769155
3,32.4141946626392
4,32.57457202112976
5,34.02960623776042
6,35.029895290606504
7,34.983137379591426
8,33.542458249929545
9,34.13049290736579
10,35.055490920127475
11,34.11905002782134
12,37.03909439743321
13,36.861720731592754
14,36.99017581639363
15,36.940867014011836
16,36.92761032785819
17,36.94262301005181
18,36.92382373557446
19,36.93286747649639
20,36.91293366959815
21,36.97334571443024
22,37.192617590310945
23,37.11868871176373
24,37.22860105648815
25,37.49917258622808
26,37.48211846830897
27,37.39823533237464
28,37.40737662863213
29,37.32759081679108
30,37.424311512252224
31,37.40711648107065
32,37.28449665060015
33,37.38440054052882
34,37.31791477276833
35,34.45999147294104
36,35.41056343626023
37,36.09380848803683
38,36.24633806175614
39,36.74234913248014
40,37.36172434475333
41,37.45431881083659
42,37.308607271124345
43,37.309936914216344
44,37.02108640512202
45,36.96206904027229
46,37.35247104051798
47,37.40969989088255
48,37.27004400829582
49,37.29634781728969
50,37.52712760960522
51,37.51204266420008
52,37.41566883215424
53,37.05112260899099
54,37.28058721085682
55,36.97616036651901
56,36.79804961592103
57,36.73248520410744
58,36.81661403496094
59,36.7504679042946
60,36.57188382966116
61,36.88767045085017
62,36.50584248065152
63,37.01919672214073
64,36.94245680466531
65,36.96011432040063
66,36.90810287390792
67,36.921807591973
68,37.00307841281082
69,37.03554988690807
70,37.016215864665455
71,36.902278459059275
72,36.79445813430841
73,36.78767261874652
74,37.16273313918617
