Base index shifted,ATMi1#TOP#AVERAGE,ATMi1#TOP#STD,ATMi1#BOT#AVERAGE,ATMi1#BOT#STD
-49.5,5.66606544554496e-05,4.875025405243024e-05,2.9937435198721886e-05,6.4781382605214955e-06
-48.5,3.1658923923317316e-05,1.3584675833533572e-05,4.419034993233353e-05,7.653993128704957e-05
-47.5,6.617954836009682e-05,4.8762253065763405e-05,1.3017630061168799e-05,1.1654459308174292e-05
-46.5,6.667759995275814e-05,2.398625333933549e-05,2.2095174966166766e-05,3.8269965643524786e-05
-45.5,6.50726521274255e-05,2.2972339824479276e-05,5.1684186251960634e-05,7.094623373994211e-05
-44.5,8.296134068988003e-05,4.335309523272245e-05,2.796739262063647e-05,2.5434156295014075e-05
-43.5,9.022737872107505e-05,7.686014819466356e-05,6.16517459791719e-05,2.5248082337355412e-05
-42.5,4.848605887332814e-05,1.5993594977176513e-05,3.136588686752201e-05,4.4945327213209305e-05
-41.5,7.233555055256148e-05,5.841489506037517e-05,1.674559318108908e-05,1.6574128185493843e-05
-40.5,0.00017858916011401053,6.691027425788013e-05,2.7618968707708455e-05,4.783745705440598e-05
-39.5,0.0001312522004875223,5.383765866962713e-05,1.6571381224625074e-05,2.8702474232643586e-05
-38.5,9.898757153025405e-05,4.0032348302245565e-05,4.882728291436039e-05,1.7931700131502844e-05
-37.5,8.075068783059642e-05,1.2723172963095831e-05,7.252512150579128e-05,5.273728913723176e-05
-36.5,0.00019767229054353262,8.472222615084227e-05,8.197004536361054e-05,4.535844982130411e-05
-35.5,6.331784784663463e-05,2.7169351667067144e-05,5.220682212135265e-05,3.0198320259808634e-05
-34.5,0.00011902146252487113,4.868927682589228e-05,7.466937604034071e-05,2.2288875346131975e-05
-33.5,0.0003512112378991242,0.00010085727306790359,4.473194084161882e-05,1.8667404074230923e-05
-32.5,0.00017453301773348083,5.8965615918178413e-05,3.7238104521991714e-05,2.764884960361482e-05
-31.5,0.00032188202649493895,0.00012897090745797233,6.702028280414286e-05,3.262219559380937e-05
-30.5,0.00023206515373212905,7.441371555810686e-05,6.112911010977989e-05,6.242665859891976e-05
-29.5,0.0004499042235249026,0.00011723709516603757,6.930083921536975e-05,4.172685780334311e-05
-28.5,0.00031060204909738284,8.672739546254838e-05,4.135240163462655e-05,2.1601621793386618e-05
-27.5,0.0004933550050332128,3.598220851767867e-05,8.960018355991511e-05,7.898402259079302e-05
-26.5,0.00045386968066497705,5.775681358020894e-05,5.222577716124593e-05,1.6414340134470505e-05
-25.5,0.0005657410252124426,0.0002012206376516487,5.044890157951779e-05,1.6640417013158563e-05
-24.5,0.0008626804923902523,0.00022427508090689814,5.4195819739331345e-05,2.25846256699199e-05
-23.5,0.00036229486401531723,0.00013480122657936908,0.00018445155710801697,8.423644770811167e-05
-22.5,0.0007605295200352379,0.00017974152516592436,5.614690727752348e-05,9.815382826042363e-06
-21.5,0.00041750356670695144,6.29319705510325e-05,4.278085330342668e-05,2.4668248657387048e-05
-20.5,0.0005192029822952094,5.908584816357888e-05,3.1559053863879286e-05,2.7433988218540605e-05
-19.5,0.0009176202789665798,0.00012808961768846988,1.4968717599360943e-05,3.2390691302607477e-06
-18.5,0.0006409583840853597,7.170023065076485e-05,6.771713062999889e-05,3.471147289355872e-05
-17.5,0.0016359041483492913,0.00026206342434544934,7.787470329086896e-05,7.607125628090017e-05
-16.5,0.0009957529475856865,9.487216705815032e-05,9.178234817425106e-05,9.983877979772952e-06
-15.5,0.0014504838557809806,0.0001325621513384257,5.614690727752348e-05,9.815382826042363e-06
-14.5,0.0011500135200290184,0.00020026413266917598,0.00011604073271486053,2.6105031764159016e-05
-13.5,0.0016250693305415115,0.0002569966111516456,9.160813621778706e-05,7.129512338611693e-06
-12.5,0.0031124539929050722,0.0005291636816344364,0.0001311647072307922,2.0011531758613564e-05
-11.5,0.0059106145574514,0.0006493015690949536,7.843524924004752e-05,2.5234600933822038e-05
-10.5,0.007967236577934906,8.270645249043289e-05,0.00012761095606733593,3.894970137514699e-05
