Base index shifted,ATMi3_3#TOP,ATMi3_3#BOT
-351.5,83181,55418
-350.5,758,706
-349.5,200,149
-348.5,84,56
-347.5,154,82
-346.5,48,59
-345.5,41,29
-344.5,12,21
-343.5,31,15
-342.5,25,9
-341.5,13,6
-340.5,7,10
-339.5,57,5
-338.5,22,3
-337.5,14,5
-336.5,16,20
-335.5,3,3
-334.5,12,6
-333.5,9,3
-332.5,20,2
-331.5,23,2
-330.5,10,2
-329.5,13,26
-328.5,7,3
-327.5,12,4
-326.5,10,0
-325.5,9,11
-324.5,6,2
-323.5,2,3
-322.5,83,12
-321.5,13,5
-320.5,18,1
-319.5,8,1
-318.5,3,0
-317.5,3,2
-316.5,5,3
-315.5,23,0
-314.5,8,1
-313.5,3,1
-312.5,8,4
-311.5,1,1
-310.5,8,0
-309.5,4,0
-308.5,1,3
-307.5,29,2
-306.5,6,3
-305.5,4,4
-304.5,3,3
-303.5,5,1
-302.5,9,0
-301.5,4,1
-300.5,8,1
-299.5,9,8
-298.5,8,2
-297.5,1,1
-296.5,1,4
-295.5,6,1
-294.5,33,1
-293.5,4,2
-292.5,5,8
-291.5,14,0
-290.5,7,1
-289.5,4,2
-288.5,38,1
-287.5,10,2
-286.5,9,0
-285.5,5,2
-284.5,9,1
-283.5,11,1
-282.5,6,0
-281.5,16,1
-280.5,6,2
-279.5,5,0
-278.5,12,2
-277.5,2,9
-276.5,7,0
-275.5,7,1
-274.5,3,2
-273.5,12,1
-272.5,8,1
-271.5,2,2
-270.5,8,0
-269.5,4,4
-268.5,15,0
-267.5,5,0
-266.5,11,1
-265.5,15,3
-264.5,10,3
-263.5,6,0
-262.5,31,5
-261.5,8,1
-260.5,11,4
-259.5,9,1
-258.5,14,4
-257.5,14,2
-256.5,12,0
-255.5,23,1
-254.5,7,10
-253.5,8,0
-252.5,10,1
-251.5,19,1
-250.5,13,10
-249.5,7,2
-248.5,9,1
-247.5,14,2
-246.5,25,0
-245.5,13,0
-244.5,17,3
-243.5,13,0
-242.5,8,2
-241.5,17,5
-240.5,19,4
-239.5,16,5
-238.5,4,3
-237.5,16,2
-236.5,27,8
-235.5,9,10
-234.5,12,3
-233.5,14,12
-232.5,9,6
-231.5,28,6
-230.5,8,3
-229.5,18,2
-228.5,6,11
