Base index shifted,1500_2#TOP,1500_2#BOT
-749.5,16026,3332
-748.5,117,48
-747.5,16,12
-746.5,6,3
-745.5,4,7
-744.5,4,4
-743.5,8,2
-742.5,1,1
-741.5,6,8
-738.5,2,2
-737.5,3,2
-736.5,1,0
-733.5,2,0
-732.5,1,0
-731.5,1,0
-730.5,4,0
-729.5,1,0
-727.5,0,1
-724.5,1,0
-723.5,2,0
-721.5,2,0
-720.5,1,0
-719.5,1,0
-714.5,1,0
-713.5,2,0
-712.5,2,0
-710.5,3,0
-706.5,0,1
-704.5,0,1
-701.5,2,0
-697.5,1,0
-696.5,2,0
-695.5,2,0
-694.5,1,0
-693.5,1,0
-690.5,1,0
-689.5,3,1
-687.5,1,0
-685.5,2,1
-683.5,2,0
-682.5,1,0
-680.5,1,0
-677.5,1,0
-676.5,1,0
-673.5,1,0
-672.5,2,0
-669.5,1,0
-667.5,1,0
-664.5,0,1
-663.5,2,0
-662.5,1,1
-661.5,3,0
-660.5,1,0
-657.5,1,0
-655.5,2,0
-652.5,2,0
-648.5,3,0
-645.5,2,1
-644.5,0,1
-636.5,1,0
-634.5,2,0
-633.5,1,0
-631.5,1,0
-630.5,1,0
-629.5,3,0
-628.5,2,0
-627.5,1,0
-625.5,1,0
-624.5,1,0
-623.5,1,0
-620.5,1,0
-617.5,5,0
-615.5,3,0
-614.5,3,0
-612.5,1,0
-611.5,1,0
-608.5,1,0
-605.5,1,0
-603.5,3,0
-602.5,1,1
-601.5,1,0
-600.5,2,0
-597.5,3,0
-593.5,0,1
-592.5,1,0
-589.5,1,0
-587.5,1,0
-585.5,0,1
-584.5,2,0
-581.5,1,0
-577.5,0,1
-576.5,2,0
-575.5,0,1
-574.5,1,0
-572.5,3,0
-570.5,1,0
-568.5,1,0
-566.5,1,0
-565.5,0,1
-564.5,1,0
-563.5,0,1
-561.5,1,0
-560.5,1,0
-558.5,3,0
-554.5,1,0
-552.5,1,0
-549.5,1,0
-548.5,1,1
-547.5,0,1
-544.5,2,0
-542.5,2,0
-541.5,3,0
-537.5,1,0
-534.5,2,0
-531.5,0,1
-529.5,0,1
-528.5,1,0
-526.5,1,0
-524.5,1,0
-523.5,1,0
-520.5,2,0
-519.5,1,0
-518.5,1,0
-517.5,0,2
-516.5,0,1
-510.5,1,0
-509.5,1,0
-506.5,1,0
-505.5,0,2
-504.5,2,0
-503.5,1,0
-502.5,1,0
-501.5,3,0
-499.5,1,0
-496.5,1,0
-494.5,3,0
-493.5,1,0
-490.5,2,0
-488.5,1,0
-487.5,4,0
-486.5,3,0
-485.5,1,0
-483.5,3,0
-482.5,1,0
-481.5,1,0
-472.5,2,0
-471.5,0,1
-469.5,2,0
-468.5,1,0
-467.5,1,0
-466.5,0,2
-465.5,1,0
-463.5,1,0
-462.5,2,1
-461.5,1,0
-460.5,1,0
-459.5,2,0
-457.5,2,2
-456.5,1,0
-453.5,3,0
-451.5,1,0
-450.5,2,0
-449.5,0,2
-447.5,1,0
-446.5,3,0
-440.5,1,0
-439.5,1,0
-438.5,2,0
-436.5,0,1
-435.5,3,0
-433.5,0,1
-432.5,1,0
-431.5,1,0
-430.5,2,0
-429.5,0,1
-428.5,1,0
-426.5,1,0
-425.5,2,0
-424.5,2,0
-423.5,2,0
-422.5,0,1
-421.5,3,0
-420.5,4,0
-419.5,3,0
-418.5,1,1
-417.5,2,0
-416.5,2,0
-415.5,1,0
-414.5,1,0
-412.5,2,0
-410.5,1,0
-409.5,1,0
-408.5,3,1
-407.5,1,0
-406.5,1,0
-405.5,1,0
-404.5,5,0
-403.5,1,0
-402.5,4,1
-401.5,2,0
-399.5,1,0
-398.5,0,2
-396.5,0,1
-395.5,2,1
-394.5,4,0
-393.5,2,0
-391.5,2,0
-389.5,1,1
-388.5,1,1
-387.5,2,0
-386.5,0,2
-385.5,4,1
-384.5,1,0
-383.5,1,0
-382.5,2,0
-380.5,2,0
-379.5,3,0
-378.5,1,0
-377.5,1,0
-375.5,3,0
-373.5,1,0
-371.5,4,1
-370.5,2,0
-369.5,4,2
-368.5,1,0
-367.5,2,0
-365.5,1,0
-363.5,1,0
-362.5,1,0
-360.5,0,1
-357.5,1,0
-355.5,1,0
-354.5,1,0
-353.5,2,0
-351.5,1,0
-349.5,4,0
-348.5,4,1
-347.5,1,0
-346.5,1,0
-345.5,1,0
-344.5,5,0
-343.5,3,0
-342.5,1,0
-341.5,2,0
-340.5,2,1
-337.5,3,0
-335.5,2,1
-334.5,1,0
-333.5,2,0
-332.5,3,0
-331.5,2,0
-330.5,3,0
-329.5,2,0
-328.5,2,0
-327.5,1,0
-326.5,3,0
-324.5,1,0
-323.5,1,0
-322.5,2,1
-320.5,1,0
-319.5,1,0
-318.5,1,0
-317.5,1,0
-316.5,2,1
-315.5,3,1
-314.5,5,0
-313.5,1,1
-310.5,4,1
-309.5,3,2
-308.5,1,0
-307.5,1,0
-304.5,2,0
-302.5,2,0
-301.5,1,0
-300.5,3,0
