Base index,ATMi0_3#TOP,ATMi0_3#BOT
-49.5,3.8303169587283346e-05,0
-48.5,0,1.4860386667261083e-05
-46.5,0,1.4860386667261083e-05
-44.5,1.9151584793641673e-05,0
-43.5,1.9151584793641673e-05,1.4860386667261083e-05
-42.5,1.9151584793641673e-05,1.4860386667261083e-05
-40.5,9.575792396820837e-05,1.4860386667261083e-05
-39.5,5.745475438092502e-05,1.4860386667261083e-05
-38.5,9.575792396820837e-05,1.4860386667261083e-05
-37.5,0,1.4860386667261083e-05
-36.5,9.575792396820837e-05,2.9720773334522165e-05
-35.5,5.745475438092502e-05,1.4860386667261083e-05
-33.5,0.00019151584793641673,1.4860386667261083e-05
-32.5,3.8303169587283346e-05,0
-31.5,0.00011490950876185004,1.4860386667261083e-05
-30.5,9.575792396820837e-05,5.944154666904433e-05
-29.5,0.0002872737719046251,0
-28.5,0.0002489706023173418,2.9720773334522165e-05
-27.5,0.0002489706023173418,1.4860386667261083e-05
-26.5,0.0003447285262855501,1.4860386667261083e-05
-25.5,0.0005362443742219668,1.4860386667261083e-05
-24.5,0.0007852149765393086,2.9720773334522165e-05
-23.5,0.0004404864502537585,0.00010402270667082757
-22.5,0.0015704299530786173,2.9720773334522165e-05
-21.5,0.0009192760700948003,1.4860386667261083e-05
-20.5,0.0009192760700948003,4.4581160001783245e-05
-19.5,0.0022598870056497176,1.4860386667261083e-05
-18.5,0.0016278847074595424,7.430193333630541e-05
-17.5,0.004596380350474002,5.944154666904433e-05
-16.5,0.003906923297902902,0
-15.5,0.006320022981901752,5.944154666904433e-05
-14.5,0.0055348080053624436,4.4581160001783245e-05
-13.5,0.0055348080053624436,4.4581160001783245e-05
-12.5,0.006434932490663603,8.916232000356649e-05
-11.5,0.009365124964090778,0.00010402270667082757
-10.5,0.013559322033898305,5.944154666904433e-05
-9.5,0.0066455999233936604,0.00011888309333808866
-8.5,0.019898496600593698,4.4581160001783245e-05
-7.5,0.016546969261706405,0.0006092758533577043
-6.5,0.026735612371923775,0.00014860386667261082
-5.5,0.022503112132528966,0.00014860386667261082
-4.5,0.004021832806664752,0.00013374348000534973
-3.5,0.061687254620319834,5.944154666904433e-05
-2.5,0.048261993679977015,0.00038637005334878814
-1.5,0.10048836541223787,0.00026748696001069946
-0.5,0.10931724600210667,0.00026748696001069946
0.5,0.08918893038398927,0.9812313316392492
1.5,0.09644738102077947,0.001411736733389803
2.5,0.03412812410226946,0.0011591101600463645
3.5,0.09307670209709853,0.0005944154666904433
4.5,0.030029684956430144,0.0008470420400338817
5.5,0.039873599540361966,0.00026748696001069946
6.5,0.041635545341377,0.00029720773334522164
7.5,0.013521018864311021,0.0011591101600463645
8.5,0.011663315139327779,0.00044581160001783246
9.5,0.011012161256343963,0.0005498343066886601
10.5,0.011625011969740496,0.00044581160001783246
11.5,0.011605860384946855,0.00035664928001426596
12.5,0.0072201474672029115,0.0004160908266833103
13.5,0.00480704778320406,0.0005795550800231822
14.5,0.0021258259120942257,0.0005795550800231822
15.5,0.0025663123623479844,0.00044581160001783246
16.5,0.0015704299530786173,0.0007281589466957931
17.5,0.001647036292253184,0.00028234734667796055
18.5,0.0007277602221583836,0.0005201135333541379
19.5,0.002010916403332376,0.0008024608800320985
20.5,0.001225701426793067,0.0002526265733434384
21.5,0.002221583836062434,0.00011888309333808866
22.5,0.000823518146126592,0.00011888309333808866
23.5,0.0007277602221583836,0.0004160908266833103
24.5,0.0005553959590156085,0.00013374348000534973
25.5,0.0005745475438092502,2.9720773334522165e-05
26.5,0.0005936991286028918,0.00047553237335235465
27.5,0.0005170927894283251,0.00013374348000534973
28.5,0.00019151584793641673,5.944154666904433e-05
29.5,0.0004404864502537585,2.9720773334522165e-05
30.5,0.00015321267834913339,0.0001634642533398719
31.5,0.0002106674327300584,0.00011888309333808866
32.5,0.0002681221871109834,0.00010402270667082757
33.5,0.00015321267834913339,2.9720773334522165e-05
34.5,0.0002872737719046251,1.4860386667261083e-05
35.5,0.0002106674327300584,8.916232000356649e-05
36.5,0.00040218328066647516,4.4581160001783245e-05
37.5,0.0003447285262855501,7.430193333630541e-05
38.5,0.0001340610935554917,4.4581160001783245e-05
39.5,0.0002489706023173418,4.4581160001783245e-05
40.5,3.8303169587283346e-05,8.916232000356649e-05
41.5,0.00017236426314277506,5.944154666904433e-05
42.5,5.745475438092502e-05,0.00044581160001783246
43.5,5.745475438092502e-05,0.00020804541334165514
44.5,9.575792396820837e-05,4.4581160001783245e-05
45.5,7.660633917456669e-05,2.9720773334522165e-05
46.5,0.00011490950876185004,7.430193333630541e-05
47.5,5.745475438092502e-05,4.4581160001783245e-05
48.5,3.8303169587283346e-05,5.944154666904433e-05
49.5,3.8303169587283346e-05,4.4581160001783245e-05
