Base index shifted,704_3#TOP,704_3#BOT
-351.5,18226,11825
-350.5,167,160
-349.5,16,23
-348.5,14,7
-347.5,28,12
-346.5,5,6
-345.5,3,6
-344.5,3,0
-343.5,11,3
-342.5,0,1
-341.5,0,3
-340.5,2,2
-339.5,0,1
-338.5,0,1
-337.5,0,3
-336.5,2,0
-335.5,1,1
-334.5,1,0
-332.5,1,0
-331.5,3,0
-330.5,2,0
-329.5,1,1
-328.5,0,1
-327.5,1,0
-326.5,1,0
-325.5,0,2
-324.5,1,0
-323.5,1,0
-322.5,0,2
-317.5,0,1
-316.5,1,0
-315.5,1,0
-314.5,1,1
-313.5,1,0
-312.5,1,0
-310.5,4,0
-308.5,0,1
-307.5,1,0
-304.5,1,0
-302.5,1,0
-299.5,1,0
-298.5,3,1
-297.5,0,1
-293.5,0,1
-292.5,0,2
-291.5,0,1
-290.5,0,1
-289.5,1,1
-287.5,0,1
-286.5,1,0
-285.5,1,2
-284.5,0,1
-283.5,1,0
-281.5,2,0
-280.5,1,0
-278.5,1,0
-277.5,1,0
-276.5,1,1
-275.5,3,1
-274.5,1,4
-271.5,0,1
-269.5,1,0
-268.5,3,0
-267.5,0,1
-266.5,1,1
-265.5,1,0
-264.5,1,0
-262.5,1,0
-260.5,2,0
-259.5,1,0
-258.5,0,1
-257.5,1,0
-256.5,1,1
-253.5,1,0
-252.5,0,2
-250.5,1,0
-249.5,1,0
-246.5,1,1
-245.5,1,1
-244.5,1,0
-243.5,2,1
-242.5,1,0
-241.5,0,1
-238.5,1,0
-237.5,0,1
-236.5,0,1
-235.5,0,1
-233.5,1,0
-232.5,1,1
-230.5,0,1
-228.5,0,1
-224.5,1,2
-223.5,1,0
-221.5,1,0
-220.5,1,2
-218.5,0,1
-217.5,1,0
-216.5,2,3
-215.5,0,2
-213.5,0,1
-211.5,0,4
-208.5,0,1
-207.5,0,2
-206.5,0,2
-205.5,0,1
-204.5,1,0
-203.5,1,0
-202.5,0,1
-200.5,1,2
-198.5,1,1
-197.5,0,1
-195.5,0,1
-193.5,1,0
-192.5,1,0
-190.5,0,1
-188.5,0,1
-187.5,0,5
-185.5,2,0
-183.5,1,0
-182.5,2,1
-181.5,1,0
-180.5,1,1
-179.5,1,1
-178.5,0,2
-177.5,1,3
-176.5,0,2
-174.5,0,1
-173.5,0,1
-172.5,1,1
-170.5,0,2
-169.5,0,4
-168.5,0,2
-167.5,1,0
-166.5,1,0
-165.5,3,0
-164.5,3,0
-163.5,1,2
-160.5,1,0
-159.5,0,1
-157.5,0,1
-156.5,1,2
-154.5,1,0
-153.5,2,2
-152.5,1,3
-151.5,1,1
-149.5,1,1
-148.5,1,0
-146.5,1,0
-145.5,0,1
-141.5,2,0
-140.5,0,1
-139.5,0,2
-138.5,0,1
-137.5,0,2
-136.5,1,1
-133.5,2,0
-130.5,0,1
-123.5,1,3
-122.5,0,1
-121.5,0,2
-119.5,1,1
-118.5,1,2
-117.5,0,1
-115.5,1,0
-114.5,1,0
-113.5,1,0
-111.5,0,2
-110.5,1,0
-108.5,1,0
-101.5,2,0
-99.5,0,1
-97.5,0,1
-93.5,1,0
-92.5,1,0
-90.5,0,1
-85.5,1,0
-81.5,0,1
-80.5,1,0
-76.5,3,1
-75.5,0,3
-74.5,0,3
-71.5,0,1
-69.5,0,1
-68.5,1,0
-63.5,2,2
-59.5,0,1
-58.5,0,1
-56.5,1,0
-53.5,0,2
-52.5,0,1
-51.5,2,0
-50.5,1,2
-49.5,1,0
-48.5,2,1
-47.5,1,0
-45.5,1,0
-44.5,1,0
-43.5,3,0
-42.5,1,0
