Base index,AT_3#TOP,AT_3#BOT
303,8.545109633756601e-05,0
304,1.70902192675132e-05,1.5793796196853876e-05
305,6.83608770700528e-05,1.5793796196853876e-05
306,0.00018799241194264522,0
307,6.83608770700528e-05,3.158759239370775e-05
308,0.00010254131560507921,1.5793796196853876e-05
309,1.70902192675132e-05,0
310,0.00015381197340761881,0
311,0.00011963153487259242,0
312,0.00018799241194264522,3.158759239370775e-05
313,0.000256353289012698,0
314,0.000256353289012698,1.5793796196853876e-05
315,0.0001367217541401056,0
316,0.00041016526242031685,1.5793796196853876e-05
317,0.00037598482388529045,3.158759239370775e-05
318,0.00023926306974518484,3.158759239370775e-05
319,0.0007348794285030677,1.5793796196853876e-05
320,0.0006152478936304753,1.5793796196853876e-05
321,0.0007519696477705809,3.158759239370775e-05
322,0.0010766838138533317,3.158759239370775e-05
323,0.0009570522789807393,3.158759239370775e-05
324,0.001521029514808675,1.5793796196853876e-05
325,0.0008886914019106865,4.738138859056163e-05
326,0.001264676225795977,0
327,0.0012304957872609505,6.31751847874155e-05
328,0.0018799241194264523,1.5793796196853876e-05
329,0.0017090219267513202,0
330,0.0015723001726112146,4.738138859056163e-05
331,0.0022559089433117426,4.738138859056163e-05
332,0.0033496829764325877,4.738138859056163e-05
333,0.0029224274947447578,4.738138859056163e-05
334,0.00309332968741989,1.5793796196853876e-05
335,0.0032471416608275084,3.158759239370775e-05
336,0.0038794797737254968,6.31751847874155e-05
337,0.006067027839967187,7.896898098426938e-05
338,0.008340027002546442,6.31751847874155e-05
339,0.010527575068788132,7.896898098426938e-05
340,0.018542887905251826,4.738138859056163e-05
341,0.014919761420539026,4.738138859056163e-05
342,0.019277767333754893,6.31751847874155e-05
343,0.03383863414967614,6.31751847874155e-05
344,0.02496881034983679,6.31751847874155e-05
345,0.029036282535504932,0.00011055657337797713
346,0.0340437167808863,0.00018952555436224652
347,0.05118520670620204,4.738138859056163e-05
348,0.041973578521012425,0.00023690694295280815
349,0.04079435339155402,0.00031587592393707753
350,0.041922307863209884,0.00022111314675595425
351,0.041939398082477396,0.0002684945353465159
352,0.04636576487276332,0.00030008212774022364
353,0.04470801360381454,0.9711605281445448
354,0.04099943602276417,0.004911870617221556
355,0.07928152718199374,0.0009634215680080864
356,0.06299454822005367,0.0007265146250552783
357,0.03785483567754174,0.0006791332364647167
358,0.061541879582315044,0.0007107208288584244
359,0.025703689778339856,0.00031587592393707753
360,0.030437680515441014,0.00036325731252763915
361,0.024644096183754037,0.0004422262935119085
362,0.015124844051749183,0.0004106387011182008
363,0.012886025327704954,0.0004422262935119085
364,0.015039392955411618,0.00033166972013393137
365,0.008357117221813955,0.00031587592393707753
366,0.008545109633756601,0.00033166972013393137
367,0.004665629860031105,0.0003948449049213469
368,0.0034180438535026405,0.00033166972013393137
369,0.0029907883718148106,0.0003948449049213469
370,0.002529352451591954,0.0008686587908269632
371,0.002102096969904124,0.00030008212774022364
372,0.0017944730230888863,0.00031587592393707753
373,0.0012304957872609505,0.00037905110872449305
374,0.0008545109633756601,0.00033166972013393137
375,0.0009741424982482526,0.0006001642554804473
376,0.0008545109633756601,0.001152947122370333
377,0.001025413156050792,0.0006001642554804473
378,0.0007006989899680413,0.0007738960136458399
379,0.0012304957872609505,0.00042643249731505467
380,0.00032471416608275083,0.0008054836060395477
381,0.0009741424982482526,0.0005211952744961779
382,0.00044434570095534326,0.0003948449049213469
383,0.0005297967972929092,0.0005369890706930318
384,0.00034180438535026404,0.0004580200897087624
385,0.0002905337275477244,0.0005685766630867395
386,0.00041016526242031685,0.00017373175816539263
387,0.0004785261394903697,0.00042643249731505467
388,0.00046143592022285647,0.00033166972013393137
389,0.0005297967972929092,0.00028428833154336974
390,0.00030762394681523763,0.00017373175816539263
391,0.00041016526242031685,0.00034746351633078526
392,0.0005297967972929092,0.00028428833154336974
393,0.00017090219267513202,0.0004106387011182008
394,0.00023926306974518484,0.00023690694295280815
395,0.00018799241194264522,0.00031587592393707753
396,0.00015381197340761881,0.00033166972013393137
397,0.00017090219267513202,0.00018952555436224652
398,0.00018799241194264522,0.000126350369574831
399,6.83608770700528e-05,0.00015793796196853876
400,0.0005639772358279356,0.00023690694295280815
401,0.00011963153487259242,0.00042643249731505467
402,0.00023926306974518484,0.00031587592393707753
