Base index shifted,ATMi4_1#TOP,ATMi4_1#BOT
-351.5,73370,41784
-350.5,746,726
-349.5,190,117
-348.5,68,28
-347.5,140,41
-346.5,38,43
-345.5,34,24
-344.5,17,25
-343.5,26,11
-342.5,13,5
-341.5,8,6
-340.5,10,1
-339.5,78,6
-338.5,7,5
-337.5,13,4
-336.5,21,5
-335.5,6,1
-334.5,7,1
-333.5,2,2
-332.5,12,3
-331.5,13,3
-330.5,7,2
-329.5,23,21
-328.5,1,8
-327.5,6,2
-326.5,11,2
-325.5,3,10
-324.5,2,5
-323.5,5,2
-322.5,29,11
-321.5,9,0
-320.5,11,1
-319.5,8,1
-318.5,4,1
-317.5,7,3
-316.5,5,14
-315.5,17,9
-314.5,6,2
-313.5,13,0
-312.5,9,2
-311.5,5,0
-310.5,5,1
-309.5,1,1
-308.5,2,0
-307.5,5,2
-306.5,7,1
-305.5,0,2
-304.5,2,1
-303.5,2,0
-301.5,4,1
-300.5,4,0
-299.5,3,1
-298.5,9,3
-297.5,2,0
-296.5,2,0
-295.5,2,0
-294.5,21,2
-293.5,4,0
-292.5,5,5
-291.5,3,0
-289.5,2,1
-288.5,11,0
-287.5,3,1
-286.5,3,0
-285.5,1,0
-284.5,7,0
-283.5,7,4
-282.5,4,4
-281.5,11,1
-280.5,2,3
-279.5,5,1
-278.5,5,1
-277.5,2,5
-276.5,5,3
-275.5,1,3
-274.5,2,2
-273.5,2,2
-272.5,5,1
-271.5,2,5
-270.5,5,0
-269.5,5,3
-268.5,2,0
-267.5,1,0
-266.5,6,0
-265.5,15,0
-264.5,3,1
-263.5,6,0
-262.5,18,0
-261.5,7,0
-260.5,10,1
-259.5,4,2
-258.5,6,1
-257.5,10,0
-256.5,5,1
-255.5,11,1
-254.5,2,7
-253.5,5,0
-252.5,5,0
-251.5,13,2
-250.5,4,6
-249.5,6,1
-248.5,3,0
-247.5,4,2
-246.5,7,0
-245.5,7,0
-244.5,4,0
-243.5,9,1
-242.5,6,2
-241.5,8,1
-240.5,6,4
-239.5,5,4
-238.5,8,4
-237.5,8,3
-236.5,11,3
-235.5,3,2
-234.5,9,3
-233.5,1,4
-232.5,9,2
-231.5,11,1
-230.5,2,2
-229.5,10,5
-228.5,5,4
-227.5,2,1
-226.5,7,0
-225.5,2,5
-224.5,6,2
-223.5,7,2
-222.5,10,6
-221.5,12,3
-220.5,5,1
-219.5,8,0
-218.5,9,0
-217.5,12,2
-216.5,10,8
-215.5,11,0
-214.5,6,1
-213.5,5,1
-212.5,8,4
-211.5,6,2
-210.5,2,1
-209.5,14,0
-208.5,6,2
-207.5,14,0
-206.5,4,3
-205.5,6,3
-204.5,5,1
-203.5,8,1
-202.5,12,3
-201.5,14,2
-200.5,11,7
-199.5,3,1
-198.5,8,3
-197.5,12,2
-196.5,6,0
-195.5,11,2
-194.5,2,6
-193.5,14,2
-192.5,21,7
-191.5,8,3
-190.5,7,6
-189.5,5,5
-188.5,7,4
-187.5,6,4
-186.5,5,3
-185.5,5,1
-184.5,3,1
-183.5,8,2
-182.5,6,3
-181.5,5,2
-180.5,2,1
-179.5,2,4
-178.5,6,2
-177.5,2,5
-176.5,9,6
-175.5,1,1
-174.5,3,3
-173.5,3,3
-172.5,5,0
-171.5,1,0
-170.5,3,1
-169.5,3,9
-168.5,0,5
-167.5,3,0
-165.5,2,1
-163.5,1,2
-162.5,2,1
-161.5,1,2
-159.5,1,2
-158.5,0,1
-157.5,1,0
-156.5,1,2
-155.5,0,3
-154.5,2,0
-153.5,0,3
-152.5,1,5
-151.5,1,0
-150.5,4,4
-149.5,1,4
-148.5,0,6
-147.5,0,3
-146.5,1,2
-145.5,0,2
-144.5,0,2
-143.5,0,2
-142.5,3,2
-141.5,2,2
-140.5,1,1
-139.5,1,0
-137.5,1,1
-136.5,0,2
-135.5,2,2
-134.5,0,1
-133.5,4,1
-132.5,0,5
-130.5,0,2
-129.5,3,2
-128.5,4,2
-126.5,1,0
-125.5,0,1
-123.5,0,5
-122.5,1,3
-121.5,0,5
-120.5,0,1
-119.5,0,1
-118.5,3,2
-117.5,2,0
-116.5,1,1
-115.5,0,3
-114.5,2,0
-112.5,0,3
-111.5,1,1
-110.5,2,0
-109.5,1,0
-108.5,0,1
-107.5,1,0
-106.5,2,0
-103.5,2,2
-102.5,2,0
-101.5,1,1
-100.5,1,2
-97.5,1,1
-96.5,0,1
-94.5,2,0
-91.5,0,2
-87.5,2,1
-86.5,1,0
-84.5,1,0
-77.5,1,0
-69.5,1,0
-66.5,2,0
-61.5,1,1
-60.5,0,1
-53.5,0,1
-52.5,2,0
-50.5,4,0
-48.5,1,1
-47.5,1,0
-46.5,1,0
-44.5,1,0
-43.5,1,0
-42.5,1,0
-40.5,4,1
-39.5,2,0
-38.5,1,0
-37.5,1,1
-36.5,2,0
-35.5,1,0
-34.5,1,0
-33.5,4,0
-32.5,2,2
-31.5,3,0
-30.5,3,1
-29.5,9,0
-28.5,4,4
-27.5,5,0
-26.5,8,3
-25.5,6,1
-24.5,11,4
-23.5,5,2
-22.5,26,1
-21.5,15,0
-20.5,29,0
-19.5,51,0
-18.5,28,2
-17.5,51,4
-16.5,37,0
-15.5,45,1
-14.5,19,0
-13.5,39,2
-12.5,38,3
-11.5,93,4
-10.5,209,6
-9.5,333,3
-8.5,1496,2
-7.5,1263,30
-6.5,1321,13
-5.5,1633,13
-4.5,1764,7
-3.5,1842,5
-2.5,1835,7
-1.5,2520,12
-0.5,2159,21
0.5,4382,63607
1.5,2552,1012
2.5,1743,38
3.5,1929,123
4.5,1067,44
5.5,1338,37
6.5,1552,19
7.5,587,70
8.5,1070,18
9.5,770,34
10.5,320,22
11.5,144,14
12.5,140,14
13.5,104,8
14.5,72,8
15.5,81,26
16.5,54,29
17.5,47,21
18.5,22,18
19.5,102,12
20.5,45,16
21.5,70,9
22.5,41,7
23.5,36,27
24.5,25,5
25.5,23,6
26.5,26,47
27.5,24,9
28.5,4,8
29.5,29,5
30.5,8,9
31.5,9,4
32.5,12,8
33.5,10,5
34.5,13,10
35.5,5,4
36.5,14,8
37.5,22,6
38.5,12,9
39.5,11,3
40.5,5,5
41.5,4,7
42.5,2,22
43.5,1,20
44.5,0,5
45.5,1,6
46.5,0,4
47.5,1,3
48.5,2,6
49.5,1,6
50.5,0,9
51.5,1,4
52.5,0,5
53.5,1,2
54.5,0,10
55.5,0,4
56.5,0,7
57.5,1,10
58.5,3,1
59.5,3,6
60.5,1,2
61.5,2,9
62.5,2,1
63.5,0,6
64.5,0,3
65.5,0,4
66.5,1,1
67.5,0,2
68.5,4,7
69.5,1,6
70.5,0,5
71.5,1,1
72.5,3,6
73.5,3,3
74.5,0,6
75.5,1,7
76.5,0,6
