Base index shifted,ATMi0#TOP#AVERAGE,ATMi0#TOP#STD,ATMi0#BOT#AVERAGE,ATMi0#BOT#STD
-49.5,2.963994982350918e-05,2.639698094682969e-05,8.91432442792323e-06,1.54400628243154e-05
-48.5,5.624075542582687e-06,9.741184585358715e-06,9.410624436381976e-06,8.183770221197778e-06
-47.5,9.907856930545922e-05,0,0.0,0
-46.5,0.00019815713861091845,0.00028023651290460616,1.4115936654572964e-05,1.0528113044523607e-06
-45.5,0.0,0,2.674297328376969e-05,0
-44.5,2.64480190245689e-05,1.0318716246340587e-05,0.0,0.0
-43.5,7.806031667743606e-05,0.00010401314266622289,1.8324948864305205e-05,2.0280405991858898e-05
-42.5,0.00011108650644592247,0.00016121396581710343,1.386778665034359e-05,1.3399089376121546e-05
-41.5,5.797539796660364e-05,5.812866236395465e-05,6.685743320942422e-06,9.45506887902211e-06
-40.5,0.00012609206523928905,6.266979184859646e-05,1.2147758584264692e-05,1.1044185739885955e-05
-39.5,7.467407673245883e-05,2.1722235049634202e-05,1.2147758584264692e-05,1.1044185739885955e-05
-38.5,4.3167459074568163e-05,4.8569432564885836e-05,2.3799217160070637e-05,1.6788447512079405e-05
-37.5,4.989841639623447e-05,4.954318975128418e-05,1.6604920798226305e-05,4.374852228757518e-06
-36.5,0.00010431402655596801,1.2058690370158598e-05,2.601554523460828e-05,4.1174207566772436e-06
-35.5,6.342592564729346e-05,3.307382416242095e-05,9.410624436381976e-06,8.183770221197778e-06
-34.5,0.00011595079593320728,0.0001162573247279093,1.747718786370892e-05,5.806338350955391e-06
-33.5,0.0003126124344729682,0.00024490142530545145,1.2147758584264692e-05,1.1044185739885955e-05
-32.5,0.00011818863153081275,7.992701686866184e-05,4.457162213961615e-06,7.7200314121577e-06
-31.5,0.0001711261921482387,0.0001094279065791341,1.386778665034359e-05,1.3399089376121546e-05
-30.5,0.00013171614078187174,5.760468508450345e-05,2.427101110364306e-05,3.118371518471449e-05
-29.5,0.0003298143062956521,6.524548354788393e-05,8.91432442792323e-06,1.54400628243154e-05
-28.5,0.0002882079418999678,9.478788722294263e-05,2.1558383020646666e-05,8.17467089551158e-06
-27.5,0.0005313576848515479,0.0004013477597204676,9.410624436381976e-06,8.183770221197778e-06
-26.5,0.00027657117252272856,7.382203286943394e-05,2.3799217160070637e-05,1.6788447512079405e-05
-25.5,0.0006271156088197561,0.0003278206245860649,3.0993513521914966e-05,2.924229827767484e-05
-24.5,0.0008064333573031188,7.689254632610147e-05,3.320984159645261e-05,8.749704457515036e-06
-23.5,0.0005129899581526422,0.00015737676658231044,0.00013234306637735168,3.585903921332803e-05
-22.5,0.0016901672452283758,0.0002536955847143266,2.601554523460828e-05,4.1174207566772436e-06
-21.5,0.0008378394792955833,0.00040696451341418015,9.410624436381976e-06,8.183770221197778e-06
-20.5,0.0011779130010915932,0.0003570266857413298,1.9317548881222698e-05,2.287764627079694e-05
-19.5,0.0024077222756292553,0.0005071437565345958,4.953462222420361e-06,8.579648242605111e-06
-18.5,0.0018744497788644495,0.0005246512957425403,5.080736241159641e-05,3.277041072646749e-05
-17.5,0.004547931838302218,0.0007286655855046406,2.8728173317604673e-05,2.9770457369392188e-05
-16.5,0.003944294845727012,0.00010438484238760827,2.330291715161189e-05,2.178753292419122e-05
-15.5,0.00617609223432847,0.0004525628457663303,3.865960382733172e-05,2.336325775953808e-05
-14.5,0.005261486947095756,0.0002473586960239588,6.420335511836758e-05,3.792073857947898e-05
-13.5,0.005644642347478388,0.0007516737022283793,6.592338318444648e-05,2.0890864887096503e-05
-12.5,0.006941459708236434,0.0017037629595271033,6.913231127590161e-05,1.8237685065618693e-05
-11.5,0.011122463134376313,0.002206673148301222,9.019439428808953e-05,1.2358285097485019e-05
-10.5,0.01438029520487252,0.0019460192376777761,5.7505358764981996e-05,2.984143805894268e-05
-9.5,0.0075732494442308845,0.0017876533395354106,7.458207350678073e-05,4.0294494801107053e-05
-8.5,0.020344394682832147,0.0027603456110009213,6.318624903656377e-05,1.787516597386133e-05
-7.5,0.01711843463944153,0.001256823742884809,0.0005670243011171018,0.0001493070469444446
-6.5,0.02720213509779086,0.005059795944419251,0.00017840358854234408,3.304604470373675e-05
-5.5,0.023992681871580292,0.004992224054746765,0.00013109483225484523,3.2494723545575394e-05
-4.5,0.004840330551734903,0.0017350711981761052,0.00016930714820349082,9.843116721163299e-05
-3.5,0.06414822633241411,0.005931386763823472,7.087684540686684e-05,1.3888301223130186e-05
-2.5,0.04457999287321221,0.009317651466738372,0.0003662763515130099,7.740958100999933e-05
-1.5,0.10095364816901184,0.01152722919598926,0.00017619679832997352,0.00010152527795940774
