Base index,400_1#TOP,400_1#BOT
1,46128,49028
2,475,456
3,60,143
4,27,45
5,65,77
6,29,51
7,22,21
8,8,13
9,16,19
10,2,2
11,2,11
12,3,3
13,11,11
14,5,9
15,3,6
16,2,7
17,1,3
18,2,5
19,2,1
20,2,0
21,0,2
22,3,3
23,1,3
24,5,5
25,0,3
26,6,2
27,2,0
29,1,2
30,3,0
32,1,1
33,4,2
34,4,1
35,5,0
36,2,1
37,1,3
38,1,2
39,2,3
40,1,1
41,0,2
42,1,10
43,0,4
44,10,9
45,0,1
46,3,6
47,0,5
48,3,2
49,2,1
50,2,7
51,0,4
52,2,5
53,0,8
54,1,3
55,0,1
56,1,2
58,5,2
59,3,8
60,2,0
61,4,4
62,1,4
63,4,3
64,0,7
65,1,12
66,0,6
67,4,3
68,1,2
69,0,4
70,2,1
71,0,6
72,0,2
73,1,1
74,5,0
75,1,5
76,0,2
77,5,6
78,2,5
79,0,1
80,2,0
81,3,2
82,3,3
83,4,3
84,5,5
85,2,7
86,1,4
87,1,3
88,4,2
89,1,7
90,4,0
91,1,3
92,0,6
93,5,1
94,3,2
95,3,2
96,2,0
97,4,2
98,3,2
99,6,3
100,1,0
101,4,1
102,2,4
103,4,2
105,0,1
106,1,5
107,3,0
108,3,0
109,5,2
110,0,3
111,1,2
112,1,1
113,3,3
114,0,1
115,2,1
116,3,3
117,1,0
118,6,2
119,3,1
120,2,0
121,0,3
122,3,0
123,2,1
124,3,0
125,2,0
126,8,1
127,6,1
128,1,0
129,2,0
130,3,1
131,2,0
132,3,0
133,3,0
134,3,0
135,2,1
136,1,1
137,0,1
139,0,2
140,5,0
141,5,0
142,4,1
143,5,1
144,3,0
145,3,2
146,4,0
147,4,1
148,7,2
149,12,0
150,17,1
151,11,0
152,7,0
153,7,1
154,9,1
155,3,1
156,12,0
157,6,2
158,10,1
159,11,0
160,8,6
161,15,0
162,17,0
163,7,0
164,11,1
165,14,2
166,8,3
167,36,0
168,16,2
169,17,1
170,20,2
171,25,3
172,24,1
173,14,4
174,12,0
175,50,5
176,22,0
177,19,1
178,9,2
179,5,0
180,55,2
181,60,4
182,95,0
183,155,2
184,173,3
185,375,1
186,187,2
187,424,3
188,275,2
189,402,7
190,621,1
191,849,3
192,926,4
193,1693,3
194,1186,10
195,644,4
196,1627,6
197,1515,3
198,1931,2
199,1309,12
200,1871,6
201,3002,45792
202,1599,171
203,2634,8
204,2264,42
205,1332,14
206,1998,11
207,832,6
208,1753,7
209,1102,17
210,551,10
211,213,11
212,271,18
213,328,9
214,204,4
215,132,16
216,52,10
217,78,2
218,86,6
219,66,2
220,28,5
221,20,6
222,50,12
223,21,9
224,32,1
225,33,3
226,26,1
227,14,0
228,8,2
229,16,4
230,20,11
231,17,6
232,8,3
233,16,4
234,16,2
235,16,5
236,11,6
237,37,4
238,14,12
239,20,8
240,8,5
241,5,4
242,9,3
243,4,2
244,6,1
245,7,0
246,4,2
247,5,1
248,3,4
249,6,5
250,3,2
251,6,0
252,5,2
253,3,2
254,5,4
255,2,5
256,3,4
257,0,2
258,2,6
259,3,0
260,0,1
261,0,4
262,3,1
263,8,2
264,0,4
265,2,4
266,1,0
267,4,3
268,7,3
269,5,2
270,1,2
271,0,6
272,2,0
273,2,3
274,2,11
275,1,6
276,1,5
277,0,2
278,1,0
279,2,2
280,1,3
281,1,0
282,0,1
284,0,4
285,0,2
286,0,6
287,0,1
288,0,2
290,1,0
293,0,1
294,2,3
295,1,3
296,3,3
297,1,1
298,0,1
300,1,0
301,1,2
302,0,1
303,1,0
304,2,0
305,1,0
306,1,0
307,0,1
308,1,0
309,0,1
310,0,1
311,1,1
313,1,0
315,0,1
316,0,2
317,0,2
319,1,0
322,1,0
