Base index,400_3#TOP,400_3#BOT
1,48009,51823
2,522,480
3,69,180
4,29,55
5,82,77
6,28,53
7,20,26
8,2,5
9,12,17
10,2,8
11,5,4
12,2,4
13,5,12
14,1,6
15,1,3
16,6,7
17,1,4
18,2,6
19,5,2
20,3,1
21,1,3
22,0,1
23,1,5
24,2,8
25,1,4
26,3,1
27,1,2
28,5,1
29,1,0
30,2,1
31,1,2
32,0,4
33,3,1
34,6,2
35,1,0
36,1,1
37,0,3
38,0,2
39,2,4
40,4,0
41,0,2
42,1,7
43,0,6
44,1,5
45,0,3
46,0,8
47,1,6
48,0,5
49,2,1
50,7,9
51,0,10
52,1,6
53,3,10
54,4,6
55,1,2
56,0,5
57,1,2
58,3,10
59,3,1
60,2,4
61,3,6
62,1,5
63,3,6
64,1,4
65,2,11
66,0,8
67,9,6
68,0,4
69,1,4
70,3,2
71,2,5
72,0,2
73,1,1
74,2,3
75,1,12
76,4,6
77,6,4
78,4,5
79,4,4
80,0,1
81,2,5
82,3,8
83,6,1
84,3,5
85,1,8
86,3,7
87,2,6
88,2,1
89,5,12
90,2,3
91,11,0
92,2,7
93,6,1
94,8,3
95,4,7
96,5,0
97,2,6
98,6,8
99,7,4
100,1,4
101,3,2
102,3,5
103,4,1
104,1,2
105,1,3
106,1,4
107,2,2
108,0,3
109,7,1
111,1,1
112,1,3
113,3,0
114,8,2
115,1,1
117,0,1
118,7,2
119,3,4
120,4,4
121,1,0
122,4,0
123,1,2
124,3,1
125,3,1
126,8,2
127,2,2
128,3,2
129,12,0
130,3,2
131,1,0
132,4,3
133,4,0
134,5,2
135,6,0
136,4,2
137,2,0
138,1,1
139,3,0
140,7,4
141,3,2
142,10,1
143,10,0
144,4,3
145,13,4
146,12,2
147,11,3
148,12,2
149,7,1
150,13,5
151,20,3
152,9,1
153,18,0
154,15,0
155,10,3
156,13,0
157,22,4
158,16,0
159,15,2
160,10,2
161,20,0
162,29,1
163,13,1
164,39,1
165,17,3
166,18,1
167,35,5
168,16,5
169,33,1
170,23,1
171,47,4
172,42,1
173,16,0
174,13,1
175,58,2
176,30,3
177,46,0
178,18,3
179,11,2
180,78,3
181,53,2
182,132,2
183,174,6
184,226,4
185,424,4
186,264,2
187,473,6
188,322,1
189,460,6
190,730,2
191,966,1
192,1082,3
193,1978,2
194,1304,11
195,670,5
196,1622,4
197,1463,4
198,1892,4
199,1274,11
200,1787,8
201,2802,47597
202,1538,157
203,2608,11
204,2309,52
205,1354,9
206,1913,12
207,812,6
208,1813,10
209,1151,16
210,595,9
211,293,6
212,354,10
213,437,15
214,256,5
215,154,11
216,73,4
217,119,7
218,69,13
219,61,2
220,32,7
221,34,4
222,69,23
223,25,7
224,41,2
225,38,8
226,28,6
227,16,1
228,12,1
229,16,4
230,19,5
231,10,4
232,10,6
233,18,6
234,15,5
235,27,7
236,13,8
237,40,3
238,20,10
239,13,5
240,11,1
241,6,5
242,11,2
243,4,4
244,2,4
245,5,2
246,4,2
247,1,6
248,7,2
249,11,3
250,5,4
251,6,5
252,9,2
253,2,3
254,4,1
255,2,3
256,5,4
257,1,1
258,2,3
259,3,1
260,0,1
261,3,0
262,3,2
263,14,0
264,3,2
265,4,2
266,0,3
267,3,6
268,4,1
269,4,2
270,3,2
271,2,5
272,1,4
273,2,5
274,3,8
275,2,5
276,1,0
277,1,3
278,4,3
279,4,1
280,1,1
281,1,2
282,5,3
283,0,2
284,0,3
285,2,4
286,3,8
287,1,1
288,2,3
289,1,8
290,1,0
291,1,2
292,0,3
293,2,0
294,2,1
295,1,6
296,1,2
297,1,2
298,3,2
299,1,5
300,0,2
301,5,2
302,1,0
303,1,0
304,2,5
305,1,1
306,4,0
307,1,1
308,1,1
309,1,3
310,0,1
311,0,1
313,2,5
315,0,1
316,0,1
317,0,1
321,2,0
323,0,1
326,0,2
