Distance from 5'-end,AT_1
0,32.479466557787994
1,32.74758108929318
2,32.800284382240115
3,32.97790696570322
4,32.94851684454404
5,35.45311253750617
6,36.03219596262676
7,36.083038189828706
8,34.56983032017927
9,35.48272342284174
10,36.11048178814235
11,35.354345493562235
12,37.19991976527783
13,37.1154572904402
14,37.188235880587946
15,37.14681767252839
16,37.1244089217213
17,37.189807341714456
18,37.21817672528391
19,37.190892172129594
20,37.269913878233126
21,37.21434777241824
22,37.626101447073566
23,37.563767613657944
24,37.65730515781078
25,37.950301948421895
26,37.91909111625964
27,37.90411238558244
28,37.861908446959625
29,37.900850772912
30,37.98228189448896
31,37.74587906870751
32,38.00585855900338
33,37.94798273766569
34,37.567682023624144
35,35.01360666945194
36,36.22428453416385
37,36.8702238976034
38,37.09268297314748
39,37.47136000227886
40,37.81428510387785
41,37.89977306392191
42,37.83095161229063
43,37.87384870295112
44,37.730665331003834
45,37.540506665653844
46,37.85545643586919
47,37.845897109650956
48,37.91279102890349
49,37.55375726385355
50,37.79411248053477
51,37.62836606023776
52,37.63663878233127
53,37.50774573664021
54,37.667175452922635
55,37.610334612024765
56,37.63764527707091
57,37.44662017167382
58,37.52375232633218
59,37.305478274905994
60,36.75294114854343
61,37.467659235064
62,37.44821062326712
63,37.867569979870105
64,37.82610904326028
65,37.52284315773482
66,37.67762495727145
67,37.67150053173307
68,37.79170306506134
69,37.7208353906339
70,37.630253237874584
71,37.72432014128907
72,37.62104998290858
73,37.67289158342512
74,37.936973014546695
