Base index shifted,AT_1#TOP,AT_1#BOT
-351.5,82288,82096
-350.5,390,966
-349.5,120,198
-348.5,53,100
-347.5,95,118
-346.5,43,142
-345.5,45,73
-344.5,13,32
-343.5,11,14
-342.5,7,11
-341.5,6,9
-340.5,5,18
-339.5,30,8
-338.5,8,13
-337.5,10,25
-336.5,4,11
-335.5,3,5
-334.5,3,7
-333.5,4,6
-332.5,22,2
-331.5,6,3
-330.5,5,6
-329.5,3,5
-328.5,1,3
-327.5,1,5
-326.5,4,0
-325.5,1,27
-324.5,5,4
-323.5,6,2
-322.5,1,0
-321.5,3,0
-320.5,14,2
-319.5,3,1
-318.5,2,0
-317.5,7,7
-316.5,2,2
-315.5,13,1
-314.5,2,4
-313.5,4,2
-312.5,5,2
-311.5,1,1
-310.5,9,1
-309.5,4,3
-308.5,2,5
-307.5,6,2
-306.5,4,3
-305.5,3,0
-304.5,5,3
-303.5,3,4
-302.5,9,0
-301.5,2,2
-300.5,6,4
-299.5,7,2
-298.5,4,0
-297.5,1,2
-296.5,2,3
-295.5,1,1
-294.5,15,3
-293.5,3,1
-292.5,1,3
-291.5,2,2
-290.5,4,4
-289.5,2,1
-288.5,15,1
-287.5,11,1
-286.5,3,2
-285.5,6,4
-284.5,4,1
-283.5,4,2
-282.5,4,1
-281.5,9,2
-280.5,5,0
-279.5,5,3
-278.5,4,3
-277.5,2,6
-276.5,11,3
-275.5,5,2
-274.5,4,4
-273.5,8,0
-272.5,4,3
-271.5,4,3
-270.5,5,6
-269.5,8,4
-268.5,11,3
-267.5,9,2
-266.5,18,2
-265.5,13,4
-264.5,6,8
-263.5,4,3
-262.5,16,2
-261.5,7,5
-260.5,3,2
-259.5,4,2
-258.5,6,4
-257.5,10,7
-256.5,5,3
-255.5,9,3
-254.5,8,4
-253.5,7,4
-252.5,6,7
-251.5,13,2
-250.5,7,13
-249.5,10,4
-248.5,11,2
-247.5,39,10
-246.5,9,3
-245.5,11,6
-244.5,9,6
-243.5,8,4
-242.5,10,5
-241.5,11,3
-240.5,14,3
-239.5,9,9
-238.5,14,4
-237.5,12,5
-236.5,16,5
-235.5,3,2
-234.5,8,7
-233.5,11,11
-232.5,16,6
-231.5,14,9
-230.5,4,9
-229.5,15,4
-228.5,8,3
-227.5,21,2
-226.5,13,12
-225.5,8,4
-224.5,17,6
-223.5,10,9
-222.5,21,2
-221.5,16,13
-220.5,8,5
-219.5,10,7
-218.5,13,7
-217.5,23,10
-216.5,6,5
-215.5,16,15
-214.5,9,7
-213.5,10,9
-212.5,12,9
-211.5,15,12
-210.5,16,7
-209.5,18,4
-208.5,31,8
-207.5,20,13
-206.5,17,9
-205.5,19,11
-204.5,16,9
-203.5,17,10
-202.5,21,14
-201.5,18,12
-200.5,24,15
-199.5,20,8
-198.5,14,11
-197.5,14,9
-196.5,12,13
-195.5,19,12
-194.5,2,17
-193.5,14,23
-192.5,30,18
-191.5,20,16
-190.5,17,9
-189.5,12,9
-188.5,19,7
-187.5,13,15
-186.5,18,11
-185.5,20,10
-184.5,14,19
-183.5,25,16
-182.5,12,17
-181.5,12,15
-180.5,22,9
-179.5,19,12
-178.5,25,7
-177.5,10,12
-176.5,16,13
-175.5,7,16
-174.5,9,12
-173.5,16,3
-172.5,15,3
-171.5,13,13
-170.5,6,14
-169.5,4,8
-168.5,7,14
-167.5,4,4
-166.5,5,10
-165.5,4,6
-164.5,7,9
-163.5,5,13
-162.5,7,9
-161.5,6,14
-160.5,6,7
-159.5,1,10
-158.5,3,10
-157.5,3,8
-156.5,5,14
-155.5,2,8
-154.5,5,12
-153.5,5,12
-152.5,4,10
-151.5,2,7
-150.5,3,8
-149.5,2,6
-148.5,0,8
-147.5,4,10
-146.5,3,8
-145.5,5,7
-144.5,1,17
-143.5,7,6
-142.5,4,7
-141.5,3,7
-140.5,3,11
-139.5,4,6
-138.5,5,8
-137.5,0,10
-136.5,4,11
-135.5,1,6
-134.5,1,7
-133.5,6,2
-132.5,0,7
-131.5,3,6
-130.5,0,13
-129.5,2,5
-128.5,3,6
-127.5,2,6
-126.5,2,4
-125.5,2,5
-124.5,1,9
-123.5,1,3
-122.5,1,3
-121.5,1,6
-120.5,3,1
-119.5,1,2
-118.5,2,1
-117.5,0,2
-116.5,1,2
-115.5,0,2
-114.5,2,2
-113.5,1,3
-112.5,2,1
-111.5,3,2
-110.5,2,1
-109.5,2,1
-108.5,1,2
-107.5,0,1
-106.5,1,1
-105.5,6,2
-104.5,2,0
-102.5,1,0
-101.5,3,2
-100.5,2,2
-99.5,0,1
-97.5,0,2
-96.5,2,1
-94.5,5,0
-93.5,1,4
-92.5,1,1
-91.5,5,1
-90.5,1,0
-89.5,1,2
-88.5,1,1
-87.5,1,1
-85.5,2,2
-83.5,0,2
-82.5,1,0
-79.5,0,2
-78.5,0,3
-76.5,3,2
-75.5,1,0
-74.5,2,0
-73.5,1,1
-72.5,2,0
-71.5,7,1
-70.5,1,0
-67.5,1,0
-66.5,1,1
-65.5,1,1
-64.5,2,0
-63.5,1,0
-62.5,0,2
-61.5,2,1
-60.5,4,0
-58.5,2,0
-57.5,2,1
-56.5,3,1
-55.5,6,2
-54.5,7,0
-53.5,5,3
-52.5,4,0
-51.5,6,1
-50.5,4,1
-49.5,2,1
-48.5,3,3
-47.5,5,2
-46.5,5,1
-45.5,8,1
-44.5,5,2
-43.5,9,2
-42.5,14,3
-41.5,10,0
-40.5,19,1
-39.5,17,2
-38.5,20,0
-37.5,12,0
-36.5,20,0
-35.5,14,1
-34.5,16,3
-33.5,56,3
-32.5,43,2
-31.5,57,1
-30.5,77,4
-29.5,72,0
-28.5,91,3
-27.5,80,6
-26.5,121,2
-25.5,102,1
-24.5,132,3
-23.5,105,1
-22.5,145,3
-21.5,184,8
-20.5,245,3
-19.5,222,3
-18.5,195,2
-17.5,258,2
-16.5,301,4
-15.5,424,7
-14.5,510,10
-13.5,683,9
-12.5,1291,6
-11.5,1096,9
-10.5,1234,3
-9.5,2302,5
-8.5,1709,3
-7.5,2068,9
-6.5,2274,15
-5.5,3415,9
-4.5,2748,9
-3.5,2799,27
-2.5,2845,11
-1.5,3029,23
-0.5,3181,25
0.5,3201,62948
1.5,2617,367
2.5,5351,56
3.5,4452,49
4.5,2604,55
5.5,4222,61
6.5,1875,32
7.5,2113,30
8.5,1741,34
9.5,980,34
10.5,822,37
