Distance from 5'-end,ATMi3_1
0,31.16344074919833
1,30.945601739383928
2,31.493456053833448
3,31.819775774948983
4,32.11144142940434
5,33.90071117967156
6,35.063079997084834
7,34.836355796326885
8,33.537815202604214
9,33.427324239626856
10,35.10019070061219
11,32.14508733359246
12,35.85975913419493
13,36.01398369934895
14,36.10171812749004
15,36.04872886502769
16,35.88287399183753
17,36.10716584879992
18,36.01413249441259
19,35.97571907491983
20,35.84197964240599
21,35.914819381012535
22,35.76694138081819
23,35.9476150276941
24,36.16150945000486
25,36.53327543484598
26,36.5910868720241
27,37.20701644640948
28,37.13717690214751
29,36.943606670877465
30,37.01298768341269
31,36.777852006607716
32,36.62076996890487
33,36.561215503838305
34,36.52715358079875
35,36.1176240161306
36,36.52168763968516
37,36.6408846322029
38,36.432355942085316
39,36.14623518122632
40,36.600722111553786
41,37.18502210669517
42,36.69118647361773
43,36.39666941988145
44,35.6817243222233
45,35.95008381109707
46,36.59186425031581
47,36.6456794772131
48,36.332083252356426
49,36.25581515401807
50,36.59470957632883
51,36.07108456418229
52,36.24560902730541
53,36.118295112233994
54,36.41335572344767
55,36.17301221941502
56,35.80615343504033
57,35.76623991837528
58,36.213557355942086
59,35.88334467010009
60,36.074986638810614
61,36.13666371100962
62,35.90576413856768
63,36.19004166261782
64,36.62585936740842
65,36.64549727917598
66,36.63473241181615
67,36.280691259352835
68,36.349656253036635
69,36.40736444466038
70,36.55011660674376
71,36.40884328539501
72,36.611034520454766
73,36.53957645029637
74,36.890347147993396
75,36.374653823729474
