Base index shifted,ATMi1_1#TOP,ATMi1_1#BOT
-351.5,66584,135879
-350.5,610,1877
-349.5,146,476
-348.5,64,208
-347.5,123,228
-346.5,31,242
-345.5,25,120
-344.5,17,93
-343.5,23,56
-342.5,17,15
-341.5,7,17
-340.5,8,28
-339.5,56,23
-338.5,5,23
-337.5,8,34
-336.5,20,81
-335.5,3,18
-334.5,10,7
-333.5,8,9
-332.5,18,16
-331.5,9,10
-330.5,10,6
-329.5,13,55
-328.5,7,13
-327.5,8,16
-326.5,8,5
-325.5,3,50
-324.5,4,2
-323.5,3,14
-322.5,28,20
-321.5,5,11
-320.5,14,1
-319.5,3,0
-318.5,4,1
-317.5,4,1
-316.5,4,2
-315.5,19,3
-314.5,10,3
-313.5,5,1
-312.5,2,1
-311.5,1,1
-310.5,5,1
-309.5,2,0
-308.5,2,1
-307.5,16,1
-306.5,10,5
-305.5,2,3
-304.5,1,1
-303.5,2,3
-302.5,2,0
-301.5,3,2
-300.5,8,1
-299.5,9,10
-298.5,10,0
-297.5,4,1
-296.5,1,12
-295.5,3,3
-294.5,21,1
-293.5,5,2
-292.5,4,13
-291.5,6,2
-290.5,3,0
-289.5,4,6
-288.5,44,1
-287.5,8,2
-286.5,6,7
-285.5,1,4
-284.5,7,1
-283.5,3,5
-282.5,8,11
-281.5,10,7
-280.5,1,8
-279.5,3,0
-278.5,6,1
-277.5,4,6
-276.5,4,6
-275.5,9,3
-274.5,3,2
-273.5,9,2
-272.5,8,1
-271.5,3,6
-270.5,5,1
-269.5,11,3
-268.5,3,4
-267.5,5,2
-266.5,8,7
-265.5,12,5
-264.5,2,6
-263.5,4,2
-262.5,51,7
-261.5,11,1
-260.5,11,4
-259.5,2,2
-258.5,8,6
-257.5,13,3
-256.5,11,3
-255.5,15,5
-254.5,10,16
-253.5,6,7
-252.5,3,8
-251.5,13,4
-250.5,4,14
-249.5,8,5
-248.5,9,6
-247.5,9,4
-246.5,8,1
-245.5,9,8
-244.5,9,6
-243.5,15,5
-242.5,9,7
-241.5,9,7
-240.5,11,9
-239.5,5,3
-238.5,6,13
-237.5,7,10
-236.5,17,9
-235.5,3,7
-234.5,7,8
-233.5,7,9
-232.5,10,10
-231.5,13,10
-230.5,3,10
-229.5,6,15
-228.5,4,16
-227.5,7,6
-226.5,10,12
-225.5,10,13
-224.5,11,13
-223.5,11,11
-222.5,15,14
-221.5,12,13
-220.5,7,17
-219.5,13,12
-218.5,11,8
-217.5,15,12
-216.5,12,27
-215.5,14,14
-214.5,11,20
-213.5,4,15
-212.5,4,12
-211.5,14,26
-210.5,6,16
-209.5,15,15
-208.5,14,19
-207.5,9,14
-206.5,11,15
-205.5,11,18
-204.5,18,14
-203.5,12,11
-202.5,22,14
-201.5,24,13
