Distance from 5'-end,704_3
0,32.73760205406341
1,32.57166142572772
2,32.85738395407206
3,32.86466837838618
4,32.995903412860976
5,35.154299974035716
6,36.110059717854774
7,35.078138072296106
8,34.12382078873727
9,33.486700516400774
10,34.93197357412803
11,33.7381646135649
12,37.09453884545481
13,37.172720191558724
14,37.32474107838329
15,36.77513487003433
16,36.69973747223264
17,37.1647289617171
18,37.252646914577504
19,36.99763436517324
20,37.05745319216456
21,37.01458327323082
22,37.380088278567925
23,37.351008279721896
24,37.310071257536855
25,37.60090009520238
26,38.01166950350518
27,37.97306926694169
28,37.8989268095664
29,37.62119551106367
30,37.787035167181145
31,37.51634307474829
32,37.57474829068459
33,37.71659983267461
34,37.65481925972939
35,37.417433574705015
36,37.58188846897268
37,37.41035109482734
38,37.478911230995585
39,37.67763898104607
40,37.76597524738194
41,37.35843695006203
42,37.83763667310966
43,37.686625508467245
44,37.39223379395898
45,37.22273028878055
46,37.74178518881805
47,37.89969131350431
48,37.80976834088221
49,37.42942041946744
50,37.775250266855146
51,37.63533162161382
52,37.52150708247988
53,37.45813980324842
54,37.546894383059744
55,37.64736174018406
56,37.60782390445143
57,37.323010126071026
58,37.61232438046332
59,37.495398551769895
60,37.32716441162046
61,37.662680668147594
62,37.483930992701154
63,37.86909673138505
64,37.69598707555607
65,37.77125465193434
66,37.73842425641173
67,37.76974006866111
68,37.68140380232525
69,37.70435334506534
70,37.60492455932839
71,37.59544759541875
72,37.6915875717624
73,37.90070103568647
74,37.932867899489366
