Base index,ATMi0_3#TOP,ATMi0_3#BOT
1,76229,58747
2,684,716
3,191,172
4,90,51
5,161,68
6,45,46
7,35,47
8,22,29
9,36,15
10,16,6
11,5,7
12,8,6
13,68,6
14,17,1
15,7,8
16,7,19
17,6,5
18,4,3
19,6,1
20,15,1
21,13,3
22,6,1
23,4,5
24,2,1
25,4,0
26,4,4
27,6,15
28,4,1
29,1,1
30,43,4
31,7,3
32,5,2
33,7,0
34,3,0
35,4,1
36,3,2
37,21,3
38,16,2
39,5,1
40,7,1
41,5,1
42,5,0
43,3,1
44,2,0
45,11,2
46,2,2
47,6,0
48,3,1
49,1,2
50,4,1
51,2,0
52,10,1
53,15,2
54,4,0
55,2,0
56,4,2
57,2,0
58,32,3
59,4,0
60,5,4
61,4,0
63,2,0
64,43,1
65,3,0
66,2,0
67,1,0
68,4,1
69,3,2
70,4,1
71,9,0
72,3,1
73,4,0
74,4,0
75,6,1
76,5,2
77,3,2
78,0,1
79,6,0
80,2,0
81,5,3
82,6,0
83,6,2
84,6,0
85,4,1
86,15,1
87,8,1
88,2,1
89,2,0
90,35,1
91,14,0
92,8,1
93,5,1
94,12,3
95,11,2
96,6,2
97,3,1
98,8,2
99,1,0
100,3,0
101,13,1
102,7,5
103,2,0
104,3,0
105,5,0
106,4,0
107,7,1
108,9,1
109,9,2
110,2,2
111,4,1
112,7,0
113,6,3
114,3,0
115,7,0
116,12,1
117,3,1
118,9,2
119,6,2
120,8,3
121,5,2
122,2,3
123,3,2
124,0,2
125,8,2
126,9,2
127,7,0
128,5,2
129,1,1
130,9,2
131,9,2
132,4,0
133,8,1
134,7,1
135,3,0
136,7,1
137,9,0
138,4,1
139,5,1
140,7,2
141,9,1
142,5,2
143,13,4
144,3,1
145,6,1
146,5,1
147,7,0
148,9,0
149,4,1
150,14,0
151,18,3
152,10,0
153,8,1
154,9,0
155,13,2
156,4,0
157,9,1
158,2,3
159,18,4
160,11,3
161,14,1
162,16,2
163,11,2
164,13,2
165,6,3
166,4,1
167,7,2
168,12,3
169,10,0
170,10,3
171,7,2
172,11,0
173,4,1
174,6,1
175,8,2
176,8,2
177,3,0
178,11,3
179,7,0
180,1,2
181,7,0
182,11,1
183,7,0
184,3,5
185,7,1
186,7,0
187,7,0
188,7,0
189,5,1
190,6,0
191,5,2
192,1,0
193,1,0
194,1,0
195,1,0
196,4,2
197,2,0
198,3,1
199,6,1
200,4,3
201,0,2
202,3,0
203,8,1
204,1,1
205,1,1
206,3,1
207,0,4
208,2,0
209,4,0
210,0,1
211,2,1
212,2,0
213,3,0
214,1,0
215,1,0
216,1,3
218,1,4
219,2,0
220,3,1
221,2,3
222,1,0
223,3,2
224,2,0
225,2,0
227,1,1
228,4,0
229,3,2
230,3,1
231,2,1
232,2,0
233,4,1
234,1,1
235,0,1
236,1,2
237,2,0
239,1,0
240,3,1
241,1,0
242,2,0
243,5,1
244,3,1
245,2,0
246,1,0
247,1,0
248,1,0
249,0,1
250,1,1
251,2,1
252,0,2
254,0,1
255,1,0
259,1,2
260,1,0
261,2,0
265,2,0
267,1,0
268,1,1
272,2,0
273,0,1
274,2,0
279,0,2
282,1,1
288,0,1
291,1,0
292,1,0
293,1,1
295,1,0
296,0,2
302,1,0
303,2,0
304,0,1
306,0,1
308,1,0
309,1,1
310,1,1
312,5,1
313,3,1
314,5,1
315,0,1
316,5,2
317,3,1
319,10,1
320,2,0
321,6,1
322,5,4
323,15,0
324,13,2
325,13,1
326,18,1
327,28,1
328,41,2
329,23,7
330,82,2
331,48,1
332,48,3
333,118,1
334,85,5
335,240,4
336,204,0
337,330,4
338,289,3
339,289,3
340,336,6
341,489,7
342,708,4
343,347,8
344,1039,3
345,864,41
346,1396,10
347,1175,10
348,210,9
349,3221,4
350,2520,26
351,5247,18
352,5708,18
353,4657,66030
354,5036,95
355,1782,78
356,4860,40
357,1568,57
358,2082,18
359,2174,20
360,706,78
361,609,30
362,575,37
363,607,30
364,606,24
365,377,28
366,251,39
367,111,39
368,134,30
369,82,49
370,86,19
371,38,35
372,105,54
373,64,17
374,116,8
375,43,8
376,38,28
377,29,9
378,30,2
379,31,32
380,27,9
381,10,4
382,23,2
383,8,11
384,11,8
385,14,7
386,8,2
387,15,1
388,11,6
389,21,3
390,18,5
391,7,3
392,13,3
393,2,6
394,9,4
395,3,30
396,3,14
397,5,3
398,4,2
399,6,5
400,3,3
401,2,4
402,2,3
403,2,6
404,4,2
405,0,6
406,3,2
407,0,4
408,2,2
409,2,4
410,2,1
411,3,4
412,2,8
413,1,7
414,3,2
415,2,1
416,3,0
417,2,0
418,1,2
419,1,3
420,2,7
421,2,1
422,2,9
423,2,2
424,1,0
425,5,3
426,4,4
427,2,6
428,3,4
429,5,2
430,1,2
431,6,1
432,0,1
433,1,3
434,4,1
435,2,1
436,2,3
437,2,0
438,4,3
439,3,7
440,3,5
441,16,4
442,6,2
443,2,4
444,4,3
445,3,2
446,3,6
447,3,3
448,7,3
449,5,4
450,3,6
451,0,4
452,9,1
453,7,2
454,3,3
455,1,7
456,8,3
457,8,0
458,7,2
459,1,3
460,2,2
461,1,11
462,2,3
463,0,5
464,1,4
465,0,6
466,4,3
467,1,6
468,1,3
469,1,5
470,0,2
471,0,5
472,1,4
473,2,2
474,1,1
475,1,5
476,1,5
477,2,7
478,0,3
479,3,7
480,0,9
481,4,5
482,0,4
483,0,8
484,0,3
485,0,6
486,0,3
487,1,3
488,6,8
489,0,8
490,0,10
491,1,7
492,4,5
493,4,2
494,0,5
495,0,3
496,0,6
497,1,1
498,2,10
499,2,6
500,1,2
501,3,5
502,0,9
503,0,2
504,5,4
505,1,9
506,0,3
507,1,2
508,1,6
509,1,2
510,2,6
511,0,7
512,2,6
513,2,5
514,1,3
515,3,2
516,2,0
518,1,5
519,0,6
520,3,2
521,2,7
522,3,5
523,2,2
524,0,1
526,0,6
527,2,5
528,1,3
529,0,1
530,2,4
531,1,1
532,3,3
533,1,2
534,0,1
536,2,5
537,0,3
538,0,3
539,0,1
540,0,6
541,0,1
542,0,4
543,3,3
544,2,1
546,2,2
547,1,4
548,0,2
549,1,2
550,2,2
551,1,2
552,2,4
553,1,3
554,0,1
555,0,2
556,1,2
557,1,0
559,0,3
561,0,2
562,0,1
563,0,5
564,0,1
566,1,3
567,1,0
568,1,2
569,0,5
570,1,1
571,1,2
572,0,1
576,1,0
578,1,2
579,0,1
580,2,1
581,0,2
582,1,1
585,1,0
586,0,3
587,5,0
589,1,1
590,1,1
592,0,3
594,1,0
595,1,0
596,2,0
597,0,1
598,0,1
601,0,1
602,1,0
605,0,2
606,0,1
609,1,0
611,0,1
612,1,0
615,0,1
616,1,0
625,1,0
626,1,0
