Base index shifted,GC_2#TOP,GC_2#BOT
-351.5,81273,65897
-350.5,423,531
-349.5,144,169
-348.5,68,85
-347.5,109,85
-346.5,54,119
-345.5,65,61
-344.5,21,34
-343.5,24,15
-342.5,6,13
-341.5,9,12
-340.5,9,19
-339.5,35,10
-338.5,18,21
-337.5,6,24
-336.5,9,30
-335.5,5,8
-334.5,6,5
-333.5,4,4
-332.5,25,6
-331.5,7,3
-330.5,11,1
-329.5,6,8
-328.5,3,9
-327.5,3,0
-326.5,5,1
-325.5,5,33
-324.5,6,3
-323.5,2,10
-322.5,4,0
-321.5,11,1
-320.5,19,0
-319.5,6,2
-318.5,2,0
-317.5,1,14
-316.5,4,4
-315.5,10,5
-314.5,4,1
-313.5,2,0
-312.5,3,0
-311.5,2,3
-310.5,3,1
-309.5,4,2
-308.5,4,1
-307.5,7,3
-306.5,5,1
-305.5,3,5
-304.5,4,3
-303.5,2,1
-302.5,7,1
-301.5,1,0
-300.5,6,2
-299.5,4,3
-298.5,5,0
-297.5,7,2
-296.5,3,6
-295.5,1,1
-294.5,16,3
-293.5,5,2
-292.5,7,8
-291.5,6,2
-290.5,4,1
-289.5,2,2
-288.5,28,5
-287.5,2,3
-286.5,10,2
-285.5,8,4
-284.5,6,4
-283.5,6,1
-282.5,1,1
-281.5,9,1
-280.5,3,1
-278.5,4,2
-277.5,3,5
-276.5,6,2
-275.5,10,1
-274.5,10,1
-273.5,6,4
-272.5,13,3
-271.5,5,2
-270.5,3,2
-269.5,7,4
-268.5,17,2
-267.5,5,2
-266.5,28,4
-265.5,8,2
-264.5,8,1
-263.5,5,12
-262.5,24,1
-261.5,10,7
-260.5,7,0
-259.5,4,3
-258.5,6,0
-257.5,10,3
-256.5,11,2
-255.5,11,4
-254.5,9,10
-253.5,8,7
-252.5,6,2
-251.5,48,2
-250.5,10,6
-249.5,10,1
-248.5,11,5
-247.5,27,11
-246.5,9,2
-245.5,16,4
-244.5,7,6
-243.5,14,4
-242.5,9,4
-241.5,26,2
-240.5,8,8
-239.5,10,2
-238.5,19,7
-237.5,19,8
-236.5,24,5
-235.5,8,2
-234.5,11,3
-233.5,15,6
-232.5,23,8
-231.5,17,4
-230.5,7,7
-229.5,22,6
-228.5,7,9
-227.5,23,3
-226.5,24,10
-225.5,11,8
-224.5,28,4
-223.5,10,7
-222.5,23,8
-221.5,22,8
-220.5,24,8
-219.5,20,4
-218.5,19,7
-217.5,24,11
-216.5,25,13
-215.5,20,17
-214.5,23,5
-213.5,24,9
-212.5,44,14
-211.5,27,12
-210.5,12,10
-209.5,30,7
-208.5,41,12
-207.5,67,9
-206.5,24,6
-205.5,24,21
-204.5,44,8
-203.5,22,8
-202.5,51,19
-201.5,32,30
-200.5,36,17
-199.5,38,14
-198.5,51,9
-197.5,43,6
-196.5,42,17
-195.5,64,16
-194.5,22,18
-193.5,44,13
-192.5,74,23
-191.5,33,14
-190.5,48,11
-189.5,47,13
-188.5,53,12
-187.5,57,13
-186.5,44,13
-185.5,54,13
-184.5,80,11
-183.5,68,20
-182.5,58,18
-181.5,56,13
-180.5,66,12
-179.5,59,19
-178.5,84,16
-177.5,61,9
-176.5,72,21
-175.5,41,17
-174.5,39,12
-173.5,65,10
-172.5,72,7
-171.5,61,15
-170.5,51,14
-169.5,45,16
-168.5,33,12
-167.5,53,2
-166.5,48,21
-165.5,45,14
-164.5,46,21
-163.5,54,24
-162.5,43,6
-161.5,53,15
-160.5,41,8
-159.5,20,16
-158.5,24,12
-157.5,13,20
-156.5,48,13
-155.5,23,11
-154.5,57,19
-153.5,55,15
-152.5,40,20
-151.5,45,4
-150.5,38,17
-149.5,40,16
-148.5,20,20
-147.5,68,14
-146.5,31,5
-145.5,26,7
-144.5,24,21
-143.5,45,20
-142.5,38,19
-141.5,24,9
-140.5,31,13
-139.5,23,10
-138.5,14,15
-137.5,18,26
-136.5,38,33
-135.5,21,16
-134.5,21,12
-133.5,18,13
-132.5,29,13
-131.5,18,13
-130.5,17,4
-129.5,16,8
-128.5,17,14
-127.5,19,9
-126.5,27,9
-125.5,8,8
-124.5,17,13
-123.5,16,9
-122.5,18,9
-121.5,16,15
-120.5,11,9
-119.5,7,3
-118.5,15,3
-117.5,9,3
-116.5,13,5
-115.5,3,3
-114.5,10,3
-113.5,4,4
-112.5,16,5
-111.5,11,6
-110.5,11,7
-109.5,8,3
-108.5,8,7
-107.5,10,1
-106.5,7,5
-105.5,21,9
-104.5,14,7
-103.5,6,4
-102.5,4,6
-101.5,5,3
-100.5,8,9
-99.5,3,2
-98.5,7,3
-97.5,3,2
-96.5,13,0
-95.5,4,7
-94.5,7,3
-93.5,6,2
-92.5,11,6
-91.5,6,4
-90.5,3,7
-89.5,7,4
-88.5,2,3
-87.5,9,4
-86.5,6,1
-85.5,5,1
-84.5,4,3
-83.5,0,2
-82.5,4,3
-81.5,5,2
-80.5,14,2
-79.5,5,5
-77.5,2,0
-76.5,4,4
-75.5,4,3
-74.5,2,2
-73.5,1,0
-72.5,4,0
-71.5,3,1
-70.5,2,0
-69.5,1,3
-68.5,0,3
-67.5,3,1
-66.5,1,0
-65.5,4,1
-64.5,2,1
-63.5,1,4
-62.5,0,1
-61.5,0,2
-60.5,1,4
-59.5,0,5
-58.5,1,4
-57.5,3,2
-55.5,2,3
-54.5,3,4
-53.5,0,3
-52.5,1,1
-51.5,5,3
-50.5,2,2
-49.5,3,0
-48.5,1,4
-47.5,1,3
-46.5,1,2
-45.5,1,3
-44.5,3,3
-43.5,2,2
-42.5,6,7
-41.5,9,1
-40.5,7,1
-39.5,7,1
-38.5,3,3
-37.5,4,6
-36.5,9,3
-35.5,6,5
-34.5,6,0
-33.5,29,1
-32.5,12,3
-31.5,10,4
-30.5,22,1
-29.5,26,7
-28.5,46,5
-27.5,42,2
-26.5,57,7
-25.5,66,7
-24.5,57,11
-23.5,44,0
-22.5,59,7
-21.5,30,5
-20.5,164,8
-19.5,75,6
-18.5,73,6
-17.5,90,8
-16.5,36,13
-15.5,160,10
-14.5,126,11
-13.5,144,8
-12.5,267,8
-11.5,137,10
-10.5,396,15
-9.5,967,17
-8.5,188,8
-7.5,120,12
-6.5,953,21
-5.5,1687,14
-4.5,1694,11
-3.5,2632,20
-2.5,2626,20
-1.5,2268,23
-0.5,2692,31
0.5,3032,54514
1.5,2317,65
2.5,4896,58
3.5,4102,72
4.5,2168,30
5.5,3830,22
6.5,1685,9
7.5,1836,35
8.5,1377,49
9.5,862,52
10.5,833,37
11.5,1020,39
12.5,518,36
13.5,465,26
14.5,338,36
15.5,168,13
16.5,181,42
17.5,129,32
18.5,100,14
19.5,106,7
20.5,66,24
21.5,46,17
22.5,60,18
23.5,59,31
24.5,40,11
25.5,45,31
26.5,63,15
27.5,16,19
28.5,45,14
29.5,24,11
30.5,23,12
31.5,14,8
32.5,18,10
33.5,16,7
34.5,32,12
35.5,16,8
36.5,16,7
37.5,23,4
38.5,22,3
39.5,30,12
40.5,11,7
41.5,12,5
42.5,17,7
43.5,9,4
44.5,4,8
45.5,13,6
46.5,7,5
47.5,28,6
48.5,8,21
49.5,11,7
50.5,21,5
51.5,15,11
52.5,9,7
53.5,13,4
54.5,4,7
55.5,9,6
56.5,5,16
57.5,4,3
58.5,0,9
59.5,3,15
60.5,2,6
61.5,7,4
62.5,7,12
63.5,0,1
64.5,3,8
65.5,2,5
66.5,1,13
67.5,2,6
68.5,8,5
69.5,2,7
70.5,0,6
71.5,3,5
72.5,4,8
73.5,9,6
74.5,2,15
75.5,4,8
76.5,2,4
77.5,1,8
78.5,12,8
79.5,0,5
80.5,1,2
81.5,4,4
82.5,3,11
83.5,1,5
84.5,5,4
85.5,5,5
86.5,3,7
87.5,7,0
88.5,24,6
89.5,5,7
90.5,6,7
91.5,2,6
92.5,2,7
93.5,2,16
94.5,2,7
95.5,6,8
96.5,4,6
97.5,8,10
