Base index shifted,ATMi0_3#TOP,ATMi0_3#BOT
-351.5,76229,58747
-350.5,684,716
-349.5,191,172
-348.5,90,51
-347.5,161,68
-346.5,45,46
-345.5,35,47
-344.5,22,29
-343.5,36,15
-342.5,16,6
-341.5,5,7
-340.5,8,6
-339.5,68,6
-338.5,17,1
-337.5,7,8
-336.5,7,19
-335.5,6,5
-334.5,4,3
-333.5,6,1
-332.5,15,1
-331.5,13,3
-330.5,6,1
-329.5,4,5
-328.5,2,1
-327.5,4,0
-326.5,4,4
-325.5,6,15
-324.5,4,1
-323.5,1,1
-322.5,43,4
-321.5,7,3
-320.5,5,2
-319.5,7,0
-318.5,3,0
-317.5,4,1
-316.5,3,2
-315.5,21,3
-314.5,16,2
-313.5,5,1
-312.5,7,1
-311.5,5,1
-310.5,5,0
-309.5,3,1
-308.5,2,0
-307.5,11,2
-306.5,2,2
-305.5,6,0
-304.5,3,1
-303.5,1,2
-302.5,4,1
-301.5,2,0
-300.5,10,1
-299.5,15,2
-298.5,4,0
-297.5,2,0
-296.5,4,2
-295.5,2,0
-294.5,32,3
-293.5,4,0
-292.5,5,4
-291.5,4,0
-289.5,2,0
-288.5,43,1
-287.5,3,0
-286.5,2,0
-285.5,1,0
-284.5,4,1
-283.5,3,2
-282.5,4,1
-281.5,9,0
-280.5,3,1
-279.5,4,0
-278.5,4,0
-277.5,6,1
-276.5,5,2
-275.5,3,2
-274.5,0,1
-273.5,6,0
-272.5,2,0
-271.5,5,3
-270.5,6,0
-269.5,6,2
-268.5,6,0
-267.5,4,1
-266.5,15,1
-265.5,8,1
-264.5,2,1
-263.5,2,0
-262.5,35,1
-261.5,14,0
-260.5,8,1
-259.5,5,1
-258.5,12,3
-257.5,11,2
-256.5,6,2
-255.5,3,1
-254.5,8,2
-253.5,1,0
-252.5,3,0
-251.5,13,1
-250.5,7,5
-249.5,2,0
-248.5,3,0
-247.5,5,0
-246.5,4,0
-245.5,7,1
-244.5,9,1
-243.5,9,2
-242.5,2,2
-241.5,4,1
-240.5,7,0
-239.5,6,3
-238.5,3,0
-237.5,7,0
-236.5,12,1
-235.5,3,1
-234.5,9,2
-233.5,6,2
-232.5,8,3
-231.5,5,2
-230.5,2,3
-229.5,3,2
-228.5,0,2
-227.5,8,2
-226.5,9,2
-225.5,7,0
-224.5,5,2
-223.5,1,1
-222.5,9,2
-221.5,9,2
-220.5,4,0
-219.5,8,1
-218.5,7,1
-217.5,3,0
-216.5,7,1
-215.5,9,0
-214.5,4,1
-213.5,5,1
-212.5,7,2
-211.5,9,1
-210.5,5,2
-209.5,13,4
-208.5,3,1
-207.5,6,1
-206.5,5,1
-205.5,7,0
-204.5,9,0
-203.5,4,1
-202.5,14,0
-201.5,18,3
-200.5,10,0
-199.5,8,1
-198.5,9,0
-197.5,13,2
-196.5,4,0
-195.5,9,1
-194.5,2,3
-193.5,18,4
-192.5,11,3
-191.5,14,1
-190.5,16,2
-189.5,11,2
-188.5,13,2
-187.5,6,3
-186.5,4,1
-185.5,7,2
-184.5,12,3
-183.5,10,0
-182.5,10,3
-181.5,7,2
-180.5,11,0
-179.5,4,1
-178.5,6,1
-177.5,8,2
-176.5,8,2
-175.5,3,0
-174.5,11,3
-173.5,7,0
-172.5,1,2
-171.5,7,0
-170.5,11,1
-169.5,7,0
-168.5,3,5
-167.5,7,1
-166.5,7,0
-165.5,7,0
-164.5,7,0
-163.5,5,1
-162.5,6,0
-161.5,5,2
-160.5,1,0
-159.5,1,0
-158.5,1,0
-157.5,1,0
-156.5,4,2
-155.5,2,0
-154.5,3,1
-153.5,6,1
-152.5,4,3
-151.5,0,2
-150.5,3,0
-149.5,8,1
-148.5,1,1
-147.5,1,1
-146.5,3,1
-145.5,0,4
-144.5,2,0
-143.5,4,0
-142.5,0,1
-141.5,2,1
-140.5,2,0
-139.5,3,0
-138.5,1,0
-137.5,1,0
-136.5,1,3
-134.5,1,4
-133.5,2,0
-132.5,3,1
-131.5,2,3
-130.5,1,0
-129.5,3,2
-128.5,2,0
-127.5,2,0
-125.5,1,1
-124.5,4,0
-123.5,3,2
-122.5,3,1
-121.5,2,1
-120.5,2,0
-119.5,4,1
-118.5,1,1
-117.5,0,1
-116.5,1,2
-115.5,2,0
-113.5,1,0
-112.5,3,1
-111.5,1,0
-110.5,2,0
-109.5,5,1
-108.5,3,1
-107.5,2,0
-106.5,1,0
-105.5,1,0
-104.5,1,0
-103.5,0,1
-102.5,1,1
-101.5,2,1
-100.5,0,2
-98.5,0,1
-97.5,1,0
-93.5,1,2
-92.5,1,0
-91.5,2,0
-87.5,2,0
-85.5,1,0
-84.5,1,1
-80.5,2,0
-79.5,0,1
-78.5,2,0
-73.5,0,2
-70.5,1,1
-64.5,0,1
-61.5,1,0
-60.5,1,0
-59.5,1,1
-57.5,1,0
-56.5,0,2
-50.5,1,0
-49.5,2,0
-48.5,0,1
-46.5,0,1
-44.5,1,0
-43.5,1,1
-42.5,1,1
-40.5,5,1
-39.5,3,1
-38.5,5,1
-37.5,0,1
-36.5,5,2
-35.5,3,1
-33.5,10,1
-32.5,2,0
-31.5,6,1
-30.5,5,4
-29.5,15,0
-28.5,13,2
-27.5,13,1
-26.5,18,1
-25.5,28,1
-24.5,41,2
-23.5,23,7
-22.5,82,2
-21.5,48,1
