Base index shifted,GC_1#TOP,GC_1#BOT
-351.5,68775,40688
-350.5,361,319
-349.5,93,118
-348.5,46,55
-347.5,80,66
-346.5,47,83
-345.5,57,30
-344.5,21,24
-343.5,20,3
-342.5,15,7
-341.5,15,8
-340.5,4,7
-339.5,36,5
-338.5,14,12
-337.5,11,19
-336.5,5,17
-335.5,0,3
-334.5,4,3
-333.5,2,10
-332.5,29,5
-331.5,5,3
-330.5,5,5
-329.5,6,2
-328.5,0,6
-327.5,3,5
-326.5,10,3
-325.5,5,25
-324.5,6,2
-323.5,6,3
-322.5,2,0
-321.5,14,2
-320.5,20,0
-319.5,3,0
-318.5,3,1
-317.5,0,4
-316.5,3,1
-315.5,13,0
-314.5,3,1
-313.5,4,0
-312.5,1,2
-311.5,5,4
-310.5,11,1
-309.5,5,1
-308.5,3,2
-307.5,4,1
-306.5,3,1
-305.5,2,0
-304.5,6,1
-303.5,0,2
-302.5,3,0
-301.5,0,1
-300.5,3,0
-299.5,2,7
-297.5,1,1
-296.5,8,2
-294.5,13,0
-292.5,2,3
-291.5,5,1
-290.5,2,0
-289.5,2,2
-288.5,21,1
-287.5,1,0
-286.5,3,0
-285.5,3,3
-284.5,9,0
-282.5,4,1
-281.5,6,1
-279.5,2,0
-278.5,2,2
-277.5,3,5
-276.5,1,2
-275.5,2,1
-274.5,3,4
-273.5,6,2
-272.5,3,4
-271.5,4,2
-270.5,2,0
-269.5,3,1
-268.5,14,1
-267.5,3,1
-266.5,20,1
-265.5,7,1
-264.5,2,0
-263.5,2,3
-262.5,14,0
-261.5,4,7
-260.5,6,1
-259.5,3,1
-258.5,3,3
-257.5,5,1
-256.5,4,3
-255.5,3,2
-254.5,5,4
-253.5,4,3
-252.5,0,2
-251.5,18,1
-250.5,3,10
-249.5,3,3
-248.5,6,1
-247.5,7,2
-246.5,3,1
-245.5,10,1
-244.5,2,4
-243.5,4,4
-242.5,7,5
-241.5,14,2
-240.5,6,1
-239.5,8,4
-238.5,10,3
-237.5,4,4
-236.5,10,1
-235.5,4,5
-234.5,4,2
-233.5,7,1
-232.5,11,5
-231.5,8,1
-230.5,7,5
-229.5,12,1
-228.5,5,2
-227.5,12,4
-226.5,5,2
-225.5,8,3
-224.5,17,3
-223.5,10,3
-222.5,11,3
-221.5,12,2
-220.5,4,5
-219.5,2,2
-218.5,4,5
-217.5,8,6
-216.5,13,3
-215.5,8,6
-214.5,14,4
-213.5,9,4
-212.5,12,6
-211.5,16,6
-210.5,7,2
-209.5,18,8
-208.5,10,2
-207.5,15,3
-206.5,12,5
-205.5,12,4
-204.5,16,5
-203.5,11,6
-202.5,26,13
-201.5,11,14
-200.5,12,8
-199.5,14,5
-198.5,11,8
-197.5,20,6
-196.5,16,12
-195.5,22,4
-194.5,7,11
-193.5,14,8
-192.5,32,12
-191.5,17,7
-190.5,18,10
-189.5,11,7
-188.5,12,7
-187.5,16,6
-186.5,12,7
-185.5,14,5
-184.5,30,7
-183.5,41,10
-182.5,31,4
-181.5,27,12
-180.5,23,10
-179.5,27,8
-178.5,38,9
-177.5,27,10
-176.5,34,12
-175.5,14,6
-174.5,29,3
-173.5,27,3
-172.5,20,5
-171.5,31,7
-170.5,25,3
