Distance from 5'-end,ATMi1_3
0,31.47435785022919
1,32.0573757714809
2,32.075508921656024
3,32.3638759395383
4,32.27159537622938
5,33.74558788427908
6,34.352165504878535
7,34.04723630819292
8,33.42282024677647
9,34.02187181847852
10,34.91227403586199
11,33.58392640547137
12,36.69808122287334
13,36.434557473196065
14,36.59823807644907
15,36.58010736188848
16,36.57388436676458
17,36.730170444304804
18,36.736383696970584
19,36.680386483313605
20,36.55742204815697
21,36.7261297597997
22,36.97856902775139
23,36.80307812964289
24,36.901949465869734
25,37.191860663363975
26,36.99703098588805
27,37.40828449926201
28,37.33064928612138
29,37.472073243800146
30,37.16771398091453
31,37.33431975721794
32,37.123415023844665
33,37.016087233970005
34,36.58716577279613
35,36.9977275716436
36,37.09094828216107
37,37.15192876314623
38,36.852745181136655
39,36.82109437032057
40,37.13707638574289
41,37.45223516345409
42,37.36425102417591
43,37.10087828259948
44,36.41087842873635
45,36.43810859918066
46,36.94604383131908
47,36.9723387257839
48,37.09981148343539
49,36.834073760150424
50,37.22425190099714
51,37.01883460715973
52,37.06714015013128
53,36.89484477828601
54,36.875291664839956
55,36.92877532430207
56,37.046885579700614
57,36.95760812910706
58,37.051152776357
59,36.588081563859376
60,36.38737231290827
61,36.81484214782232
62,36.70111843419213
63,37.281539990354965
64,37.323590875213725
65,37.1002036173747
66,37.35435999356998
67,37.04187308499807
68,37.16055083858208
69,37.240560775889364
70,37.35298630697511
71,37.083200592341456
72,37.23871945130476
73,37.31192671723002
74,37.55055848641171
75,37.09870815005334
