Distance from 5'-end,704_2
0,32.61650613805799
1,32.717349294657296
2,32.883671850367676
3,32.841442825032296
4,32.99133959174541
5,35.286846146804855
6,36.047395775063315
7,35.15405152510654
8,34.153176839128975
9,33.78574261856572
10,35.038893013700026
11,34.110408763133
12,37.21938344809349
13,37.21226391106681
14,37.36910222638094
15,36.83546241392988
16,36.79653380254473
17,37.18967972254147
18,37.313249458406645
19,37.066740574241514
20,37.17297423744673
21,37.142583985109994
22,37.533171957160725
23,37.46650257828948
24,37.39852625583548
25,37.70381708892302
26,37.97254401399498
27,38.00601600878754
28,37.85556493526307
29,37.719017300474974
30,37.85352061105969
31,37.59727321731878
32,37.76008685835173
33,37.716510206364866
34,37.70164563012988
35,37.60068042432441
36,37.72329919345816
37,37.5508792628228
38,37.61571281821788
39,37.77208327824168
40,37.78337791519614
41,37.40724768869316
42,37.876633679478445
43,37.68000223756878
44,37.40356587097365
45,37.274661567722056
46,37.80405508487505
47,37.90601702586426
48,37.89118804731441
49,37.51297281353933
50,37.816193895505535
51,37.68353149378058
52,37.567279624902106
53,37.570930930320074
54,37.580938965226146
55,37.70156426399243
56,37.70181344778837
57,37.48024837013456
58,37.67034000874686
59,37.52361143601062
60,37.257742496516514
61,37.69582286591878
62,37.51825144170625
63,37.956240274203886
64,37.70913131477507
65,37.77075090774097
66,37.87027694999034
67,37.902833575736615
68,37.82736139787024
69,37.83272139217461
70,37.76080389743798
71,37.735707529418946
72,37.81559382024186
73,38.01052165864871
74,38.038486183012786
