Base index,GC_3#TOP,GC_3#BOT
1,85770,52979
2,440,383
3,127,138
4,82,63
5,114,65
6,74,82
7,65,52
8,17,19
9,25,10
10,14,9
11,6,8
12,12,13
13,30,9
14,11,23
15,7,38
16,7,18
17,2,6
18,10,1
19,6,10
20,19,4
21,12,3
22,5,5
23,5,10
24,2,2
25,3,9
26,6,2
27,5,24
28,3,2
29,2,3
30,4,1
31,18,1
32,17,0
33,3,0
34,1,0
35,5,3
36,7,3
37,19,0
38,5,3
39,4,0
40,1,4
41,2,2
42,10,1
43,5,0
44,7,1
45,17,4
46,1,3
47,4,0
48,5,4
49,2,1
50,12,2
51,3,1
52,7,2
53,6,3
54,2,1
55,1,0
56,6,10
57,2,4
58,16,1
59,3,0
60,2,7
61,7,2
62,2,2
63,3,4
64,32,1
65,5,0
66,7,1
67,3,6
68,4,0
69,2,1
70,9,0
71,9,2
72,5,2
73,2,0
74,6,2
75,3,5
76,3,4
77,8,0
78,2,3
79,3,2
80,6,2
81,3,0
82,2,3
83,8,2
84,22,1
85,9,0
86,17,2
87,7,1
88,9,1
89,8,3
90,18,1
91,11,6
92,11,4
93,9,3
94,10,1
95,11,4
96,10,2
97,8,5
98,8,8
99,4,5
100,10,4
101,35,3
102,10,12
103,13,7
104,9,2
105,53,5
106,13,1
107,15,2
108,17,2
109,17,3
110,18,7
111,29,1
112,10,4
113,12,3
114,20,1
115,18,2
116,17,2
117,13,3
118,15,4
119,23,5
120,23,4
121,18,11
122,6,6
123,28,6
124,12,8
125,32,6
126,27,12
127,16,4
128,18,8
129,13,5
130,21,10
131,22,7
132,11,5
133,21,4
134,20,2
135,28,13
136,22,5
137,19,14
138,27,7
139,13,10
140,26,9
141,37,9
142,25,8
143,35,8
144,41,6
145,42,10
146,26,6
147,31,17
148,46,9
149,30,3
150,57,7
151,31,22
152,29,7
153,36,8
154,47,16
155,42,10
156,35,19
157,70,14
158,25,13
159,52,13
160,66,18
161,61,10
162,46,8
163,52,7
164,46,9
165,54,18
166,49,3
167,69,12
168,73,9
169,88,16
170,54,9
171,59,20
172,81,17
173,45,16
174,74,8
175,58,12
176,66,18
177,31,12
178,36,10
179,68,10
180,62,7
181,71,8
182,41,12
183,57,13
184,39,7
185,44,3
186,39,9
187,33,9
188,33,20
189,37,16
190,32,10
191,37,6
192,60,10
193,31,16
194,42,15
195,17,15
196,53,14
197,27,18
198,60,11
199,57,26
200,36,15
201,39,9
202,39,14
203,33,11
204,28,15
205,78,23
206,35,14
207,28,11
208,27,14
209,46,10
210,28,17
211,27,9
212,43,12
213,27,14
214,41,11
215,16,25
216,27,28
217,30,17
218,16,12
219,22,15
220,20,13
221,16,17
222,16,7
223,16,12
224,20,13
225,16,18
226,16,7
227,8,8
228,22,15
229,26,10
230,10,6
231,10,4
232,19,3
233,13,4
234,12,3
235,9,4
236,19,4
237,7,8
238,7,6
239,22,3
240,25,3
241,11,18
242,13,8
243,6,4
244,8,3
245,10,5
246,13,10
247,14,4
248,13,3
249,8,4
250,9,5
251,5,2
252,5,10
253,3,2
254,7,4
255,0,10
256,12,1
257,7,8
258,7,3
259,5,7
260,12,5
261,9,4
262,8,0
263,7,4
264,4,2
265,6,1
266,5,3
267,3,7
268,0,4
269,1,0
