Distance from 5'-end,400_3
0,33.04190146662017
1,33.04536151544632
2,33.31815470181171
3,33.23736210282861
4,33.43027588612126
5,35.533847904697225
6,36.291130527359165
7,35.38109638576332
8,34.41619706675967
9,34.05209346720755
10,35.31974246957543
11,34.356724609482555
12,37.4495585454946
13,37.495099028983645
14,37.562826960847296
15,37.0789983296316
16,36.99980726518475
17,37.34979992290607
18,37.516510949173075
19,37.2919794783311
20,37.36786192844949
21,37.35515978633969
22,37.727532627250866
23,37.52593201049946
24,37.552038400117475
25,37.62118889847464
26,37.88636905963766
27,37.9412801262872
28,37.8475834725307
29,37.726128416454046
30,37.66150718625526
31,37.65896033333945
32,37.7145551496907
33,37.640453202151285
34,37.976926889260085
35,38.26141724334147
36,38.179881238642416
37,37.74806347399915
38,37.84288441417794
39,38.16462306576846
40,38.14858018686099
41,37.61867416802805
42,37.65158134326988
43,38.04074046880449
44,37.617912406615396
45,37.62565851061877
46,37.74856825565814
47,37.82475357477193
48,37.758214174268986
49,37.65192551258283
50,37.99659042933975
51,37.88454266781696
52,37.835340222838155
53,37.773963362029406
54,37.825556636502135
55,37.87697094293214
56,37.94538721342168
57,37.98281447897355
58,37.63627728115421
59,37.82217459938692
60,37.557155050569946
61,37.461710016703684
62,37.99303401310597
63,38.111799959617464
64,37.87888911323629
65,37.82855779291103
66,37.91329686668257
67,38.04039629949155
68,37.87169368013363
69,38.035990932285834
70,38.27139356449274
71,38.00170707979221
72,37.96488096330696
73,38.34225573156629
74,38.12394684190239
