Base index shifted,400_1#TOP,400_1#BOT
-199.5,46128,49028
-198.5,475,456
-197.5,60,143
-196.5,27,45
-195.5,65,77
-194.5,29,51
-193.5,22,21
-192.5,8,13
-191.5,16,19
-190.5,2,2
-189.5,2,11
-188.5,3,3
-187.5,11,11
-186.5,5,9
-185.5,3,6
-184.5,2,7
-183.5,1,3
-182.5,2,5
-181.5,2,1
-180.5,2,0
-179.5,0,2
-178.5,3,3
-177.5,1,3
-176.5,5,5
-175.5,0,3
-174.5,6,2
-173.5,2,0
-171.5,1,2
-170.5,3,0
-168.5,1,1
-167.5,4,2
-166.5,4,1
-165.5,5,0
-164.5,2,1
-163.5,1,3
-162.5,1,2
-161.5,2,3
-160.5,1,1
-159.5,0,2
-158.5,1,10
-157.5,0,4
-156.5,10,9
-155.5,0,1
-154.5,3,6
-153.5,0,5
-152.5,3,2
-151.5,2,1
-150.5,2,7
-149.5,0,4
-148.5,2,5
-147.5,0,8
-146.5,1,3
-145.5,0,1
-144.5,1,2
-142.5,5,2
-141.5,3,8
-140.5,2,0
-139.5,4,4
-138.5,1,4
-137.5,4,3
-136.5,0,7
-135.5,1,12
-134.5,0,6
-133.5,4,3
-132.5,1,2
-131.5,0,4
-130.5,2,1
-129.5,0,6
-128.5,0,2
-127.5,1,1
-126.5,5,0
-125.5,1,5
-124.5,0,2
-123.5,5,6
-122.5,2,5
-121.5,0,1
-120.5,2,0
-119.5,3,2
-118.5,3,3
-117.5,4,3
-116.5,5,5
-115.5,2,7
-114.5,1,4
-113.5,1,3
-112.5,4,2
-111.5,1,7
-110.5,4,0
-109.5,1,3
-108.5,0,6
-107.5,5,1
-106.5,3,2
-105.5,3,2
-104.5,2,0
-103.5,4,2
-102.5,3,2
-101.5,6,3
-100.5,1,0
-99.5,4,1
-98.5,2,4
-97.5,4,2
-95.5,0,1
-94.5,1,5
-93.5,3,0
-92.5,3,0
-91.5,5,2
-90.5,0,3
-89.5,1,2
-88.5,1,1
-87.5,3,3
-86.5,0,1
-85.5,2,1
-84.5,3,3
-83.5,1,0
-82.5,6,2
-81.5,3,1
-80.5,2,0
-79.5,0,3
-78.5,3,0
-77.5,2,1
-76.5,3,0
-75.5,2,0
-74.5,8,1
-73.5,6,1
-72.5,1,0
-71.5,2,0
-70.5,3,1
-69.5,2,0
-68.5,3,0
-67.5,3,0
-66.5,3,0
-65.5,2,1
-64.5,1,1
-63.5,0,1
-61.5,0,2
-60.5,5,0
-59.5,5,0
-58.5,4,1
-57.5,5,1
-56.5,3,0
-55.5,3,2
-54.5,4,0
-53.5,4,1
-52.5,7,2
-51.5,12,0
-50.5,17,1
-49.5,11,0
-48.5,7,0
-47.5,7,1
-46.5,9,1
-45.5,3,1
-44.5,12,0
-43.5,6,2
-42.5,10,1
-41.5,11,0
-40.5,8,6
-39.5,15,0
-38.5,17,0
-37.5,7,0
-36.5,11,1
-35.5,14,2
-34.5,8,3
-33.5,36,0
-32.5,16,2
-31.5,17,1
-30.5,20,2
-29.5,25,3
-28.5,24,1
-27.5,14,4
-26.5,12,0
-25.5,50,5
-24.5,22,0
-23.5,19,1
-22.5,9,2
-21.5,5,0
-20.5,55,2
-19.5,60,4
-18.5,95,0
-17.5,155,2
-16.5,173,3
-15.5,375,1
-14.5,187,2
-13.5,424,3
-12.5,275,2
-11.5,402,7
-10.5,621,1
-9.5,849,3
-8.5,926,4
-7.5,1693,3
-6.5,1186,10
-5.5,644,4
-4.5,1627,6
-3.5,1515,3
-2.5,1931,2
-1.5,1309,12
-0.5,1871,6
0.5,3002,45792
1.5,1599,171
2.5,2634,8
3.5,2264,42
4.5,1332,14
5.5,1998,11
6.5,832,6
7.5,1753,7
8.5,1102,17
9.5,551,10
10.5,213,11
11.5,271,18
12.5,328,9
13.5,204,4
14.5,132,16
15.5,52,10
16.5,78,2
17.5,86,6
18.5,66,2
19.5,28,5
20.5,20,6
21.5,50,12
22.5,21,9
23.5,32,1
24.5,33,3
25.5,26,1
26.5,14,0
27.5,8,2
28.5,16,4
29.5,20,11
30.5,17,6
31.5,8,3
32.5,16,4
33.5,16,2
34.5,16,5
35.5,11,6
36.5,37,4
37.5,14,12
38.5,20,8
39.5,8,5
40.5,5,4
41.5,9,3
42.5,4,2
43.5,6,1
44.5,7,0
45.5,4,2
46.5,5,1
47.5,3,4
48.5,6,5
49.5,3,2
50.5,6,0
51.5,5,2
52.5,3,2
53.5,5,4
54.5,2,5
55.5,3,4
56.5,0,2
57.5,2,6
58.5,3,0
59.5,0,1
60.5,0,4
61.5,3,1
62.5,8,2
63.5,0,4
64.5,2,4
65.5,1,0
66.5,4,3
67.5,7,3
68.5,5,2
69.5,1,2
70.5,0,6
71.5,2,0
72.5,2,3
73.5,2,11
74.5,1,6
75.5,1,5
76.5,0,2
77.5,1,0
78.5,2,2
79.5,1,3
80.5,1,0
81.5,0,1
83.5,0,4
84.5,0,2
85.5,0,6
86.5,0,1
87.5,0,2
89.5,1,0
92.5,0,1
93.5,2,3
94.5,1,3
95.5,3,3
96.5,1,1
97.5,0,1
99.5,1,0
100.5,1,2
101.5,0,1
102.5,1,0
103.5,2,0
104.5,1,0
105.5,1,0
106.5,0,1
107.5,1,0
108.5,0,1
109.5,0,1
110.5,1,1
112.5,1,0
114.5,0,1
115.5,0,2
116.5,0,2
118.5,1,0
121.5,1,0
