Base index,GC_1#TOP,GC_1#BOT
1,68775,40688
2,361,319
3,93,118
4,46,55
5,80,66
6,47,83
7,57,30
8,21,24
9,20,3
10,15,7
11,15,8
12,4,7
13,36,5
14,14,12
15,11,19
16,5,17
17,0,3
18,4,3
19,2,10
20,29,5
21,5,3
22,5,5
23,6,2
24,0,6
25,3,5
26,10,3
27,5,25
28,6,2
29,6,3
30,2,0
31,14,2
32,20,0
33,3,0
34,3,1
35,0,4
36,3,1
37,13,0
38,3,1
39,4,0
40,1,2
41,5,4
42,11,1
43,5,1
44,3,2
45,4,1
46,3,1
47,2,0
48,6,1
49,0,2
50,3,0
51,0,1
52,3,0
53,2,7
55,1,1
56,8,2
58,13,0
60,2,3
61,5,1
62,2,0
63,2,2
64,21,1
65,1,0
66,3,0
67,3,3
68,9,0
70,4,1
71,6,1
73,2,0
74,2,2
75,3,5
76,1,2
77,2,1
78,3,4
79,6,2
80,3,4
81,4,2
82,2,0
83,3,1
84,14,1
85,3,1
86,20,1
87,7,1
88,2,0
89,2,3
90,14,0
91,4,7
92,6,1
93,3,1
94,3,3
95,5,1
96,4,3
97,3,2
98,5,4
99,4,3
100,0,2
101,18,1
102,3,10
103,3,3
104,6,1
105,7,2
106,3,1
107,10,1
108,2,4
109,4,4
110,7,5
111,14,2
112,6,1
113,8,4
114,10,3
115,4,4
116,10,1
117,4,5
118,4,2
119,7,1
120,11,5
121,8,1
122,7,5
123,12,1
124,5,2
125,12,4
126,5,2
127,8,3
128,17,3
129,10,3
130,11,3
131,12,2
132,4,5
133,2,2
134,4,5
135,8,6
136,13,3
137,8,6
138,14,4
139,9,4
140,12,6
141,16,6
142,7,2
143,18,8
144,10,2
145,15,3
146,12,5
147,12,4
148,16,5
149,11,6
150,26,13
151,11,14
152,12,8
153,14,5
154,11,8
155,20,6
156,16,12
157,22,4
158,7,11
159,14,8
160,32,12
161,17,7
162,18,10
163,11,7
164,12,7
165,16,6
166,12,7
167,14,5
168,30,7
169,41,10
170,31,4
171,27,12
172,23,10
173,27,8
174,38,9
175,27,10
176,34,12
177,14,6
178,29,3
179,27,3
180,20,5
181,31,7
182,25,3
183,13,5
184,12,6
185,26,5
186,24,4
187,21,13
188,8,9
189,25,11
190,12,2
191,17,5
192,25,8
193,5,6
194,15,7
195,6,10
196,25,6
197,7,15
198,25,10
199,23,16
200,12,4
201,11,3
202,9,8
203,16,11
204,9,9
205,20,8
206,13,5
207,8,7
208,11,7
209,21,6
210,9,6
211,9,4
212,19,3
213,11,8
214,10,11
215,7,19
216,17,19
217,9,12
218,13,10
219,17,12
220,6,12
221,9,6
222,8,10
223,10,5
224,9,7
225,9,6
226,13,4
227,4,3
228,4,15
229,8,13
230,7,7
231,2,5
232,6,5
233,7,5
234,4,7
235,7,3
236,10,2
237,7,5
238,2,1
239,6,3
240,6,1
241,7,4
242,7,5
243,6,2
244,5,1
245,1,2
246,8,4
247,5,0
248,7,4
249,6,1
250,8,1
251,5,8
252,5,5
253,4,5
254,8,3
255,1,2
256,6,3
257,4,6
258,5,3
259,3,3
260,11,6
261,3,3
262,3,1
263,3,4
264,2,5
265,6,4
266,1,2
267,8,4
268,2,1
269,3,1
270,4,3
271,2,2
272,2,5
273,1,6
274,1,2
275,2,2
276,5,0
277,2,5
278,3,4
279,3,2
280,2,2
281,2,2
282,0,5
283,1,4
284,2,4
285,3,6
286,2,2
287,3,2
288,3,0
289,3,5
290,2,1
291,4,1
292,5,7
293,2,9
294,3,7
295,3,1
296,6,2
297,4,8
298,2,5
299,5,3
300,6,4
301,8,7
302,0,10
303,4,7
304,4,10
305,5,2
306,6,2
307,3,9
308,5,5
309,7,10
310,16,8
311,4,5
312,11,4
313,6,5
314,7,4
315,8,5
316,7,4
317,10,10
318,4,8
319,16,6
320,10,5
321,11,6
322,28,5
323,25,4
324,33,9
325,38,6
326,30,6
327,50,14
328,35,10
329,38,8
330,32,12
331,21,10
332,106,7
333,53,11
334,54,4
335,63,15
336,30,15
337,155,13
338,97,11
339,118,11
340,220,9
341,104,10
342,308,14
343,663,23
344,144,12
345,67,13
346,647,25
347,1256,17
348,980,11
349,1578,11
350,1529,15
351,1188,26
352,1425,26
353,1665,44767
354,1280,78
355,2961,48
356,2473,49
357,1240,47
358,2189,25
359,897,14
360,1088,39
361,780,50
362,550,46
363,551,45
364,591,29
365,321,33
366,287,25
367,198,32
368,125,17
369,110,34
370,79,19
371,54,12
372,46,5
373,39,18
374,39,13
375,35,10
376,41,23
377,29,13
378,20,17
379,55,5
380,12,9
381,35,9
382,13,8
383,33,5
384,11,9
385,19,5
386,11,3
387,18,5
388,20,4
389,9,3
390,5,1
391,23,9
392,22,2
393,7,8
394,6,2
395,11,5
396,7,5
397,3,4
398,8,1
399,5,1
400,25,7
401,6,12
402,6,3
403,10,2
404,9,7
405,4,2
406,3,1
407,4,1
408,7,1
409,0,8
410,2,1
411,5,3
412,6,14
413,2,2
414,2,3
415,7,7
416,0,1
417,2,6
418,1,2
419,5,4
420,2,5
421,2,8
422,2,4
423,0,5
424,4,2
425,4,0
426,2,4
427,3,15
428,3,2
429,3,1
430,2,1
431,9,2
432,2,4
433,1,2
434,6,1
435,2,3
436,3,0
437,4,4
438,2,6
439,2,4
440,5,3
441,17,2
442,1,2
443,4,7
444,0,2
445,2,4
446,4,13
447,8,3
448,7,1
449,2,1
450,2,4
451,3,3
452,4,4
453,7,5
454,1,8
455,1,4
456,3,5
457,3,2
458,2,2
459,3,1
460,3,7
461,2,23
462,4,3
463,1,3
464,1,2
465,2,6
466,5,2
467,4,2
468,1,7
469,2,5
470,2,1
471,2,6
472,0,3
473,14,3
474,4,5
475,4,1
476,6,3
477,4,2
478,7,3
479,5,6
480,6,8
481,6,2
482,3,13
483,8,5
484,8,6
485,11,8
486,8,4
487,9,9
488,17,9
489,14,7
490,3,2
491,10,2
492,16,6
493,13,1
494,9,8
495,12,6
496,6,4
497,8,5
498,6,8
499,19,5
500,5,4
501,1,8
502,8,17
503,16,14
504,18,7
505,15,4
506,7,8
507,6,3
508,15,9
509,24,4
510,19,2
511,9,8
512,13,9
513,15,19
514,7,9
515,7,7
516,14,7
517,13,4
518,16,6
519,12,26
520,24,3
521,24,3
522,12,3
523,19,12
524,15,5
525,32,3
526,16,3
527,11,15
528,8,13
529,17,7
530,11,3
531,21,2
532,34,13
533,16,10
534,16,2
535,15,9
536,12,11
537,17,23
538,15,10
539,12,6
540,19,7
541,16,5
542,18,8
543,20,4
544,27,2
545,18,6
546,33,3
547,19,9
548,11,5
549,17,4
550,16,16
551,9,3
552,32,3
553,29,11
554,11,5
555,34,5
556,12,1
557,28,3
558,29,6
559,16,4
560,12,6
561,18,7
562,18,6
563,20,13
564,14,3
565,25,3
566,19,9
567,10,6
568,16,9
569,20,5
570,11,3
571,10,7
572,11,6
573,24,5
574,26,3
575,16,2
576,17,5
577,17,2
578,16,3
579,9,0
580,12,1
581,10,2
582,13,0
583,2,1
584,3,0
585,8,1
586,10,1
587,3,0
588,23,3
589,13,1
590,9,1
591,4,1
592,5,5
593,6,0
594,5,1
595,5,1
596,1,0
597,11,4
598,4,0
599,8,2
600,3,0
601,4,0
602,2,0
603,0,2
605,3,1
606,4,0
607,2,1
608,3,2
609,5,2
610,13,2
611,3,1
612,3,1
613,1,1
614,3,0
615,1,0
616,3,3
617,3,1
618,1,3
619,4,0
620,4,0
621,1,0
623,2,0
624,1,1
625,4,1
626,1,0
627,1,1
628,5,0
629,2,0
630,1,1
