Base index,dsDNA_3#TOP,dsDNA_3#BOT
1,30489,7282
2,388,126
3,69,125
4,58,40
5,117,54
6,31,46
7,52,14
8,20,11
9,16,8
10,4,1
11,6,1
12,10,7
13,236,2
14,5,2
15,5,6
16,15,30
17,3,6
18,4,0
19,2,0
20,86,3
21,9,0
22,2,1
23,22,1
24,12,2
25,8,1
26,1,1
27,14,1
28,44,1
29,4,0
30,3,22
31,12,4
32,9,1
33,5,0
34,24,22
35,14,0
36,1,1
37,3,5
38,5,0
39,18,1
40,7,0
41,3,1
42,8,2
43,5,0
44,15,0
45,50,1
46,12,0
47,7,0
48,3,8
49,7,1
50,5,1
51,18,2
52,13,3
53,2,1
54,2,2
55,10,1
56,3,0
57,26,2
58,10,0
59,4,0
60,1,1
61,4,2
62,2,0
63,13,1
64,6,0
65,1,1
66,2,0
67,12,7
68,1,1
69,28,3
70,35,1
71,17,5
72,2,2
73,1,0
74,7,1
75,1,10
76,5,0
77,6,5
78,5,2
79,25,1
80,19,1
81,10,1
82,5,1
83,6,9
84,0,4
85,31,3
86,7,0
87,8,0
88,12,3
89,2,3
90,8,0
91,5,0
92,6,2
93,48,1
94,8,3
95,3,1
96,3,2
97,1,3
98,9,0
99,7,1
100,6,0
101,12,14
102,12,1
103,1,0
104,2,2
105,2,2
106,53,1
107,7,2
108,3,13
109,4,1
110,7,0
111,3,0
112,94,1
113,13,1
114,6,2
115,6,0
116,4,0
117,3,0
118,12,1
119,16,4
120,4,2
121,2,1
122,7,0
123,5,6
124,14,2
125,6,0
126,8,0
127,14,0
128,9,1
129,6,0
130,5,0
131,6,5
132,11,0
133,3,1
134,22,2
135,16,2
136,13,1
137,8,1
138,86,0
139,17,0
140,10,2
141,7,0
142,12,0
143,16,0
144,7,0
145,13,0
146,12,9
147,3,0
148,6,1
149,43,0
150,15,8
151,9,1
152,7,0
153,14,4
154,7,2
155,17,0
156,13,2
157,16,2
158,18,3
159,27,0
160,13,2
161,9,2
162,11,4
163,5,3
164,31,5
165,6,0
166,16,2
167,12,2
168,12,2
169,21,2
170,5,4
171,7,2
172,2,7
173,20,0
174,16,1
175,18,5
176,13,1
177,16,3
178,11,3
179,25,6
180,7,1
181,17,0
182,30,1
183,17,0
184,10,2
185,19,0
186,12,0
187,9,4
188,7,2
189,10,4
190,8,2
191,21,1
192,16,11
193,27,0
194,17,6
195,21,1
196,17,0
197,13,1
198,75,19
199,27,2
200,25,4
201,13,2
202,15,0
203,36,0
204,5,3
205,11,2
206,16,5
207,30,2
208,32,3
209,18,3
210,13,2
211,6,2
212,20,1
213,9,6
214,24,2
215,14,3
216,7,2
217,21,0
218,10,4
219,22,2
220,20,1
221,17,2
222,20,1
223,24,2
224,52,3
225,4,1
226,28,6
227,15,3
228,22,1
229,18,1
230,16,1
231,9,2
232,11,2
233,14,2
234,19,0
235,14,0
236,19,2
237,13,4
238,3,0
239,9,1
240,4,0
241,3,1
242,4,0
243,1,0
244,16,6
245,4,1
246,10,5
247,13,6
248,6,2
249,12,0
250,16,2
251,5,6
252,3,2
253,10,5
254,8,1
255,4,2
256,3,2
257,5,2
258,5,0
259,7,3
260,9,0
261,9,2
262,5,2
263,5,7
264,7,5
265,7,2
266,4,8
267,17,1
268,2,4
269,3,1
270,4,2
271,4,0
272,2,3
273,6,7
274,4,0
275,3,3
276,4,4
277,8,4
278,2,1
279,4,3
280,7,4
281,8,0
282,6,5
283,5,3
284,6,9
285,3,1
286,4,6
287,5,1
288,14,2
289,3,3
290,10,1
291,4,3
292,0,1
293,7,0
294,10,3
295,10,1
296,8,0
297,5,1
298,4,0
299,5,3
300,2,3
301,6,0
302,5,0
303,1,1
304,2,0
305,3,1
306,4,1
307,4,0
308,4,0
310,3,0
311,2,2
312,0,1
313,2,1
315,5,2
316,1,0
318,3,1
319,1,1
321,2,0
322,1,0
323,2,0
324,2,0
325,0,1
327,1,0
329,2,0
330,1,0
331,0,1
332,0,1
333,1,0
334,5,0
335,1,0
337,0,3
339,2,0
340,1,1
342,1,0
343,1,0
344,1,0
345,1,0
346,1,0
347,1,0
348,1,0
349,1,0
350,2,0
351,1,0
352,2,1
353,3,1
354,1,0
355,3,0
356,0,1
357,3,0
358,1,0
360,12,3
361,2,1
364,13,2
365,0,1
366,1,0
367,5,0
368,2,2
369,5,0
370,7,5
371,9,2
372,6,0
373,3,0
374,2,1
375,5,1
376,7,2
377,10,3
378,1,1
379,2,1
380,11,3
381,9,2
382,13,2
383,24,0
384,30,3
385,39,7
386,45,7
387,77,3
388,83,2
389,117,4
390,144,5
391,219,7
392,234,4
393,356,4
394,282,20
395,209,10
396,382,16
397,302,26
398,371,7
399,376,19
400,381,40
401,429,31706
402,417,89
403,598,24
404,557,18
405,319,22
406,525,17
407,263,16
408,297,13
409,258,358
410,136,22
411,91,13
412,90,15
413,109,13
414,67,24
415,28,76
416,12,10
417,12,5
418,11,39
419,14,36
420,10,14
421,8,4
422,5,10
423,4,12
424,13,2
425,10,3
426,3,10
427,7,16
428,4,5
429,4,26
430,6,26
431,2,7
432,2,15
433,3,21
434,6,5
435,1,16
436,6,3
437,5,3
438,1,10
439,4,3
440,1,4
441,3,24
442,4,2
443,4,7
444,2,85
445,0,12
446,0,2
447,0,3
448,3,5
449,4,41
