Base index,dsDNA_1#TOP,dsDNA_1#BOT
1,53418,81738
2,794,3044
3,1046,374
4,356,173
5,434,585
6,311,68
7,117,80
8,61,25
9,44,54
10,7,12
11,9,16
12,16,10
13,19,175
14,10,15
15,29,11
16,94,23
17,11,17
18,7,19
19,14,14
20,9,58
21,4,31
22,6,30
23,29,32
24,12,7
25,9,10
26,6,26
27,25,13
28,5,15
29,12,9
30,21,8
31,3,50
32,5,40
33,4,16
34,9,5
35,20,10
36,3,8
37,7,79
38,4,55
39,7,24
40,4,5
41,12,5
42,5,20
43,5,11
44,8,11
45,5,70
46,15,26
47,10,17
48,12,9
49,12,11
50,5,21
51,8,19
52,4,10
53,37,19
54,11,24
55,8,4
56,12,7
57,8,3
58,16,87
59,14,27
60,60,10
61,14,28
62,13,14
63,19,14
64,13,154
65,10,33
66,17,19
67,9,19
68,12,19
69,21,32
70,18,22
71,13,27
72,18,13
73,3,14
74,13,23
75,45,15
76,20,49
77,22,24
78,10,5
79,11,32
80,8,45
81,12,20
82,13,39
83,34,27
84,7,45
85,6,23
86,22,36
87,4,63
88,9,32
89,7,42
90,12,105
91,11,47
92,26,61
93,27,47
94,15,66
95,12,60
96,21,45
97,13,56
98,58,82
99,11,31
100,21,28
101,20,50
102,45,91
103,21,59
104,19,45
105,34,61
106,12,88
107,27,88
108,33,94
109,28,101
110,39,102
111,38,68
112,26,94
113,36,61
114,25,57
115,64,89
116,49,120
117,50,34
118,41,109
119,41,66
120,39,78
121,38,129
122,41,34
123,30,53
124,65,23
125,50,86
126,47,101
127,28,37
128,39,106
129,62,87
130,41,116
131,52,169
132,28,88
133,35,119
134,47,138
135,46,140
136,75,87
137,48,111
138,54,66
139,75,45
140,53,52
141,94,87
142,51,32
143,40,114
144,98,67
145,53,107
146,55,55
147,58,162
148,41,117
149,40,74
150,52,104
151,57,197
152,71,99
153,59,84
154,54,119
155,52,140
156,57,43
157,105,99
158,101,33
159,63,163
160,123,139
161,101,127
162,107,128
163,63,59
164,52,110
165,120,57
166,68,80
167,62,120
168,48,100
169,73,158
170,96,97
171,84,151
172,86,100
173,79,88
174,55,163
175,68,112
176,111,163
177,87,50
178,99,131
179,70,102
180,42,164
181,101,152
182,106,138
183,143,75
184,127,87
185,84,123
186,38,153
187,58,129
188,60,89
189,104,79
190,70,74
191,72,115
192,86,56
193,94,32
194,127,40
195,97,23
196,98,120
197,90,58
198,129,122
199,138,186
200,131,82
201,73,109
202,139,244
203,143,130
204,100,79
205,166,124
206,95,144
207,81,102
208,111,70
209,67,58
210,85,192
211,75,117
212,76,113
213,73,119
214,112,91
215,122,102
216,142,69
217,140,153
218,154,96
219,118,247
220,155,73
221,70,135
222,142,154
223,102,161
224,99,206
225,131,225
226,52,158
227,143,131
228,119,148
229,170,205
230,179,188
231,189,125
232,101,151
233,173,183
234,158,140
235,170,238
236,169,250
237,135,126
238,157,126
239,150,230
240,105,251
241,226,175
242,121,284
243,86,397
244,168,209
245,68,353
246,237,371
247,250,235
248,130,265
249,262,141
250,218,231
251,169,410
252,134,140
253,172,245
254,302,175
255,178,164
256,89,126
257,160,171
258,204,72
259,132,112
260,119,246
261,102,218
262,164,91
263,117,159
264,169,117
265,161,109
266,156,175
267,90,129
268,251,146
269,162,73
270,188,207
271,160,203
272,255,210
273,278,86
274,165,234
275,259,121
276,213,122
277,189,149
278,223,214
279,232,159
280,190,107
281,113,229
282,218,130
283,203,147
284,279,192
285,135,124
286,198,214
287,261,186
288,157,246
289,218,85
290,80,80
291,281,152
292,205,207
293,292,75
294,267,211
295,247,248
296,447,108
297,242,242
298,424,258
299,501,159
300,241,253
301,316,255
302,280,228
303,397,281
304,369,148
305,109,228
306,277,226
307,396,165
308,176,147
309,245,297
310,221,188
311,182,134
312,361,146
313,134,215
314,201,299
315,348,111
316,341,249
317,239,176
318,336,125
319,280,225
320,248,146
321,272,127
322,272,331
323,374,224
324,433,135
325,188,112
326,175,119
327,316,263
328,310,250
329,156,223
330,443,113
331,463,91
332,258,216
333,388,231
334,197,290
335,294,280
336,338,232
337,363,292
338,308,141
339,496,271
340,419,235
341,420,232
342,436,243
343,372,241
344,307,248
345,231,324
346,628,239
347,367,180
348,458,279
349,361,228
350,344,282
351,460,261
352,451,212
353,443,266
354,331,276
355,406,287
356,454,252
357,263,294
358,491,260
359,445,168
360,192,265
361,288,160
362,348,317
363,343,330
364,317,168
365,334,148
366,345,197
367,538,281
368,237,364
369,546,237
370,301,172
371,294,290
372,252,274
373,142,315
374,431,150
375,310,215
376,484,317
377,570,190
378,121,228
379,327,295
380,489,327
381,301,180
382,513,109
383,302,170
384,320,230
385,494,159
386,363,163
387,299,290
388,261,233
389,454,265
390,409,184
391,180,303
392,376,337
393,347,198
394,200,271
395,290,227
396,319,176
397,339,199
398,303,74
399,225,178
400,225,283
401,356,217
402,326,196
403,402,234
404,349,210
405,295,262
406,271,243
407,203,147
408,230,185
409,354,140
410,563,192
411,188,167
412,393,197
413,403,285
414,228,149
415,308,201
416,430,220
417,196,341
418,364,192
419,217,198
420,204,173
421,275,195
422,321,178
423,224,198
424,304,155
425,426,149
426,166,189
427,368,218
428,435,128
429,326,167
430,209,128
431,290,187
432,319,119
433,201,300
434,335,187
435,125,164
436,270,243
437,217,190
438,353,172
439,318,123
440,349,280
441,258,218
442,298,139
443,363,163
444,296,261
445,157,185
446,219,201
447,270,204
448,182,296
449,521,180
450,268,139
451,296,172
452,344,167
453,556,154
454,177,137
455,250,250
456,185,242
457,132,268
458,448,197
459,167,211
460,189,291
461,324,188
462,263,331
463,433,209
464,272,140
465,270,184
466,334,121
467,664,104
468,513,195
469,539,143
470,369,85
471,444,109
472,165,80
473,210,124
474,444,108
475,255,204
476,161,76
477,241,100
478,354,87
479,305,187
480,420,256
481,440,188
482,407,136
483,240,199
484,535,351
485,427,135
486,325,214
487,367,107
488,95,156
489,463,157
490,365,185
491,516,124
492,516,80
493,431,94
494,230,128
495,130,128
496,400,165
497,244,122
498,354,106
499,427,110
500,374,134
501,192,203
502,106,103
503,290,247
504,281,176
505,139,91
506,86,246
507,332,139
508,122,120
509,53,120
510,237,130
511,158,161
512,348,193
513,225,93
514,121,94
515,252,144
516,173,100
517,136,153
518,85,121
519,124,49
520,206,84
521,216,105
522,85,219
523,221,100
524,211,55
525,82,133
526,87,64
527,67,64
528,280,106
529,279,38
530,238,71
531,47,110
532,140,87
533,147,113
534,128,142
535,73,197
536,35,81
537,197,86
538,188,93
539,119,160
540,81,84
541,158,145
542,422,75
543,86,67
544,222,82
545,137,58
546,41,136
547,147,120
548,80,153
549,353,114
550,134,57
551,182,58
552,59,150
553,73,77
554,132,117
555,141,113
556,64,93
557,138,59
558,157,78
559,118,54
560,44,136
561,245,59
562,43,104
563,100,54
564,66,52
565,324,73
566,137,40
567,180,170
568,177,73
569,177,48
570,90,93
571,109,59
572,74,62
573,115,121
574,60,80
575,120,98
576,50,55
577,52,157
578,55,95
579,32,95
580,180,68
581,117,127
582,29,40
583,155,51
584,159,31
585,69,17
586,43,34
587,32,19
588,162,67
589,93,67
590,108,45
591,42,30
592,33,27
593,56,75
594,105,35
595,60,38
596,27,34
597,64,27
598,35,81
599,81,23
600,53,13
601,43,32
602,52,5
603,29,12
604,61,16
605,87,7
606,105,15
607,122,20
608,68,19
609,28,10
610,34,21
611,31,17
612,7,21
613,20,19
614,12,16
615,19,2
616,31,17
617,23,12
618,11,16
619,21,5
620,24,8
621,7,9
622,23,4
623,12,11
624,15,3
625,6,4
626,7,2
627,7,14
628,4,7
629,3,5
630,0,5
631,3,3
