Base index shifted,dsDNA_2#TOP,dsDNA_2#BOT
-352.5,20254,107554
-351.5,319,3877
-350.5,364,557
-349.5,130,297
-348.5,155,667
-347.5,130,77
-346.5,55,60
-345.5,12,22
-344.5,10,68
-343.5,3,16
-342.5,6,23
-341.5,5,9
-340.5,2,57
-339.5,3,20
-338.5,2,24
-337.5,12,16
-336.5,4,15
-335.5,3,23
-334.5,2,16
-333.5,3,38
-332.5,2,19
-331.5,2,16
-330.5,7,31
-329.5,3,7
-328.5,3,7
-327.5,2,10
-326.5,12,7
-325.5,1,10
-324.5,8,4
-323.5,4,4
-322.5,0,18
-321.5,0,30
-320.5,1,7
-319.5,0,5
-318.5,2,4
-317.5,2,5
-316.5,1,24
-315.5,0,8
-314.5,1,8
-313.5,1,5
-312.5,2,6
-311.5,3,13
-310.5,3,4
-309.5,2,4
-308.5,5,32
-307.5,5,9
-306.5,6,8
-305.5,1,15
-304.5,2,8
-303.5,2,12
-302.5,4,11
-301.5,0,7
-300.5,10,13
-299.5,3,12
-298.5,1,7
-297.5,3,5
-296.5,1,6
-295.5,5,31
-294.5,1,11
-293.5,6,6
-292.5,8,14
-291.5,4,6
-290.5,4,10
-289.5,2,36
-288.5,7,9
-287.5,4,10
-286.5,4,8
-285.5,3,7
-284.5,8,7
-283.5,6,11
-282.5,5,13
-281.5,8,14
-280.5,4,16
-279.5,3,13
-278.5,5,8
-277.5,7,24
-276.5,7,10
-275.5,4,4
-274.5,1,16
-273.5,2,27
-272.5,9,7
-271.5,5,19
-270.5,2,15
-269.5,4,15
-268.5,5,15
-267.5,12,24
-266.5,2,25
-265.5,4,20
-264.5,3,17
-263.5,8,25
-262.5,4,20
-261.5,3,27
-260.5,11,21
-259.5,11,21
-258.5,3,13
-257.5,4,18
-256.5,5,31
-255.5,16,39
-254.5,8,25
-253.5,7,27
-252.5,2,27
-251.5,12,36
-250.5,3,27
-249.5,7,31
-248.5,5,26
-247.5,4,29
-246.5,6,32
-245.5,21,38
-244.5,4,43
-243.5,15,31
-242.5,9,36
-241.5,7,55
-240.5,13,32
-239.5,8,31
-238.5,21,42
-237.5,5,53
-236.5,10,23
-235.5,7,46
-234.5,8,29
-233.5,7,50
-232.5,9,57
-231.5,11,13
-230.5,7,36
-229.5,13,9
-228.5,9,39
-227.5,10,51
-226.5,8,26
-225.5,13,42
-224.5,16,35
-223.5,4,59
-222.5,14,59
-221.5,8,37
-220.5,9,53
-219.5,15,48
-218.5,16,41
-217.5,22,35
-216.5,12,50
-215.5,16,36
-214.5,16,36
-213.5,18,49
-212.5,24,48
-211.5,20,9
-210.5,14,60
-209.5,13,57
-208.5,19,49
-207.5,14,23
-206.5,17,67
-205.5,12,75
-204.5,12,37
-203.5,23,32
-202.5,18,78
-201.5,21,51
-200.5,7,49
-199.5,13,66
-198.5,14,67
-197.5,10,19
-196.5,25,58
-195.5,16,33
-194.5,14,57
-193.5,36,92
-192.5,31,60
-191.5,31,48
-190.5,22,32
-189.5,19,46
-188.5,35,39
-187.5,21,23
-186.5,19,37
-185.5,10,33
-184.5,22,47
-183.5,13,51
-182.5,17,46
-181.5,19,34
-180.5,22,30
-179.5,19,48
-178.5,35,41
-177.5,28,57
-176.5,28,23
-175.5,24,44
-174.5,25,42
-173.5,16,63
-172.5,38,66
-171.5,32,62
-170.5,36,36
-169.5,38,22
-168.5,33,40
-167.5,32,52
-166.5,19,50
-165.5,13,43
-164.5,46,40
-163.5,27,26
-162.5,28,49
-161.5,31,22
-160.5,47,23
-159.5,44,20
-158.5,42,14
-157.5,39,48
-156.5,30,15
-155.5,54,51
-154.5,48,72
-153.5,44,28
-152.5,45,45
-151.5,52,90
-150.5,69,67
-149.5,36,50
-148.5,71,46
-147.5,51,56
-146.5,53,46
-145.5,52,29
-144.5,45,25
-143.5,54,91
-142.5,49,57
-141.5,55,73
-140.5,62,46
