Distance from 5'-end,dsDNA_2
0,31.051965169678535
1,31.840120474742054
2,31.728887099660046
3,31.985238862050455
4,32.08691477306614
5,33.81799069601002
6,34.883407884535096
7,34.577053140096616
8,33.48678952704718
9,33.40490248702809
10,35.048356891513095
11,33.3717778970597
12,36.09480825430906
13,36.38433828353313
14,36.47861871533369
15,36.34237490308344
16,36.402358800023855
17,36.44946024929922
18,36.50989145345023
19,36.29025168485716
20,36.13423092980259
21,36.315285978409975
22,36.66687242798354
23,36.08302021828592
24,36.31287350152085
25,37.03127273811654
26,36.75041748672989
27,36.86499970179519
28,36.86830977515358
29,36.85744319198425
30,36.53427566052365
31,36.825243036917755
32,36.377765849585494
33,36.94311743305302
34,37.0080574938868
35,36.55263613049442
36,36.40005665891334
37,36.60243931532176
38,36.481684260750285
39,36.63510765193535
40,36.93271008528657
41,37.19406870638755
42,37.26507425299696
43,36.93639589670185
44,35.907640007156914
45,35.954097334049024
46,36.66148983121608
47,36.90476531281684
48,36.97294685990338
49,36.90311325818572
50,37.130640543925566
51,37.140299397626286
52,37.31890916681577
53,37.15511719448917
54,36.83421900161031
55,37.04097632253832
56,37.129790660225446
57,36.44410449096439
58,37.094787379972566
59,37.13853998926463
60,36.74394047832051
61,37.048437406811
62,36.88985507246377
63,36.9714021590028
64,36.680190254666904
65,36.853587403828946
66,36.57109202600346
67,36.14642154231526
68,36.23414445040854
69,36.376397089521085
70,36.53066440031013
71,36.288271604938274
72,36.302946263493766
73,36.70706745392736
74,37.109587284547025
75,36.71256933261764
