Base index shifted,dsDNA_3#TOP,dsDNA_3#BOT
-399.5,30489,7282
-398.5,388,126
-397.5,69,125
-396.5,58,40
-395.5,117,54
-394.5,31,46
-393.5,52,14
-392.5,20,11
-391.5,16,8
-390.5,4,1
-389.5,6,1
-388.5,10,7
-387.5,236,2
-386.5,5,2
-385.5,5,6
-384.5,15,30
-383.5,3,6
-382.5,4,0
-381.5,2,0
-380.5,86,3
-379.5,9,0
-378.5,2,1
-377.5,22,1
-376.5,12,2
-375.5,8,1
-374.5,1,1
-373.5,14,1
-372.5,44,1
-371.5,4,0
-370.5,3,22
-369.5,12,4
-368.5,9,1
-367.5,5,0
-366.5,24,22
-365.5,14,0
-364.5,1,1
-363.5,3,5
-362.5,5,0
-361.5,18,1
-360.5,7,0
-359.5,3,1
-358.5,8,2
-357.5,5,0
-356.5,15,0
-355.5,50,1
-354.5,12,0
-353.5,7,0
-352.5,3,8
-351.5,7,1
-350.5,5,1
-349.5,18,2
-348.5,13,3
-347.5,2,1
-346.5,2,2
-345.5,10,1
-344.5,3,0
-343.5,26,2
-342.5,10,0
-341.5,4,0
-340.5,1,1
-339.5,4,2
-338.5,2,0
-337.5,13,1
-336.5,6,0
-335.5,1,1
-334.5,2,0
-333.5,12,7
-332.5,1,1
-331.5,28,3
-330.5,35,1
-329.5,17,5
-328.5,2,2
-327.5,1,0
-326.5,7,1
-325.5,1,10
-324.5,5,0
-323.5,6,5
-322.5,5,2
-321.5,25,1
-320.5,19,1
-319.5,10,1
-318.5,5,1
-317.5,6,9
-316.5,0,4
-315.5,31,3
-314.5,7,0
-313.5,8,0
-312.5,12,3
-311.5,2,3
-310.5,8,0
-309.5,5,0
-308.5,6,2
-307.5,48,1
-306.5,8,3
-305.5,3,1
-304.5,3,2
-303.5,1,3
-302.5,9,0
-301.5,7,1
-300.5,6,0
-299.5,12,14
-298.5,12,1
-297.5,1,0
-296.5,2,2
-295.5,2,2
-294.5,53,1
-293.5,7,2
-292.5,3,13
-291.5,4,1
-290.5,7,0
-289.5,3,0
-288.5,94,1
-287.5,13,1
-286.5,6,2
-285.5,6,0
-284.5,4,0
-283.5,3,0
-282.5,12,1
-281.5,16,4
-280.5,4,2
-279.5,2,1
-278.5,7,0
-277.5,5,6
-276.5,14,2
-275.5,6,0
-274.5,8,0
-273.5,14,0
-272.5,9,1
-271.5,6,0
-270.5,5,0
-269.5,6,5
-268.5,11,0
-267.5,3,1
-266.5,22,2
-265.5,16,2
-264.5,13,1
-263.5,8,1
-262.5,86,0
-261.5,17,0
-260.5,10,2
-259.5,7,0
-258.5,12,0
-257.5,16,0
-256.5,7,0
-255.5,13,0
-254.5,12,9
-253.5,3,0
-252.5,6,1
-251.5,43,0
-250.5,15,8
-249.5,9,1
-248.5,7,0
-247.5,14,4
-246.5,7,2
-245.5,17,0
-244.5,13,2
-243.5,16,2
-242.5,18,3
-241.5,27,0
-240.5,13,2
-239.5,9,2
-238.5,11,4
-237.5,5,3
-236.5,31,5
-235.5,6,0
-234.5,16,2
-233.5,12,2
-232.5,12,2
-231.5,21,2
-230.5,5,4
-229.5,7,2
-228.5,2,7
-227.5,20,0
-226.5,16,1
-225.5,18,5
-224.5,13,1
-223.5,16,3
-222.5,11,3
-221.5,25,6
-220.5,7,1
-219.5,17,0
-218.5,30,1
-217.5,17,0
-216.5,10,2
-215.5,19,0
-214.5,12,0
-213.5,9,4
-212.5,7,2
-211.5,10,4
-210.5,8,2
-209.5,21,1
-208.5,16,11
-207.5,27,0
-206.5,17,6
-205.5,21,1
-204.5,17,0
-203.5,13,1
-202.5,75,19
-201.5,27,2
-200.5,25,4
-199.5,13,2
-198.5,15,0
-197.5,36,0
-196.5,5,3
-195.5,11,2
-194.5,16,5
-193.5,30,2
-192.5,32,3
-191.5,18,3
-190.5,13,2
-189.5,6,2
-188.5,20,1
-187.5,9,6
-186.5,24,2
-185.5,14,3
-184.5,7,2
-183.5,21,0
-182.5,10,4
-181.5,22,2
-180.5,20,1
-179.5,17,2
-178.5,20,1
-177.5,24,2
-176.5,52,3
-175.5,4,1
-174.5,28,6
-173.5,15,3
-172.5,22,1
-171.5,18,1
-170.5,16,1
-169.5,9,2
-168.5,11,2
-167.5,14,2
-166.5,19,0
-165.5,14,0
-164.5,19,2
-163.5,13,4
-162.5,3,0
-161.5,9,1
-160.5,4,0
-159.5,3,1
-158.5,4,0
-157.5,1,0
-156.5,16,6
-155.5,4,1
-154.5,10,5
-153.5,13,6
-152.5,6,2
-151.5,12,0
-150.5,16,2
-149.5,5,6
-148.5,3,2
-147.5,10,5
-146.5,8,1
-145.5,4,2
-144.5,3,2
-143.5,5,2
-142.5,5,0
-141.5,7,3
-140.5,9,0
-139.5,9,2
-138.5,5,2
-137.5,5,7
-136.5,7,5
-135.5,7,2
-134.5,4,8
-133.5,17,1
-132.5,2,4
-131.5,3,1
-130.5,4,2
-129.5,4,0
-128.5,2,3
-127.5,6,7
-126.5,4,0
-125.5,3,3
-124.5,4,4
-123.5,8,4
