Distance from 5'-end,dsDNA_1
0,30.58764796077598
1,31.03794625693725
2,31.231594516235543
3,31.617194885317677
4,31.593668160785928
5,33.66684231237194
6,34.331147185070265
7,34.10876615299721
8,33.203298219269165
9,33.28965258334879
10,34.352437253775626
11,33.18093392253798
12,35.648218590703294
13,35.730248904287414
14,35.85299811388174
15,35.724549841918865
16,35.75916938427511
17,35.897776461063195
18,35.918894653284426
19,35.73031222720262
20,35.60204487785462
21,35.737981084540614
22,36.16672923573764
23,35.571749385993876
24,35.73746093202285
25,36.20797959192904
26,35.87705177552931
27,35.954371316528636
28,35.95622351179841
29,36.02897927983753
30,35.91775257927803
31,36.13678428144322
32,35.765992428388564
33,36.176431210960295
34,36.13636815942901
35,35.91602250677329
36,35.72542505506832
37,35.99455649082496
38,35.786744252314676
39,35.886210982907336
40,36.21755039825591
41,36.540714372944834
42,36.516828064716016
43,36.116403348877604
44,35.27376983929549
45,35.265804721175634
46,35.87950553849355
47,36.03283745459973
48,36.25080623640253
49,36.08769092989701
50,36.35174974783911
51,36.35469426339619
52,36.473797882300794
53,36.37653614607692
54,35.92161980017097
55,36.10449637928617
56,36.361313769567914
57,35.83144344585212
58,36.21790093582223
59,36.140160749743316
60,35.70338415751123
61,36.05814852842068
62,35.91716684231237
63,36.14605656545554
64,35.895729773982424
65,35.89702563221146
66,35.92789103030906
67,35.3730827856655
68,35.51181198521862
69,35.652648933235035
70,35.79419600251482
71,35.493914215542155
72,35.54066688075843
73,35.90858884883463
74,36.22190158714364
75,35.753560783214
