Base index shifted,dsDNA#TOP#AVERAGE,dsDNA#TOP#STD,dsDNA#BOT#AVERAGE,dsDNA#BOT#STD
-299.5,6.708105868913368e-05,5.480688380083327e-05,0.00036789719720533166,8.741237878674319e-05
-298.5,4.320671520615484e-05,4.77501695715743e-05,0.00015083850849361463,0.0001411723932631181
-297.5,7.18917576836976e-05,6.161023956344017e-05,0.0001341600418727062,6.347637618573171e-05
-296.5,4.320671520615484e-05,4.77501695715743e-05,0.00012655722771411987,0.0001248698444671377
-295.5,0.00010057680016124035,7.547030955530604e-05,0.0011098215674708455,3.6071443862517766e-07
-294.5,7.20709091735383e-05,8.857030414721566e-05,0.0003691231923763018,3.5037094402422305e-05
-293.5,0.0003169686791716959,0.0003681412865807285,0.0001711949606274334,6.174255718754184e-05
-292.5,0.00010511877192104318,4.1833568442249676e-05,0.0004292133967395536,0.00010198110858453372
-291.5,8.142357992790505e-05,6.17369187967662e-05,0.00019670223657789826,2.5669821599201346e-05
-290.5,0.0001102877738952885,0.00010255705337240756,0.0002683200837454124,0.00012695275237146342
-289.5,7.198133342861794e-05,7.509027185532791e-05,0.0016265907486005247,0.0004772539432007506
-288.5,8.115485269314399e-05,2.129682192110296e-05,0.000371575182718242,6.971347436621947e-05
-287.5,0.00010066637590616069,8.895034184719378e-05,0.0003002041786834935,8.186183288603779e-05
-286.5,6.218078394964941e-05,3.452349574633863e-05,0.0002643952550997364,3.1220367499906756e-05
-285.5,7.18917576836976e-05,6.161023956344017e-05,0.0002464907933078579,5.899634806841241e-06
-284.5,0.00013879366488299055,8.945705878049793e-05,0.00032938944014686874,0.00011133675585526537
-283.5,0.00011491932140001171,8.240034455123895e-05,0.0003372390974382207,8.012801388784792e-05
-282.5,8.614470317754861e-05,5.506024226748534e-05,0.0004049321159600588,8.567855978855334e-05
-281.5,0.00012436156789929882,6.904699149267726e-05,0.00033356111192531034,0.00023725386704081058
-280.5,3.3316589982265954e-05,6.296638829302736e-06,0.00037574685449668363,0.0002788771485298565
-279.5,7.67024566782615e-05,6.841359532604706e-05,0.00037942484000959395,0.00012175129537689384
-278.5,0.00024008707100359373,0.00027276762667090596,0.00023888797914927156,6.729310308824726e-05
-277.5,0.00012926184263878308,8.93303795471719e-05,0.0007421712133982795,0.00016580657367640126
-276.5,0.0001388832406279109,0.00010293709107238568,0.0003320882736215746,3.677091340061216e-05
-275.5,6.699148294421332e-05,4.1326851508945525e-05,0.00010350194210559523,5.6192011286836435e-05
-274.5,5.7638812189846566e-05,6.816023685939498e-05,0.0004905295962737755,0.00011654983838232426
-273.5,4.792783845579839e-05,4.1073493042293446e-05,0.0007703773228234503,0.00027784150734393826
-272.5,0.00010021849718155892,2.1550180387755042e-05,0.00025286761229547413,3.1185490902438835e-06
-271.5,8.614470317754861e-05,5.506024226748534e-05,0.0005888807145627247,0.00012938474918192488
-270.5,0.00017300601231446007,0.0002179607428700727,0.0004407410395438159,0.00013632002517468433
-269.5,5.255938596052159e-05,2.0916784221124838e-05,0.0005555237813209078,2.600728497284791e-05
-268.5,5.2469810215601236e-05,7.436751929237088e-06,0.000415233763593351,0.00017239276076302481
-267.5,0.0001624888568761287,6.95537084259814e-05,0.0006592725665592687,0.00028304296433850787
-266.5,2.868504247754275e-05,1.3860069991865867e-05,0.0008493511410167851,6.4872731810275e-05
-265.5,6.218078394964941e-05,3.452349574633863e-05,0.0005621474434412897,0.00021783276915458632
-264.5,4.7838262710878034e-05,2.759346075040569e-05,0.0005722022479418162,5.168873210453849e-05
-263.5,9.549737393191536e-05,2.8226856917035896e-05,0.0011171775384966661,0.0003138909918673002
-262.5,7.180218193877724e-05,4.8130207271552415e-05,0.000657799728255533,8.256001069830945e-05
-261.5,0.00013924154360759233,0.00015685722023993669,0.0008724064266253098,0.00013355056499057626
-260.5,0.0001818212285993047,0.00011024716376829674,0.0006757041900474115,0.00010788074339137492
-259.5,0.00012409284066453776,2.860689461701399e-05,0.0007968637508121196,6.346475065324243e-05
-258.5,7.18917576836976e-05,6.161023956344017e-05,0.000615367142551394,0.00021192150881525578
-257.5,0.00011990917188441633,0.00011616376489762136,0.0006092371666965434,4.995491310634867e-05
-256.5,8.614470317754861e-05,5.506024226748534e-05,0.0009121401788547428,0.000279924415248264
-255.5,0.0003545585136790037,0.0002877678097627062,0.0012211731668677927,0.00024801749546857476
-254.5,9.068667493735146e-05,2.1423501154428996e-05,0.0006452929334130661,0.00035345461651699897
-253.5,0.000134072541633347,9.61337353097788e-05,0.0006619714000339746,0.0004311506335943854
-252.5,0.00010565622639056532,0.00012271376219357617,0.0008022614177615314,0.00023275058785851265
-251.5,0.00027313493375109865,0.00022603089096593997,0.001224851152380703,9.089164231561222e-05
-250.5,0.00011518804863477279,0.0001228404414269022,0.0008596527886500773,0.00015158693278474652
-249.5,0.00012445114364421916,8.252702378456499e-05,0.0008419951699909645,0.0003791244381162004
-248.5,0.00018716938206339071,0.00019793071328223013,0.0008545019648334312,0.0001082298322975108
-247.5,7.661288093334114e-05,5.493356303415931e-05,0.0010803894628747047,5.9298934844591055e-05
-246.5,0.00015821561235108693,0.000143630546414701,0.0011341028482503403,1.666326323460553e-05
-245.5,0.00025789665506312367,8.430053305112954e-05,0.0012797905329273089,0.0001144785560104878
-244.5,0.0001535840648463637,0.0001637872552358696,0.001413950574800015,0.00017795493219621947
-243.5,0.00025843410953264585,0.00016518072680245604,0.0012054738522850887,0.0001349120440176517
-242.5,0.00022529667104022056,0.00019843743021553427,0.00107818431566553,0.00029830987194857006
-241.5,0.00015812603660616655,0.00013015051412281327,0.0015841663833892439,0.0005449310117926015
-240.5,0.00023455976604966697,0.00015812401257319706,0.0009619287355847024,0.0002601542284559039
-239.5,0.0001580364608612462,0.00011667048183092552,0.0009185169978423591,0.0002709062313511789
-238.5,0.0004070283238946049,0.00029520456169194326,0.0013195242851567418,0.00026085240626817546
-237.5,0.00025932986698184936,0.0002999810497213335,0.0017141547534835085,0.0002598167650822573
-236.5,0.0002877461822246311,0.00027340102283753616,0.0006286144667921577,0.00027575859943961256
-235.5,0.0002302865215246252,0.00023220085056191667,0.0015186785120765802,0.00018177165909873504
-234.5,0.00023500764477426875,0.0002255241740326358,0.0009400994451471479,0.00013910111089128168
-233.5,0.00022066512353549739,0.00021859413903670287,0.0013926149706279917,0.000562618290680636
-232.5,0.00022529667104022056,0.00019843743021553427,0.0018431639715395685,0.0002799360407807531
-231.5,0.00024917101452319945,0.00020549414444479322,0.00044956984887337234,2.2551272508957465e-05
-230.5,0.00017736883258442218,0.00015736393717324083,0.0009825320308512867,0.00043358263040484693
-229.5,0.00037407003689202036,0.000355421329688797,0.0003078069928420798,2.0468364604631773e-05
-228.5,0.0002830250589749875,0.000280077699366817,0.0012466804428182576,0.00021194475988023427
-227.5,0.00027331408524093934,0.00025299095554971545,0.0015571862691350431,0.00038052079374074356
-226.5,0.00017246855784493792,0.0001370805491187462,0.000701458309130642,0.0003246662458275538
-225.5,0.0002489918630333587,0.00017853407986101775,0.0014279302079462175,0.00010754328001772836
-224.5,0.0003738013096572593,0.0003149812328131337,0.0011814394146383595,0.00010164364521088708
-223.5,0.00021612315177569453,0.0002522308801497592,0.001796074248284315,0.000447813896828991
-222.5,0.0003162520732123331,0.00026030102824562654,0.0021340456546279744,3.0149849716520604e-05
-221.5,0.00017246855784493792,0.0001370805491187462,0.001223625157209733,0.00014326692669993307
-220.5,0.00021086457405652885,0.0001780273629277136,0.0017077779344958923,0.00026883494897934245
-219.5,0.0002969197014891571,0.0002196075729033112,0.0017394151863012078,2.911420853060245e-05
-218.5,0.00029683012574423673,0.00020612754061142343,0.0016268375917332903,0.00022439570517623133
-217.5,0.0004646671360844515,0.0003633647985513382,0.0011814394146383595,0.00010164364521088708
-216.5,0.0002875670307347904,0.0002464409582537607,0.001603049997219327,0.0002650182220768269
-215.5,0.00033531571770074805,0.00026055438671227865,0.0010654306776902976,0.0003163462397427403
-214.5,0.00043634039658659013,0.00040342485772702335,0.0009315174789503571,0.0005057281015815279
-213.5,0.0003399472652054712,0.00024039767789110997,0.0012089132151580917,0.0007717703393117837
-212.5,0.0005655126634804529,0.00047927520498230753,0.0014141974179327807,0.00043081317022073887
-211.5,0.00033976811371563056,0.0002134376133073345,0.00036519836373062576,6.069529046913435e-05
-210.5,0.00025852368527756617,0.0001786607590943438,0.0018012250721009609,0.0004911709973162265
-209.5,0.0005328231037126294,0.0005799320698548245,0.001447801194307363,0.0008390634424000308
-208.5,0.00034466838845511477,0.0002337210013618291,0.0015596382594769836,0.00027577022497210187
-207.5,0.00033068417019602484,0.0002807110955334472,0.0007625276655320982,8.637673760082496e-05
-206.5,0.00035927963692864725,0.00028109113323342535,0.002232643616049689,0.00023554329910759937
-205.5,0.00025389213777284297,0.00019881746791551238,0.0020889224559419877,0.0008439274360209541
-204.5,0.0002490814387782791,0.00019201411215290551,0.001134349691383106,0.0002695215012591248
-203.5,0.00035874218245912507,0.00020021093948209881,0.0012361319520521998,0.00012762767911875646
-202.5,0.0003591900611837269,0.0002676111009415376,0.0026527813603269205,0.00019843492233334042
-201.5,0.00044070321685655227,0.0003428280520301915,0.0015444326311598107,0.0003985571615349138
-200.5,0.00031687910342677555,0.00035466125428884073,0.0014129714227618106,0.0004831884546050597
-199.5,0.0003211523479518174,0.0002805844163001212,0.0019405359377903132,0.0005980044739891941
-198.5,0.0003162520732123331,0.00026030102824562654,0.002092353598322132,0.00043394334484347214
-197.5,0.00032142107518657844,0.0003210245131757844,0.0006143879905131896,9.331201359358439e-05
-196.5,0.0006231514756702994,0.0005474354418417024,0.0016697638637029606,0.0005758022903863724
-195.5,0.0005614185704452517,0.0005803121075548026,0.0008012822657233269,0.0005379841102673528
-194.5,0.0003691697621525361,0.0003351379416343023,0.00205997581711852,2.668221172014112e-05
-193.5,0.0007616764133185289,0.0005964524037465372,0.0025335883241314793,0.001075979846067195
-192.5,0.0006322354191899051,0.0004801619596155898,0.0018841237189399717,0.0003739346066541199
-191.5,0.0006610996131572886,0.0005209820941912311,0.0016756469964250456,6.10676304402488e-05
-190.5,0.00040693874814968454,0.0002817245294000555,0.00094917509760947,0.00027819059625007415
-189.5,0.0003398576894605509,0.00022691764559922223,0.0015250553310641964,0.0001727534752016499
-188.5,0.0007425231930851936,0.0005827190129879973,0.0010617526921773872,0.00047347209289570286
-187.5,0.00042627111987286054,0.00032241798474237084,0.0009219481402225037,0.00013907785982630316
-186.5,0.00038796467940618997,0.0002949512032252912,0.001427683364813452,0.0001453149580067909
-185.5,0.00027812478423550323,0.00025979431131232237,0.0012285291378936135,6.623421083735048e-05
-184.5,0.00045504573809532363,0.0003497580870261244,0.0018490471042616535,0.00023479861916537057
-183.5,0.0005232017057235016,0.0005663253583296108,0.0015316789931845783,0.0004165935293290841
-182.5,0.0004843578107873089,0.00045797838306120455,0.0017865049095564614,0.00019699206457884016
-181.5,0.0005034214552757238,0.0004582317415278566,0.001246433599685492,4.091347814428501e-05
-180.5,0.0004839099320627071,0.0003905782216017658,0.001098293924666583,3.397820215152557e-05
-179.5,0.0003542897864442426,0.00024732771288704295,0.0018988356609916132,0.00025456880595773056
-178.5,0.0004923668453678703,0.00022894451333243886,0.0014482866600800362,2.811344394215214e-05
-177.5,0.0006661790393866136,0.0005682255468295013,0.00205997581711852,2.668221172014112e-05
-176.5,0.0005507222635170797,0.00040494500852693586,0.0007306435705940171,0.00013146765708625058
-175.5,0.0005895661584532724,0.000513291983795342,0.0016231596062203802,6.726985202326864e-05
-174.5,0.0004547770108605626,0.0003093179901504612,0.0014024229319957527,0.00014361601560606885
-173.5,0.0002775873297659811,0.00017891411756099587,0.0021737794068574074,0.00011622400054116691
-172.5,0.0006652832819374101,0.0004334252239106238,0.0021509709643816486,0.000300404405385385
-171.5,0.0006610100374123682,0.0005075020618993434,0.001990077651387507,0.0003253760491723148
-170.5,0.0008578903932098071,0.000732519518998675,0.0011228220485788435,0.0002351825846689742
-169.5,0.0007903614557960717,0.0006103124737384031,0.0009486814113439388,0.0002275258797989645
-168.5,0.0005598957827816057,0.0003511515585927109,0.0015005272071519362,9.64073116188497e-05
-167.5,0.00033388250578202236,4.487387004207461e-05,0.001906685318282965,6.310403621461725e-05
-166.5,0.00036872188342793434,0.0002677377801748636,0.0017178327389964188,0.00010269091192929462
-165.5,0.0003500165419192008,0.0003214045508757625,0.0013374287469486205,0.0002861731389612409
-164.5,0.0007174843649182501,0.00040042187896419763,0.0012199471716968226,0.00030039277985289577
-163.5,0.0004642192573598497,0.00029596463709189954,0.000937400611672442,9.006558364595818e-06
