Base index shifted,HP5.6.4_2#TOP,HP5.6.4_2#BOT
-374.5,46871,0
-373.5,961,0
-372.5,150,0
-371.5,166,0
-370.5,38,0
-369.5,63,0
-369.0,0,45813
-368.5,145,0
-368.0,0,801
-367.5,129,0
-367.0,0,155
-366.5,25,0
-366.0,0,323
-365.5,89,0
-365.0,0,93
-364.5,99,0
-364.0,0,13
-363.5,36,0
-363.0,0,86
-362.5,47,0
-362.0,0,51
-361.5,31,0
-361.0,0,18
-360.5,59,0
-360.0,0,12
-359.5,21,0
-359.0,0,175
-358.5,32,0
-358.0,0,51
-357.5,37,0
-357.0,0,32
-356.5,62,0
-356.0,0,10
-355.5,25,0
-355.0,0,12
-354.5,90,0
-354.0,0,36
-353.5,75,0
-353.0,0,14
-352.5,33,0
-352.0,0,15
-351.5,15,0
-351.0,0,166
-350.5,20,0
-350.0,0,57
-349.5,22,0
-349.0,0,34
-348.5,41,0
-348.0,0,28
-347.5,14,0
-347.0,0,14
-346.5,9,0
-346.0,0,26
-345.5,23,0
-345.0,0,16
-344.5,18,0
-344.0,0,38
-343.5,22,0
-343.0,0,40
-342.5,29,0
-342.0,0,25
-341.5,7,0
-341.0,0,10
-340.5,27,0
-340.0,0,33
-339.5,26,0
-339.0,0,76
-338.5,50,0
-338.0,0,29
-337.5,12,0
-337.0,0,9
-336.5,66,0
-336.0,0,14
-335.5,72,0
-335.0,0,176
-334.5,25,0
-334.0,0,47
-333.5,46,0
-333.0,0,20
-332.5,68,0
-332.0,0,12
-331.5,23,0
-331.0,0,84
-330.5,44,0
-330.0,0,25
-329.5,35,0
-329.0,0,9
-328.5,22,0
-328.0,0,8
-327.5,19,0
-327.0,0,35
-326.5,71,0
-326.0,0,44
-325.5,48,0
-325.0,0,24
-324.5,23,0
-324.0,0,9
-323.5,22,0
-323.0,0,48
-322.5,26,0
-322.0,0,11
-321.5,14,0
-321.0,0,36
-320.5,20,0
-320.0,0,24
-319.5,39,0
-319.0,0,13
-318.5,27,0
-318.0,0,43
-317.5,40,0
-317.0,0,23
-316.5,24,0
-316.0,0,26
-315.5,39,0
-315.0,0,12
-314.5,34,0
-314.0,0,25
-313.5,29,0
-313.0,0,43
-312.5,47,0
-312.0,0,24
-311.5,27,0
-311.0,0,40
-310.5,22,0
-310.0,0,54
-309.5,27,0
-309.0,0,41
-308.5,28,0
-308.0,0,10
-307.5,35,0
-307.0,0,14
-306.5,41,0
-306.0,0,98
-305.5,27,0
-305.0,0,53
-304.5,34,0
-304.0,0,9
-303.5,35,0
-303.0,0,15
-302.5,76,0
-302.0,0,49
-301.5,53,0
-301.0,0,13
-300.5,36,0
-300.0,0,15
-299.5,42,0
-299.0,0,11
-298.5,28,0
-298.0,0,30
-297.5,256,0
-297.0,0,17
-296.5,63,0
-296.0,0,8
-295.5,36,0
-295.0,0,30
-294.5,48,0
-294.0,0,19
-293.5,65,0
-293.0,0,41
