Base index shifted,HP4.0.4_1#TOP,HP4.0.4_1#BOT
-368.5,66523,5616
-367.5,1258,93
-366.5,193,15
-365.5,265,27
-364.5,41,12
-363.5,97,3
-362.5,166,16
-361.5,217,4
-360.5,36,1
-359.5,120,3
-358.5,153,12
-357.5,45,5
-356.5,59,6
-355.5,22,1
-354.5,81,1
-353.5,25,4
-352.5,25,0
-351.5,33,4
-350.5,77,20
-349.5,21,17
-348.5,115,14
-347.5,89,5
-346.5,33,4
-345.5,17,13
-344.5,20,7
-343.5,13,10
-342.5,69,7
-341.5,15,4
-340.5,16,3
-339.5,21,5
-338.5,21,5
-337.5,20,7
-336.5,28,1
-335.5,8,1
-334.5,12,15
-333.5,24,8
-332.5,59,2
-331.5,11,2
-330.5,72,11
-329.5,61,4
-328.5,32,2
-327.5,63,1
-326.5,46,5
-325.5,16,8
-324.5,49,2
-323.5,32,1
-322.5,23,7
-321.5,14,1
-320.5,46,8
-319.5,51,5
-318.5,31,3
-317.5,15,9
-316.5,48,4
-315.5,13,3
-314.5,13,1
-313.5,42,2
-312.5,22,4
-311.5,47,0
-310.5,16,7
-309.5,26,10
-308.5,40,5
-307.5,24,2
-306.5,54,1
-305.5,30,11
-304.5,29,4
-303.5,16,2
-302.5,42,1
-301.5,27,7
-300.5,49,2
-299.5,15,4
-298.5,23,6
-297.5,24,3
-296.5,56,2
-295.5,32,4
-294.5,25,3
-293.5,27,1
-292.5,18,1
-291.5,170,0
-290.5,45,2
-289.5,24,5
-288.5,14,5
-287.5,32,1
-286.5,27,1
-285.5,23,3
-284.5,55,4
-283.5,18,11
-282.5,24,5
-281.5,31,2
-280.5,34,0
-279.5,22,4
-278.5,21,6
-277.5,16,0
-276.5,168,5
-275.5,42,4
-274.5,25,4
-273.5,33,3
-272.5,30,5
-271.5,25,15
-270.5,8,2
-269.5,81,4
-268.5,30,10
-267.5,26,0
-266.5,32,8
-265.5,80,4
-264.5,35,5
-263.5,16,5
-262.5,21,0
-261.5,30,7
-260.5,28,8
-259.5,17,5
-258.5,17,7
-257.5,24,7
-256.5,29,5
-255.5,32,5
-254.5,46,4
-253.5,16,6
-252.5,16,1
-251.5,23,3
-250.5,38,9
-249.5,14,7
-248.5,28,3
-247.5,23,2
-246.5,18,3
-245.5,13,1
-244.5,19,9
-243.5,13,2
-242.5,17,1
-241.5,22,7
-240.5,11,1
-239.5,23,5
-238.5,14,12
-237.5,14,7
-236.5,13,3
-235.5,25,8
-234.5,27,7
-233.5,22,5
-232.5,31,14
-231.5,79,4
-230.5,26,6
-229.5,24,4
-228.5,28,3
-227.5,32,10
-226.5,28,3
-225.5,28,3
-224.5,19,10
-223.5,14,9
-222.5,25,6
-221.5,28,4
-220.5,33,2
-219.5,16,3
-218.5,25,6
-217.5,18,5
-216.5,26,3
-215.5,25,4
-214.5,36,7
-213.5,29,8
-212.5,25,4
-211.5,34,3
-210.5,30,10
-209.5,32,9
-208.5,36,10
-207.5,36,9
-206.5,33,7
-205.5,28,13
-204.5,36,6
-203.5,28,10
-202.5,21,11
-201.5,19,6
-200.5,25,6
-199.5,17,11
-198.5,36,8
-197.5,26,7
-196.5,17,8
-195.5,23,16
-194.5,27,6
-193.5,20,7
-192.5,25,6
-191.5,17,7
-190.5,15,6
-189.5,31,4
-188.5,20,3
-187.5,19,10
-186.5,26,9
-185.5,33,10
-184.5,26,1
-183.5,28,5
-182.5,29,5
-181.5,18,8
-180.5,19,14
-179.5,18,3
-178.5,24,9
-177.5,14,8
-176.5,26,11
-175.5,10,11
-174.5,14,6
-173.5,27,13
-172.5,23,8
-171.5,23,9
-170.5,15,8
-169.5,21,7
-168.5,28,7
-167.5,27,8
-166.5,30,9
-165.5,14,8
-164.5,13,10
-163.5,13,13
-162.5,16,8
-161.5,8,8
-160.5,21,6
-159.5,21,12
-158.5,11,3
-157.5,22,5
-156.5,22,8
-155.5,15,15
-154.5,14,10
-153.5,18,15
-152.5,9,11
-151.5,14,19
-150.5,12,11
-149.5,13,15
-148.5,13,12
-147.5,6,18
-146.5,6,8
-145.5,16,13
-144.5,5,17
-143.5,8,15
-142.5,26,18
-141.5,8,14
-140.5,15,15
-139.5,8,19
-138.5,13,4
-137.5,5,5
-136.5,4,17
-135.5,7,9
-134.5,7,24
-133.5,12,22
-132.5,6,22
-131.5,12,7
-130.5,14,24
-129.5,5,13
-128.5,7,14
-127.5,10,16
-126.5,9,11
-125.5,16,16
-124.5,7,18
-123.5,5,22
-122.5,5,54
-121.5,10,35
-120.5,11,21
-119.5,9,35
-118.5,14,16
-117.5,8,23
-116.5,6,36
-115.5,7,22
-114.5,3,21
-113.5,7,20
-112.5,11,53
-111.5,11,28
-110.5,6,28
-109.5,13,37
-108.5,11,32
-107.5,8,42
-106.5,13,34
-105.5,15,36
-104.5,18,51
