Base index shifted,HP4.6.4_1#TOP,HP4.6.4_1#BOT
-374.5,42201,0
-373.5,819,0
-372.5,136,0
-371.5,206,0
-370.5,37,0
-369.5,55,0
-368.5,121,8845
-367.5,160,130
-366.5,35,34
-365.5,108,53
-364.5,158,35
-363.5,35,9
-362.5,64,45
-361.5,46,24
-360.5,96,3
-359.5,31,6
-358.5,35,46
-357.5,54,20
-356.5,94,17
-355.5,36,2
-354.5,149,7
-353.5,101,10
-352.5,67,7
-351.5,34,8
-350.5,36,68
-349.5,20,54
-348.5,92,25
-347.5,19,21
-346.5,18,13
-345.5,32,11
-344.5,21,12
-343.5,32,26
-342.5,39,32
-341.5,4,13
-340.5,21,3
-339.5,28,13
-338.5,73,13
-337.5,22,20
-336.5,118,5
-335.5,79,1
-334.5,50,65
-333.5,88,24
-332.5,87,12
-331.5,32,3
-330.5,59,37
-329.5,55,11
-328.5,52,2
-327.5,23,8
-326.5,86,19
-325.5,68,16
-324.5,30,7
-323.5,17,6
-322.5,68,12
-321.5,31,12
-320.5,24,15
-319.5,57,16
-318.5,30,9
-317.5,60,15
-316.5,33,6
-315.5,32,9
-314.5,83,4
-313.5,32,12
-312.5,67,16
-311.5,44,4
-310.5,31,21
-309.5,15,28
-308.5,43,4
-307.5,43,3
-306.5,52,5
-305.5,32,37
-304.5,21,26
-303.5,29,5
-302.5,57,8
-301.5,35,10
-300.5,35,7
-299.5,36,7
-298.5,20,11
-297.5,142,16
-296.5,56,4
-295.5,26,6
-294.5,24,7
-293.5,58,15
-292.5,31,11
-291.5,22,4
-290.5,40,5
-289.5,27,12
-288.5,15,20
-287.5,28,6
-286.5,38,5
-285.5,29,6
-284.5,26,13
-283.5,15,27
-282.5,172,5
-281.5,26,12
-280.5,16,5
-279.5,31,10
-278.5,28,16
-277.5,20,4
-276.5,16,13
-275.5,51,9
-274.5,30,9
-273.5,18,8
-272.5,13,10
-271.5,46,45
-270.5,28,4
-269.5,10,6
-268.5,7,14
-267.5,22,12
-266.5,24,10
-265.5,9,6
-264.5,12,11
-263.5,7,18
-262.5,17,5
-261.5,10,9
-260.5,27,13
-259.5,9,9
-258.5,10,9
-257.5,9,12
-256.5,15,16
-255.5,12,14
-254.5,18,11
-253.5,20,17
-252.5,10,5
-251.5,6,7
-250.5,14,19
-249.5,7,8
-248.5,10,6
-247.5,15,2
-246.5,6,7
-245.5,12,6
-244.5,16,9
-243.5,6,6
-242.5,6,3
-241.5,4,9
-240.5,7,6
-239.5,14,13
-238.5,15,33
-237.5,66,8
-236.5,18,9
-235.5,14,11
-234.5,19,11
-233.5,16,13
-232.5,14,29
-231.5,26,9
-230.5,15,12
-229.5,21,16
-228.5,18,7
-227.5,21,7
-226.5,22,6
-225.5,14,7
-224.5,15,23
-223.5,6,9
-222.5,13,12
-221.5,19,10
-220.5,36,10
-219.5,16,9
-218.5,15,18
-217.5,25,11
-216.5,8,10
-215.5,22,27
-214.5,45,13
-213.5,42,25
-212.5,34,9
-211.5,32,10
-210.5,19,17
-209.5,12,11
-208.5,10,23
-207.5,19,15
-206.5,12,25
-205.5,17,42
-204.5,13,23
-203.5,16,10
-202.5,12,30
-201.5,17,20
-200.5,16,17
-199.5,14,19
-198.5,28,12
-197.5,9,17
-196.5,12,12
-195.5,29,36
-194.5,25,20
-193.5,9,13
-192.5,15,13
-191.5,24,14
-190.5,19,21
-189.5,15,13
-188.5,28,10
-187.5,5,25
-186.5,22,22
-185.5,12,26
-184.5,29,10
-183.5,18,16
-182.5,23,13
-181.5,9,12
-180.5,17,21
-179.5,24,19
-178.5,14,14
-177.5,22,7
-176.5,15,11
-175.5,18,25
-174.5,29,10
-173.5,16,17
-172.5,15,11
-171.5,15,12
-170.5,7,16
-169.5,17,10
-168.5,15,13
-167.5,6,13
-166.5,22,9
-165.5,17,18
-164.5,14,9
-163.5,20,6
-162.5,22,14
-161.5,29,17
-160.5,20,7
-159.5,21,14
-158.5,18,5
-157.5,17,13
-156.5,13,11
-155.5,14,25
-154.5,18,16
-153.5,10,13
-152.5,10,13
-151.5,17,8
-150.5,9,9
-149.5,8,15
-148.5,34,16
-147.5,11,24
-146.5,17,18
-145.5,6,12
-144.5,14,25
-143.5,6,15
-142.5,2,18
-141.5,7,11
-140.5,4,11
-139.5,6,10
-138.5,6,10
-137.5,15,9
-136.5,6,14
-135.5,7,7
-134.5,13,27
-133.5,22,15
-132.5,11,12
-131.5,14,11
-130.5,8,28
-129.5,10,14
-128.5,3,29
-127.5,21,24
-126.5,19,13
-125.5,9,19
-124.5,12,13
-123.5,20,20
-122.5,9,61
-121.5,10,27
-120.5,6,15
-119.5,11,20
-118.5,11,11
-117.5,7,9
-116.5,9,14
-115.5,8,8
-114.5,6,11
-113.5,5,12
-112.5,12,27
-111.5,7,7
-110.5,9,7
-109.5,1,15
-108.5,13,14
-107.5,12,11
-106.5,6,10
-105.5,12,16
-104.5,15,11
-103.5,5,15
-102.5,8,8
-101.5,5,12
-100.5,9,10
-99.5,11,14
-98.5,3,25
-97.5,5,12
-96.5,3,20
-95.5,8,16
-94.5,14,9
-93.5,22,3
-92.5,6,13
-91.5,12,20
-90.5,10,24
-89.5,11,9
-88.5,5,12
-87.5,5,10
-86.5,7,13
-85.5,4,11
-84.5,19,4
-83.5,6,12
-82.5,1,19
-81.5,2,13
-80.5,0,10
-79.5,3,6
-78.5,2,11
-77.5,3,33
-76.5,2,0
-75.5,0,16
-74.5,4,11
-73.5,4,2
-72.5,3,12
-71.5,2,14
-70.5,5,4
-69.5,7,6
-68.5,1,10
-67.5,5,10
-66.5,2,11
-65.5,1,2
-64.5,2,10
-63.5,2,13
-62.5,4,12
-61.5,0,10
-60.5,3,9
-59.5,6,9
-58.5,1,12
-57.5,5,9
-56.5,9,15
-55.5,5,9
-54.5,4,17
-53.5,2,21
-52.5,6,14
-51.5,2,16
-50.5,3,29
-49.5,1,8
-48.5,1,12
-47.5,3,20
-46.5,4,45
-45.5,9,22
-44.5,2,16
-43.5,1,27
-42.5,2,41
-41.5,7,17
-40.5,4,18
-39.5,5,23
-38.5,3,49
-37.5,7,30
-36.5,3,30
-35.5,2,20
-34.5,95,28
-33.5,13,53
-32.5,6,497
-31.5,10,105
-30.5,7,28
-29.5,7,70
-28.5,28,38
-27.5,8,57
-26.5,21,37
-25.5,13,81
-24.5,16,111
-23.5,13,61
-22.5,13,109
-21.5,10,127
-20.5,7,68
-19.5,12,52
-18.5,23,44
-17.5,16,158
-16.5,27,101
-15.5,36,110
-14.5,25,115
-13.5,28,180
-12.5,50,126
-11.5,25,196
-10.5,33,135
-9.5,44,146
-8.5,45,443
-7.5,78,347
-6.5,45,365
-5.5,108,479
-4.5,39,552
-3.5,136,1006
-2.5,94,1599
-1.5,82,1700
-0.5,92,1960
0.5,69,2727
1.5,103,2136
2.5,137,1937
3.5,112,1588
4.5,229,674
5.5,110,923
6.5,228,565
7.5,147,384
8.5,222,246
9.5,136,290
10.5,199,595
11.5,171,296
12.5,92,188
13.5,136,274
14.5,83,198
15.5,124,212
16.5,96,410
17.5,87,227
18.5,43,112
19.5,58,253
20.5,84,149
21.5,70,218
22.5,105,131
23.5,81,237
24.5,67,183
25.5,80,94
26.5,95,142
27.5,46,203
28.5,40,149
29.5,64,117
30.5,39,192
31.5,69,142
32.5,44,166
33.5,24,594
34.5,34,100
35.5,294,106
36.5,63,163
37.5,32,146
38.5,47,104
39.5,41,150
40.5,31,158
41.5,61,93
42.5,36,189
43.5,51,108
44.5,41,128
45.5,26,216
46.5,29,99
47.5,18,141
48.5,23,125
49.5,33,135
50.5,36,142
51.5,39,75
52.5,29,92
53.5,27,117
54.5,29,157
55.5,41,114
56.5,12,110
57.5,20,310
58.5,23,233
59.5,23,108
60.5,44,55
61.5,17,116
62.5,12,76
63.5,35,83
64.5,12,103
65.5,13,102
66.5,13,202
67.5,32,102
68.5,41,268
69.5,22,185
70.5,20,146
71.5,27,93
72.5,18,121
73.5,14,82
74.5,7,87
75.5,15,86
76.5,13,98
77.5,18,79
78.5,9,165
79.5,15,136
80.5,16,89
81.5,24,183
82.5,17,214
83.5,10,59
84.5,41,65
85.5,10,62
86.5,6,273
87.5,14,118
88.5,35,88
89.5,8,94
90.5,18,126
91.5,146,55
92.5,17,118
93.5,16,69
94.5,32,54
95.5,75,59
96.5,12,56
97.5,18,60
98.5,20,92
99.5,29,95
100.5,31,65
101.5,13,88
102.5,11,92
103.5,19,67
104.5,13,41
105.5,13,118
106.5,20,82
107.5,12,95
108.5,16,55
109.5,17,50
110.5,9,479
111.5,15,109
112.5,17,55
113.5,35,91
114.5,16,70
115.5,16,74
116.5,20,163
117.5,28,61
118.5,8,56
119.5,14,115
120.5,24,89
121.5,22,109
122.5,49,46
123.5,14,119
124.5,9,93
125.5,16,51
126.5,13,62
127.5,12,99
