Base index shifted,HP0.6.4.GC_3#TOP,HP0.6.4.GC_3#BOT
-374.5,29739,0
-373.5,490,0
-372.5,113,0
-371.5,152,0
-370.5,15,0
-369.5,107,0
-368.5,195,0
-367.5,159,0
-366.5,55,58695
-365.5,90,1315
-364.5,114,352
-363.5,55,771
-362.5,51,229
-361.5,51,37
-360.5,80,257
-359.5,42,158
-358.5,38,32
-357.5,39,35
-356.5,51,589
-355.5,23,131
-354.5,118,155
-353.5,93,38
-352.5,62,63
-351.5,22,81
-350.5,39,51
-349.5,36,64
-348.5,82,516
-347.5,15,146
-346.5,17,108
-345.5,37,84
-344.5,26,64
-343.5,41,55
-342.5,17,37
-341.5,7,64
-340.5,30,82
-339.5,25,56
-338.5,70,35
-337.5,21,90
-336.5,98,170
-335.5,68,164
-334.5,30,36
-333.5,48,31
-332.5,79,478
-331.5,28,160
-330.5,50,57
-329.5,32,29
-328.5,19,249
-327.5,25,52
-326.5,71,5
-325.5,64,21
-324.5,36,122
-323.5,21,102
-322.5,59,38
-321.5,25,27
-320.5,18,88
-319.5,53,29
-318.5,19,93
-317.5,36,61
-316.5,27,25
-315.5,28,71
-314.5,63,83
-313.5,24,66
-312.5,67,26
-311.5,25,36
-310.5,17,112
-309.5,20,32
-308.5,59,97
-307.5,28,166
-306.5,69,85
-305.5,30,22
-304.5,25,35
-303.5,43,253
-302.5,81,180
-301.5,55,21
-300.5,44,37
-299.5,22,82
-298.5,26,47
-297.5,231,43
-296.5,96,31
-295.5,37,95
-294.5,49,22
-293.5,73,56
-292.5,18,39
-291.5,25,56
-290.5,68,70
-289.5,31,31
-288.5,39,52
-287.5,20,58
-286.5,47,121
-285.5,23,29
-284.5,24,25
-283.5,20,36
-282.5,230,78
-281.5,54,158
-280.5,26,52
-279.5,45,78
-278.5,74,32
-277.5,41,29
-276.5,18,141
-275.5,170,38
-274.5,60,113
-273.5,44,104
-272.5,33,127
-271.5,234,27
-270.5,74,64
-269.5,24,432
-268.5,38,40
-267.5,67,13
-266.5,76,107
-265.5,28,58
-264.5,48,55
-263.5,27,31
-262.5,61,113
-261.5,29,102
-260.5,142,65
-259.5,44,48
-258.5,54,90
-257.5,19,25
-256.5,90,63
-255.5,31,79
-254.5,72,47
-253.5,42,115
-252.5,28,74
-251.5,27,86
-250.5,45,38
-249.5,23,34
-248.5,22,205
-247.5,36,56
-246.5,17,50
-245.5,48,28
-244.5,26,47
-243.5,10,20
-242.5,27,87
-241.5,33,22
-240.5,46,23
-239.5,31,55
-238.5,33,31
-237.5,229,68
-236.5,52,178
-235.5,34,49
-234.5,57,30
-233.5,57,51
-232.5,35,41
-231.5,47,17
-230.5,35,211
-229.5,23,48
-228.5,42,51
-227.5,57,82
-226.5,46,48
-225.5,42,34
-224.5,30,29
-223.5,21,20
-222.5,24,131
-221.5,36,33
-220.5,87,24
-219.5,44,36
-218.5,50,20
-217.5,52,43
-216.5,33,94
-215.5,54,78
-214.5,65,53
-213.5,68,134
-212.5,67,58
-211.5,40,125
-210.5,51,32
-209.5,45,30
-208.5,22,51
-207.5,58,30
-206.5,27,77
-205.5,25,29
-204.5,48,40
-203.5,37,190
-202.5,38,48
-201.5,53,43
-200.5,46,71
-199.5,36,43
-198.5,56,35
-197.5,29,46
-196.5,23,74
-195.5,101,68
-194.5,64,48
-193.5,34,109
-192.5,36,72
-191.5,85,33
-190.5,78,35
-189.5,31,105
-188.5,74,80
-187.5,14,64
-186.5,39,20
-185.5,14,147
-184.5,68,53
-183.5,43,56
-182.5,52,34
-181.5,28,26
-180.5,35,46
-179.5,122,97
-178.5,64,104
-177.5,73,42
-176.5,51,66
-175.5,35,32
-174.5,95,27
-173.5,30,163
-172.5,41,55
-171.5,27,72
-170.5,19,26
-169.5,30,34
-168.5,22,44
-167.5,36,34
-166.5,30,44
-165.5,38,52
-164.5,47,42
-163.5,40,54
-162.5,62,72
-161.5,72,45
-160.5,54,38
-159.5,32,32
-158.5,67,27
-157.5,55,63
-156.5,39,26
-155.5,57,25
-154.5,73,28
-153.5,52,67
-152.5,54,106
-151.5,77,37
-150.5,23,32
-149.5,28,28
-148.5,182,48
-147.5,71,97
-146.5,39,103
-145.5,33,141
-144.5,132,38
-143.5,38,36
-142.5,38,141
-141.5,66,45
-140.5,23,43
-139.5,34,47
-138.5,31,37
-137.5,96,38
-136.5,53,30
-135.5,20,56
-134.5,20,52
-133.5,66,54
-132.5,23,85
-131.5,82,34
-130.5,20,30
-129.5,13,17
-128.5,65,79
-127.5,41,55
-126.5,79,79
-125.5,48,45
-124.5,47,37
-123.5,54,35
-122.5,23,48
-121.5,40,82
-120.5,38,238
-119.5,43,54
-118.5,69,25
-117.5,41,66
-116.5,56,28
-115.5,43,30
-114.5,43,70
-113.5,67,21
-112.5,60,24
-111.5,40,22
-110.5,67,113
-109.5,31,20
-108.5,102,26
-107.5,59,57
-106.5,30,20
-105.5,30,51
-104.5,86,35
-103.5,23,31
-102.5,69,47
-101.5,42,47
-100.5,54,32
-99.5,35,30
-98.5,24,63
-97.5,18,121
-96.5,35,52
-95.5,42,54
-94.5,41,50
-93.5,122,27
-92.5,53,25
-91.5,44,23
-90.5,39,30
-89.5,85,80
-88.5,22,116
-87.5,31,19
-86.5,68,38
-85.5,43,32
-84.5,105,36
-83.5,46,36
-82.5,36,32
-81.5,38,31
