Base index shifted,HP0.6.8_2#TOP,HP0.6.8_2#BOT
-376.5,71345,0
-375.5,1427,0
-374.5,260,0
-373.5,241,0
-372.5,59,0
-371.5,81,0
-370.5,167,0
-369.5,168,0
-368.5,23,0
-367.5,88,0
-366.5,152,8915
-365.5,50,156
-364.5,61,29
-363.5,31,33
-362.5,90,16
-361.5,28,2
-360.5,34,23
-359.5,35,6
-358.5,60,5
-357.5,25,3
-356.5,110,30
-355.5,79,16
-354.5,37,6
-353.5,21,1
-352.5,19,0
-351.5,14,9
-350.5,44,3
-349.5,10,4
-348.5,14,19
-347.5,11,36
-346.5,21,15
-345.5,14,8
-344.5,21,5
-343.5,8,10
-342.5,18,4
-341.5,27,17
-340.5,44,15
-339.5,17,3
-338.5,48,7
-337.5,53,8
-336.5,26,4
-335.5,42,9
-334.5,40,4
-333.5,21,1
-332.5,30,18
-331.5,16,17
-330.5,28,5
-329.5,14,4
-328.5,40,15
-327.5,29,6
-326.5,26,2
-325.5,11,2
-324.5,25,10
-323.5,17,4
-322.5,10,6
-321.5,26,3
-320.5,12,10
-319.5,15,4
-318.5,20,6
-317.5,14,9
-316.5,24,5
-315.5,15,6
-314.5,17,7
-313.5,21,5
-312.5,18,2
-311.5,8,4
-310.5,22,4
-309.5,18,0
-308.5,17,4
-307.5,17,7
-306.5,8,7
-305.5,15,3
-304.5,26,1
-303.5,20,12
-302.5,12,12
-301.5,13,3
-300.5,17,8
-299.5,69,4
-298.5,20,2
-297.5,13,3
-296.5,23,2
-295.5,28,11
-294.5,12,4
-293.5,15,3
-292.5,37,3
-291.5,10,1
-290.5,19,6
-289.5,14,2
-288.5,17,1
-287.5,12,4
-286.5,11,6
-285.5,14,3
-284.5,89,0
-283.5,24,6
-282.5,15,4
-281.5,16,7
-280.5,18,2
-279.5,7,4
-278.5,7,6
-277.5,44,4
-276.5,18,4
-275.5,19,6
-274.5,8,11
-273.5,24,6
-272.5,26,6
-271.5,0,3
-270.5,6,7
-269.5,14,14
-268.5,13,3
-267.5,8,3
-266.5,8,8
-265.5,2,3
-264.5,15,7
-263.5,11,2
-262.5,19,8
-261.5,7,6
-260.5,8,4
-259.5,7,5
-258.5,11,3
-257.5,6,4
-256.5,14,9
-255.5,6,1
-254.5,6,2
-253.5,6,9
-252.5,7,8
-251.5,2,8
-250.5,8,0
-249.5,7,3
-248.5,3,6
-247.5,6,2
-246.5,6,1
-245.5,6,1
-244.5,4,2
-243.5,9,4
-242.5,9,1
-241.5,2,3
-240.5,9,3
-239.5,23,4
-238.5,9,2
-237.5,10,3
-236.5,13,12
-235.5,9,10
-234.5,6,2
-233.5,6,1
-232.5,7,2
-231.5,6,1
-230.5,7,9
-229.5,12,2
-228.5,4,2
-227.5,4,2
-226.5,7,2
-225.5,2,3
-224.5,4,5
-223.5,2,2
-222.5,12,7
-221.5,5,5
-220.5,5,3
-219.5,7,3
-218.5,6,2
-217.5,13,6
-216.5,15,7
-215.5,18,2
-214.5,11,4
-213.5,6,4
-212.5,6,3
-211.5,12,9
