Distance from 5'-end,HP4.6.4_3
0,32.56401259059041
1,32.84542826768207
2,33.043660582141094
3,33.02253034735299
4,33.012357817353056
5,34.92206966515422
6,34.82166109632635
7,34.71491901582162
8,34.71079858529569
9,34.804515797299835
10,34.3236275075217
11,35.497192826420786
12,37.332549316619996
13,37.31646018191041
14,37.34394824794847
15,37.2859147981128
16,37.278827379670226
17,37.25738446465671
18,37.29605258586546
19,37.2452663688098
20,37.281071728843706
21,37.258499690794
22,37.724500927618
23,37.639156597205336
24,37.81708206813649
25,37.90865568348423
26,37.818985943286755
27,37.83061764767192
28,37.875678342377896
29,37.898278174225425
30,37.945211476059114
31,37.861169979918984
32,37.94045526240819
33,37.903034387876346
34,37.8312638534711
35,37.831816255202654
36,37.582276589978946
37,37.66801003356101
38,37.63536969225317
39,37.561292272629366
40,37.60497022589409
41,37.592355315911256
42,37.666436209759794
43,37.77486676348173
44,37.68525955932934
45,37.696029655982265
46,37.8437050522176
47,37.85006983191701
48,37.8325632135189
49,37.8040571996359
50,37.742542576624025
51,37.74868500594093
52,37.752322519229836
53,37.70256814691802
54,37.65795910142651
55,37.76518062494355
56,37.586278896864165
57,37.61076175851359
58,37.685582662228924
59,37.6606585740392
60,37.50382859564888
61,37.57970913790587
62,37.59329683081221
63,37.68237942703086
64,37.68803199066129
65,37.5994392601291
66,37.832410347630926
67,37.85122327452629
68,37.750696582057714
69,37.733009303973816
70,37.65101412619774
71,37.67455894717094
72,37.79937047047951
73,37.85334950005906
74,37.83800732366572
75,37.48014480568661
